Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$17.28,$19.29,$17.04,$18.10,"$646,272,783","$7,175,081,816"
"Mar 25, 2024",$16.35,$17.36,$15.82,$17.29,"$381,525,398","$6,850,991,940"
"Mar 24, 2024",$16.13,$16.80,$15.83,$16.35,"$329,019,259","$6,475,923,655"
"Mar 23, 2024",$16.30,$16.33,$15.51,$16.13,"$289,039,229","$6,389,155,320"
"Mar 22, 2024",$15.02,$16.95,$14.82,$16.29,"$626,149,162","$6,453,416,168"
"Mar 21, 2024",$15.54,$16.30,$14.78,$15.02,"$482,556,114","$5,941,924,038"
"Mar 20, 2024",$15.41,$15.92,$14.08,$15.54,"$632,191,197","$6,147,449,224"
"Mar 19, 2024",$14.42,$16.65,$13.58,$15.41,"$1,173,758,529","$6,093,571,170"
"Mar 18, 2024",$14.02,$15.39,$13.77,$14.42,"$552,750,467","$5,700,116,374"
"Mar 17, 2024",$13.29,$15.68,$13.29,$14.02,"$602,517,870","$5,539,950,489"
"Mar 16, 2024",$15.08,$15.57,$12.97,$13.29,"$541,532,082","$5,249,773,177"
"Mar 15, 2024",$14.31,$15.18,$12.29,$15.08,"$591,830,060","$5,951,295,156"
"Mar 14, 2024",$13.16,$14.40,$13.09,$14.31,"$590,536,589","$5,645,612,047"
"Mar 13, 2024",$13.38,$13.74,$12.86,$13.16,"$226,487,979","$5,188,932,678"
"Mar 12, 2024",$13.48,$13.69,$12.61,$13.38,"$239,637,452","$4,941,977,634"
"Mar 11, 2024",$12.75,$13.57,$12.33,$13.48,"$270,835,428","$4,979,193,832"
"Mar 10, 2024",$13.18,$13.44,$12.45,$12.75,"$219,236,594","$4,706,110,770"
"Mar 09, 2024",$13.26,$13.81,$13.10,$13.18,"$217,477,713","$4,862,103,804"
"Mar 08, 2024",$13.27,$13.55,$12.69,$13.26,"$275,830,853","$4,891,224,996"
"Mar 07, 2024",$13.65,$13.94,$13.17,$13.27,"$361,852,717","$4,890,766,152"
"Mar 06, 2024",$13.67,$14.54,$12.92,$13.65,"$566,700,825","$5,028,566,118"
"Mar 05, 2024",$12.11,$13.87,$11.94,$13.67,"$889,333,384","$5,033,147,889"
"Mar 04, 2024",$11.60,$12.58,$11.50,$12.11,"$378,311,240","$4,457,595,856"
"Mar 03, 2024",$12.15,$12.33,$11.31,$11.60,"$298,050,820","$4,267,309,183"
"Mar 02, 2024",$11.89,$12.24,$11.57,$12.15,"$257,593,934","$4,467,937,290"
"Mar 01, 2024",$11.73,$11.99,$11.47,$11.89,"$299,093,035","$4,371,163,944"
"Feb 29, 2024",$12.27,$13.03,$11.41,$11.73,"$650,420,657","$4,311,885,017"
"Feb 28, 2024",$9.9504,$12.89,$9.9040,$12.25,"$1,084,613,076","$4,500,803,787"
"Feb 27, 2024",$10.15,$10.38,$9.7962,$9.9516,"$176,572,187","$3,653,499,420"
"Feb 26, 2024",$9.6413,$10.37,$9.3521,$10.15,"$207,396,854","$3,724,863,522"
"Feb 25, 2024",$9.4745,$9.7007,$9.3243,$9.6406,"$110,871,041","$3,536,104,424"
"Feb 24, 2024",$9.1174,$9.4826,$9.0471,$9.4744,"$109,530,788","$3,473,571,680"
"Feb 23, 2024",$9.2207,$9.3256,$8.9194,$9.1177,"$120,338,381","$3,341,300,767"
"Feb 22, 2024",$9.2320,$9.4735,$8.9501,$9.2227,"$138,138,932","$3,378,229,119"
"Feb 21, 2024",$9.6342,$9.8310,$8.9157,$9.2307,"$211,805,610","$3,379,637,509"
"Feb 20, 2024",$10.12,$10.15,$9.2519,$9.6340,"$241,783,332","$3,525,689,192"
"Feb 19, 2024",$9.6802,$10.24,$9.6802,$10.12,"$258,613,545","$3,700,104,135"
"Feb 18, 2024",$9.7022,$9.7789,$9.5245,$9.6797,"$139,218,103","$3,539,182,998"
"Feb 17, 2024",$9.7991,$9.8166,$9.2534,$9.7021,"$145,732,813","$3,545,765,494"
"Feb 16, 2024",$10.19,$10.33,$9.6905,$9.7985,"$210,352,746","$3,579,337,222"
"Feb 15, 2024",$9.4465,$10.75,$9.4435,$10.19,"$436,812,545","$3,722,454,075"
"Feb 14, 2024",$9.2075,$9.5483,$9.0704,$9.4472,"$161,530,479","$3,447,863,946"
"Feb 13, 2024",$9.1711,$9.2845,$8.9007,$9.2069,"$159,927,546","$3,358,635,897"
"Feb 12, 2024",$9.0452,$9.2876,$8.7696,$9.1708,"$162,183,521","$3,116,128,838"
"Feb 11, 2024",$9.0807,$9.2663,$8.9802,$9.0456,"$101,685,187","$3,072,081,468"
"Feb 10, 2024",$9.0914,$9.2586,$9.0124,$9.0816,"$102,724,096","$3,082,810,266"
"Feb 09, 2024",$8.7601,$9.1562,$8.7396,$9.0910,"$129,683,008","$3,084,476,331"
"Feb 08, 2024",$8.7867,$8.9234,$8.7387,$8.7602,"$96,118,795","$2,970,754,006"
"Feb 07, 2024",$8.5942,$8.8504,$8.4912,$8.7864,"$106,952,534","$2,978,137,588"
"Feb 06, 2024",$8.6627,$8.7064,$8.5214,$8.5937,"$85,478,958","$2,911,368,873"
"Feb 05, 2024",$8.8266,$9.0598,$8.5627,$8.6648,"$128,410,573","$2,933,968,747"
"Feb 04, 2024",$9.1512,$9.1594,$8.8084,$8.8264,"$95,549,871","$2,987,150,941"
"Feb 03, 2024",$9.4049,$9.7092,$9.1486,$9.1509,"$141,012,036","$3,095,398,513"
"Feb 02, 2024",$9.2233,$9.4914,$9.1445,$9.4038,"$171,273,538","$3,179,042,175"
"Feb 01, 2024",$8.8410,$9.2241,$8.6117,$9.2241,"$149,596,389","$3,116,552,979"
"Jan 31, 2024",$9.0677,$9.1892,$8.7199,$8.8421,"$133,056,053","$2,985,959,382"
"Jan 30, 2024",$9.2181,$9.4915,$9.0344,$9.0673,"$131,614,686","$3,060,429,414"
"Jan 29, 2024",$8.8690,$9.4343,$8.8475,$9.2182,"$172,236,690","$3,109,777,604"
"Jan 28, 2024",$9.1266,$9.2158,$8.7506,$8.8720,"$103,418,589","$2,991,459,307"
"Jan 27, 2024",$8.7247,$9.3286,$8.6794,$9.1286,"$140,025,206","$3,076,388,360"
"Jan 26, 2024",$8.3335,$8.8693,$8.2624,$8.7249,"$121,346,542","$2,938,824,902"
"Jan 25, 2024",$8.5707,$8.6171,$8.2246,$8.3345,"$113,288,343","$2,805,795,739"
"Jan 24, 2024",$8.7521,$8.7521,$8.4288,$8.5705,"$155,395,797","$2,883,771,009"
"Jan 23, 2024",$8.0357,$8.7788,$7.5383,$8.7574,"$248,908,188","$2,945,158,013"
"Jan 22, 2024",$8.4362,$8.5044,$7.9530,$8.0355,"$144,350,632","$2,701,013,778"
"Jan 21, 2024",$8.5586,$8.6736,$8.4320,$8.4323,"$91,546,947","$2,832,936,072"
"Jan 20, 2024",$8.5709,$8.5812,$8.3555,$8.5582,"$108,263,593","$2,873,752,752"
"Jan 19, 2024",$8.6981,$8.7261,$8.1310,$8.5707,"$203,808,882","$2,876,458,862"
"Jan 18, 2024",$9.3342,$9.5006,$8.6940,$8.7000,"$233,714,546","$2,918,364,085"
"Jan 17, 2024",$9.4125,$9.4795,$9.1336,$9.3351,"$162,806,392","$3,129,826,002"
"Jan 16, 2024",$9.5191,$9.5816,$9.1788,$9.4040,"$210,706,517","$3,151,301,957"
"Jan 15, 2024",$9.6762,$10.39,$9.4424,$9.5243,"$369,120,098","$3,189,982,639"
"Jan 14, 2024",$10.02,$10.05,$9.5324,$9.6782,"$262,563,614","$3,239,850,019"
"Jan 13, 2024",$9.0116,$10.34,$8.7061,$10.02,"$441,120,451","$3,351,859,392"
"Jan 12, 2024",$9.4631,$9.9162,$8.7114,$9.0160,"$325,805,637","$2,791,124,457"
"Jan 11, 2024",$8.8703,$9.6111,$8.7832,$9.4644,"$305,963,863","$2,928,290,155"
"Jan 10, 2024",$8.2805,$9.0784,$8.0246,$8.8622,"$241,287,044","$2,740,459,074"
"Jan 09, 2024",$8.8029,$8.8370,$7.9639,$8.2794,"$202,732,386","$2,558,820,333"
"Jan 08, 2024",$8.4693,$8.8566,$7.8722,$8.7988,"$224,913,559","$2,717,828,033"
"Jan 07, 2024",$9.0580,$9.2754,$8.4184,$8.4696,"$180,187,850","$2,614,717,302"
"Jan 06, 2024",$9.6539,$9.6798,$8.8970,$9.0510,"$215,555,497","$2,792,642,322"
"Jan 05, 2024",$10.33,$10.85,$9.4428,$9.6390,"$490,660,374","$2,972,425,625"
"Jan 04, 2024",$9.0469,$11.06,$8.8624,$10.32,"$631,665,729","$3,180,235,796"
"Jan 03, 2024",$10.23,$10.37,$8.5736,$9.0468,"$311,877,637","$2,786,724,846"
"Jan 02, 2024",$9.9366,$10.35,$9.8928,$10.24,"$203,645,118","$3,151,866,594"
"Jan 01, 2024",$9.4039,$10.02,$9.2674,$9.9333,"$123,895,046","$3,056,402,861"
"Dec 31, 2023",$9.4270,$9.7312,$9.3138,$9.4043,"$121,612,190","$2,892,031,272"
"Dec 30, 2023",$9.6799,$9.8002,$9.4297,$9.4297,"$119,661,951","$2,898,209,491"
