Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$1.7240,$1.7520,$1.6667,$1.7015,"$526,173,757","$4,515,592,933"
"Mar 25, 2024",$1.6711,$1.7485,$1.6497,$1.7240,"$547,873,309","$4,575,335,791"
"Mar 24, 2024",$1.5980,$1.6740,$1.5896,$1.6711,"$391,189,030","$4,434,877,454"
"Mar 23, 2024",$1.6004,$1.6355,$1.5849,$1.5980,"$356,923,516","$4,241,023,327"
"Mar 22, 2024",$1.6837,$1.6936,$1.5671,$1.6004,"$555,738,122","$4,247,345,476"
"Mar 21, 2024",$1.7468,$1.7943,$1.6771,$1.6837,"$802,239,593","$4,468,479,252"
"Mar 20, 2024",$1.6279,$1.7647,$1.5545,$1.7468,"$1,227,861,377","$4,635,975,047"
"Mar 19, 2024",$1.6215,$1.6724,$1.4493,$1.6279,"$1,397,626,318","$4,320,261,557"
"Mar 18, 2024",$1.7342,$1.7363,$1.6003,$1.6215,"$890,503,800","$4,303,407,041"
"Mar 17, 2024",$1.7590,$1.7713,$1.6240,$1.7334,"$779,446,750","$2,210,126,090"
"Mar 16, 2024",$1.8854,$1.9533,$1.7197,$1.7590,"$1,037,970,776","$2,242,746,162"
"Mar 15, 2024",$2.0148,$2.0313,$1.8102,$1.8854,"$941,997,889","$2,403,942,859"
"Mar 14, 2024",$2.1178,$2.1178,$1.9416,$2.0148,"$954,399,402","$2,568,911,981"
"Mar 13, 2024",$2.0175,$2.2529,$2.0174,$2.1178,"$1,261,830,951","$2,700,238,334"
"Mar 12, 2024",$2.0830,$2.0967,$1.9324,$2.0175,"$762,310,480","$2,572,274,098"
"Mar 11, 2024",$2.0682,$2.1409,$1.9922,$2.0830,"$831,217,688","$2,655,772,487"
"Mar 10, 2024",$2.0991,$2.1282,$2.0092,$2.0682,"$614,574,685","$2,636,957,059"
"Mar 09, 2024",$2.1394,$2.1668,$2.0840,$2.0991,"$514,955,855","$2,676,303,607"
"Mar 08, 2024",$2.1678,$2.2763,$2.1087,$2.1394,"$1,030,337,086","$2,727,684,975"
"Mar 07, 2024",$2.0529,$2.1860,$2.0214,$2.1678,"$873,516,997","$2,763,922,857"
"Mar 06, 2024",$1.9698,$2.1420,$1.9270,$2.0529,"$1,042,968,084","$2,617,414,977"
"Mar 05, 2024",$1.9833,$2.1718,$1.8269,$1.9698,"$2,120,320,570","$2,511,468,780"
"Mar 04, 2024",$2.0459,$2.0690,$1.9270,$1.9830,"$813,833,802","$2,528,297,924"
"Mar 03, 2024",$2.0251,$2.1918,$1.9994,$2.0463,"$1,142,361,298","$2,609,027,021"
"Mar 02, 2024",$1.9896,$2.0247,$1.9602,$2.0247,"$554,293,629","$2,581,535,253"
"Mar 01, 2024",$1.9447,$2.0113,$1.9437,$1.9896,"$496,174,284","$2,536,691,828"
"Feb 29, 2024",$1.9025,$2.0679,$1.8881,$1.9451,"$1,052,525,091","$2,480,056,645"
"Feb 28, 2024",$1.8955,$1.9764,$1.8190,$1.9026,"$789,288,374","$2,425,851,873"
"Feb 27, 2024",$1.9301,$1.9541,$1.8765,$1.8954,"$456,140,083","$2,416,664,221"
"Feb 26, 2024",$1.9014,$1.9537,$1.8110,$1.9301,"$439,095,078","$2,460,904,345"
"Feb 25, 2024",$1.8449,$1.9012,$1.8323,$1.9012,"$300,313,076","$2,424,036,561"
"Feb 24, 2024",$1.8006,$1.8496,$1.7543,$1.8450,"$274,142,282","$2,352,344,142"
"Feb 23, 2024",$1.8070,$1.8255,$1.7433,$1.8006,"$393,790,046","$2,295,771,751"
"Feb 22, 2024",$1.8776,$1.8950,$1.7922,$1.8073,"$442,368,773","$2,304,335,331"
"Feb 21, 2024",$2.0107,$2.0158,$1.8116,$1.8777,"$511,962,215","$2,394,051,718"
"Feb 20, 2024",$2.0540,$2.0745,$1.9109,$2.0108,"$666,450,000","$2,563,806,913"
"Feb 19, 2024",$2.0356,$2.0970,$2.0194,$2.0539,"$395,746,408","$2,618,765,126"
"Feb 18, 2024",$1.9693,$2.0488,$1.9471,$2.0353,"$276,993,691","$2,595,058,820"
"Feb 17, 2024",$2.0129,$2.0185,$1.9129,$1.9693,"$235,277,515","$2,510,877,545"
"Feb 16, 2024",$2.0722,$2.0936,$1.9802,$2.0130,"$364,954,780","$2,566,536,038"
"Feb 15, 2024",$2.1133,$2.1698,$2.0440,$2.0721,"$494,067,916","$2,641,902,410"
"Feb 14, 2024",$2.0469,$2.1225,$2.0162,$2.1136,"$398,908,298","$2,694,778,424"
"Feb 13, 2024",$2.0777,$2.1050,$1.9961,$2.0469,"$431,225,127","$2,609,825,502"
"Feb 12, 2024",$1.9408,$2.0798,$1.9163,$2.0780,"$465,921,130","$2,649,474,047"
"Feb 11, 2024",$1.9614,$2.0057,$1.9354,$1.9405,"$238,023,304","$2,474,142,958"
"Feb 10, 2024",$1.9812,$2.0173,$1.9413,$1.9614,"$245,943,076","$2,500,746,414"
"Feb 09, 2024",$1.8644,$1.9976,$1.8639,$1.9811,"$451,987,280","$2,525,918,035"
"Feb 08, 2024",$1.8971,$1.9253,$1.8634,$1.8644,"$368,536,199","$2,377,120,920"
"Feb 07, 2024",$1.8301,$1.9291,$1.8122,$1.8970,"$458,608,037","$2,418,686,074"
"Feb 06, 2024",$1.7332,$1.8713,$1.7289,$1.8301,"$504,975,096","$2,333,360,660"
"Feb 05, 2024",$1.7318,$1.7846,$1.7058,$1.7332,"$248,781,369","$2,209,866,914"
"Feb 04, 2024",$1.7653,$1.7744,$1.7264,$1.7318,"$205,221,746","$2,207,998,238"
"Feb 03, 2024",$1.7913,$1.8350,$1.7650,$1.7654,"$212,251,636","$2,250,856,977"
"Feb 02, 2024",$1.7845,$1.8137,$1.7600,$1.7914,"$297,072,923","$2,283,994,400"
"Feb 01, 2024",$1.7637,$1.7860,$1.6940,$1.7845,"$398,059,587","$2,275,232,149"
"Jan 31, 2024",$1.8851,$1.8872,$1.7486,$1.7638,"$525,213,898","$2,248,845,110"
"Jan 30, 2024",$1.8527,$1.9667,$1.8390,$1.8848,"$633,791,769","$2,403,150,431"
"Jan 29, 2024",$1.7976,$1.8577,$1.7754,$1.8526,"$411,260,439","$2,362,023,233"
"Jan 28, 2024",$1.7962,$1.8953,$1.7872,$1.7973,"$440,319,850","$2,291,610,476"
"Jan 27, 2024",$1.8184,$1.8361,$1.7757,$1.7962,"$281,784,516","$2,290,164,242"
"Jan 26, 2024",$1.7304,$1.8190,$1.7141,$1.8190,"$528,364,632","$2,319,264,261"
"Jan 25, 2024",$1.7352,$1.7679,$1.6427,$1.7306,"$453,293,450","$2,206,529,061"
"Jan 24, 2024",$1.6894,$1.7399,$1.6350,$1.7348,"$584,286,562","$2,211,837,663"
"Jan 23, 2024",$1.6856,$1.7327,$1.5516,$1.6893,"$794,548,297","$2,153,830,919"
"Jan 22, 2024",$1.8137,$1.8299,$1.6609,$1.6855,"$712,443,401","$2,149,057,782"
"Jan 21, 2024",$1.8103,$1.8995,$1.7862,$1.8130,"$422,013,128","$2,311,620,406"
"Jan 20, 2024",$1.8527,$1.8532,$1.7620,$1.8093,"$373,380,028","$2,306,816,181"
"Jan 19, 2024",$1.8873,$1.8997,$1.7328,$1.8524,"$666,810,427","$2,361,757,983"
"Jan 18, 2024",$2.0365,$2.0373,$1.8502,$1.8871,"$675,335,831","$2,406,088,522"
"Jan 17, 2024",$2.1526,$2.1608,$2.0030,$2.0364,"$511,452,364","$2,596,422,406"
"Jan 16, 2024",$2.1100,$2.1969,$2.0511,$2.1525,"$706,597,837","$2,744,479,381"
"Jan 15, 2024",$2.0294,$2.1689,$2.0294,$2.1106,"$623,415,309","$2,691,043,495"
"Jan 14, 2024",$2.1771,$2.1906,$2.0247,$2.0292,"$558,634,462","$2,587,249,829"
"Jan 13, 2024",$2.2021,$2.2109,$2.0863,$2.1775,"$756,777,254","$2,776,274,332"
"Jan 12, 2024",$2.2640,$2.3975,$2.1210,$2.2027,"$1,688,443,813","$2,808,413,417"
"Jan 11, 2024",$2.2214,$2.3788,$2.1470,$2.2650,"$1,878,577,481","$2,887,900,605"
"Jan 10, 2024",$1.8361,$2.2630,$1.8361,$2.2192,"$2,537,370,985","$2,829,532,727"
"Jan 09, 2024",$1.8217,$1.8427,$1.6313,$1.8360,"$1,139,512,594","$2,340,873,175"
"Jan 08, 2024",$1.7202,$1.8547,$1.5861,$1.8213,"$1,292,571,252","$2,322,202,714"
"Jan 07, 2024",$1.7487,$1.8784,$1.7030,$1.7200,"$885,488,819","$2,193,053,118"
"Jan 06, 2024",$1.9430,$1.9552,$1.7106,$1.7485,"$905,497,127","$2,229,337,040"
"Jan 05, 2024",$2.0111,$2.0149,$1.8413,$1.9402,"$1,233,240,696","$2,473,814,629"
"Jan 04, 2024",$1.9108,$2.1093,$1.8282,$2.0122,"$1,702,736,214","$2,565,514,191"
"Jan 03, 2024",$1.7716,$2.0564,$1.6976,$1.9104,"$3,384,321,119","$2,435,823,680"
"Jan 02, 2024",$1.7352,$1.8313,$1.7136,$1.7716,"$1,105,169,921","$2,258,740,113"
"Jan 01, 2024",$1.5558,$1.7391,$1.5214,$1.7352,"$736,600,434","$2,212,323,839"
"Dec 31, 2023",$1.4852,$1.6560,$1.4844,$1.5552,"$779,301,092","$1,982,887,648"
"Dec 30, 2023",$1.5048,$1.5261,$1.4376,$1.4857,"$453,790,745","$1,894,205,810"
"Dec 29, 2023",$1.4745,$1.5423,$1.4312,$1.5050,"$795,016,713","$1,918,836,626"
"Dec 28, 2023",$1.5033,$1.6597,$1.4738,$1.4742,"$1,199,815,769","$1,879,625,074"
"Dec 27, 2023",$1.3253,$1.5345,$1.2777,$1.5029,"$1,068,456,602","$1,916,249,410"
"Dec 26, 2023",$1.3920,$1.4020,$1.2669,$1.3252,"$570,560,992","$1,689,584,413"
"Dec 25, 2023",$1.3572,$1.3960,$1.3438,$1.3918,"$547,546,354","$1,774,597,912"
"Dec 24, 2023",$1.3940,$1.4567,$1.3494,$1.3573,"$785,935,800","$1,730,515,057"
"Dec 23, 2023",$1.4258,$1.4460,$1.3195,$1.3939,"$838,269,933","$1,777,198,217"
"Dec 22, 2023",$1.1559,$1.4375,$1.1470,$1.4263,"$1,604,350,073","$1,818,502,490"
"Dec 21, 2023",$1.1041,$1.1580,$1.0977,$1.1559,"$375,171,498","$1,473,769,593"
"Dec 20, 2023",$1.0744,$1.1301,$1.0722,$1.1040,"$322,698,862","$1,407,545,480"
"Dec 19, 2023",$1.1005,$1.1186,$1.0680,$1.0744,"$287,532,065","$1,369,878,864"
"Dec 18, 2023",$1.1068,$1.1132,$1.0408,$1.1005,"$323,084,766","$1,403,143,757"
"Dec 17, 2023",$1.1228,$1.1333,$1.0951,$1.1067,"$241,078,501","$1,410,991,522"
"Dec 16, 2023",$1.1015,$1.1493,$1.0878,$1.1226,"$273,564,145","$1,431,320,805"
"Dec 15, 2023",$1.1830,$1.1833,$1.1014,$1.1014,"$277,885,087","$1,404,339,635"
"Dec 14, 2023",$1.1847,$1.2014,$1.1463,$1.1830,"$422,628,576","$1,508,359,001"
"Dec 13, 2023",$1.2514,$1.2514,$1.1174,$1.1847,"$725,762,126","$1,510,532,186"
"Dec 12, 2023",$1.0957,$1.2521,$1.0948,$1.2521,"$801,221,521","$1,596,440,624"
