Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$42.52,$44.27,$40.44,$41.19,"$106,687,322","$2,695,827,930"
"Mar 25, 2024",$37.52,$44.89,$37.05,$42.52,"$170,974,461","$2,782,937,233"
"Mar 24, 2024",$36.10,$38.44,$35.39,$37.52,"$46,773,382","$2,456,088,100"
"Mar 23, 2024",$34.68,$38.89,$34.53,$36.10,"$82,174,862","$2,362,721,139"
"Mar 22, 2024",$35.34,$37.76,$33.75,$34.68,"$96,959,908","$2,269,931,514"
"Mar 21, 2024",$35.14,$35.51,$33.33,$35.34,"$59,045,202","$2,313,302,594"
"Mar 20, 2024",$31.19,$36.37,$30.51,$35.14,"$142,807,463","$2,299,936,384"
"Mar 19, 2024",$32.95,$33.24,$29.34,$31.19,"$112,907,146","$2,041,318,563"
"Mar 18, 2024",$37.61,$37.62,$32.51,$32.95,"$98,134,284","$2,156,490,221"
"Mar 17, 2024",$32.42,$40.29,$32.08,$37.61,"$198,730,575","$2,461,892,293"
"Mar 16, 2024",$35.17,$36.55,$31.58,$32.42,"$96,784,824","$2,122,160,999"
"Mar 15, 2024",$38.81,$38.97,$32.58,$35.17,"$137,434,675","$2,302,140,578"
"Mar 14, 2024",$37.80,$39.66,$35.74,$38.81,"$126,659,101","$2,540,461,684"
"Mar 13, 2024",$37.88,$40.89,$37.16,$37.80,"$101,591,204","$2,474,102,865"
"Mar 12, 2024",$39.64,$41.31,$36.52,$37.88,"$105,192,004","$2,479,172,499"
"Mar 11, 2024",$41.34,$42.63,$39.15,$39.64,"$117,030,644","$2,594,580,376"
"Mar 10, 2024",$43.56,$44.63,$39.74,$41.34,"$112,947,774","$2,705,578,354"
"Mar 09, 2024",$42.89,$47.50,$42.64,$43.56,"$193,183,116","$2,851,479,943"
"Mar 08, 2024",$37.47,$44.92,$36.57,$42.89,"$262,685,100","$2,807,337,832"
"Mar 07, 2024",$35.85,$39.63,$34.99,$37.47,"$210,296,293","$2,452,828,092"
"Mar 06, 2024",$30.66,$38.85,$29.53,$35.85,"$260,824,690","$2,346,569,189"
"Mar 05, 2024",$28.58,$32.79,$23.26,$30.66,"$215,101,661","$2,007,121,470"
"Mar 04, 2024",$30.22,$30.99,$27.89,$28.58,"$122,377,084","$1,870,543,185"
"Mar 03, 2024",$26.96,$33.13,$26.62,$30.21,"$224,298,740","$1,977,410,624"
"Mar 02, 2024",$26.81,$29.89,$25.28,$26.97,"$140,992,568","$1,765,054,479"
"Mar 01, 2024",$26.76,$30.04,$26.60,$26.80,"$163,748,352","$1,754,337,198"
