Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$623.88,$640.19,$570.27,$582.91,"$34,233,094","$3,781,395,596"
"Mar 25, 2024",$600.21,$631.39,$587.66,$623.88,"$26,155,612","$4,043,236,733"
"Mar 24, 2024",$570.04,$601.82,$560.72,$600.21,"$23,797,029","$3,886,215,182"
"Mar 23, 2024",$579.17,$595.65,$561.32,$570.04,"$24,755,668","$3,687,732,937"
"Mar 22, 2024",$622.78,$653.15,$560.03,$579.17,"$47,358,378","$3,743,311,350"
"Mar 21, 2024",$685.08,$711.50,$605.60,$622.78,"$25,473,711","$4,021,303,057"
"Mar 20, 2024",$608.80,$696.77,$607.43,$685.08,"$23,916,372","$4,419,350,089"
"Mar 19, 2024",$719.26,$726.77,$600.67,$608.80,"$32,525,738","$3,923,874,488"
"Mar 18, 2024",$696.30,$755.52,$660.07,$719.26,"$54,795,611","$4,631,834,882"
"Mar 17, 2024",$602.06,$707.94,$596.68,$695.51,"$41,546,759","$4,475,657,324"
"Mar 16, 2024",$622.33,$651.46,$574.70,$602.06,"$38,383,336","$3,869,820,872"
"Mar 15, 2024",$630.01,$647.91,$561.17,$622.33,"$50,808,943","$3,996,308,299"
"Mar 14, 2024",$639.32,$650.93,$605.39,$630.01,"$47,897,868","$4,041,667,868"
"Mar 13, 2024",$678.16,$697.78,$639.00,$639.32,"$31,437,974","$4,097,386,833"
"Mar 12, 2024",$686.80,$699.84,$669.10,$678.16,"$30,720,230","$4,342,075,675"
"Mar 11, 2024",$690.72,$713.35,$668.20,$686.80,"$29,510,100","$4,393,119,383"
"Mar 10, 2024",$715.84,$721.65,$672.53,$690.71,"$25,709,819","$4,416,502,876"
"Mar 09, 2024",$695.94,$730.88,$687.38,$715.83,"$27,585,388","$4,572,565,063"
"Mar 08, 2024",$730.21,$741.81,$695.94,$695.94,"$28,855,449","$4,443,356,465"
"Mar 07, 2024",$713.79,$759.61,$694.15,$730.26,"$43,986,706","$4,657,598,129"
"Mar 06, 2024",$678.52,$747.68,$657.96,$713.79,"$53,603,455","$4,549,450,440"
"Mar 05, 2024",$647.85,$716.34,$619.12,$678.59,"$47,460,084","$4,320,480,708"
"Mar 04, 2024",$626.95,$663.75,$622.50,$648.10,"$34,531,267","$4,117,152,432"
"Mar 03, 2024",$650.53,$660.20,$622.18,$628.09,"$20,379,257","$3,990,057,159"
"Mar 02, 2024",$668.65,$691.71,$639.81,$650.22,"$23,873,039","$4,128,675,283"
"Mar 01, 2024",$618.94,$728.52,$610.30,$668.14,"$56,256,363","$4,238,315,486"
"Feb 29, 2024",$607.37,$640.33,$599.12,$619.05,"$26,133,835","$3,922,926,321"
"Feb 28, 2024",$605.57,$633.47,$590.28,$606.89,"$26,718,352","$3,842,756,265"
"Feb 27, 2024",$597.65,$644.99,$581.67,$605.55,"$30,044,598","$3,830,770,523"
"Feb 26, 2024",$567.47,$620.26,$563.54,$597.01,"$26,606,007","$3,773,296,820"
"Feb 25, 2024",$562.08,$587.44,$553.83,$568.40,"$17,809,097","$3,588,719,925"
"Feb 24, 2024",$583.33,$600.08,$562.08,$562.08,"$13,561,643","$3,545,319,263"
"Feb 23, 2024",$587.02,$610.79,$575.57,$583.33,"$16,759,020","$3,676,195,954"
"Feb 22, 2024",$629.04,$635.86,$588.82,$588.97,"$24,126,769","$3,708,204,198"
