id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1,Bitcoin,BTC,bitcoin,10943,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19664912.0,19664912.0,False,,1,,,,2024-03-26T17:56:00.000Z,"{'USD': {'price': 70170.22445104478, 'volume_24h': 39416182113.83495, 'volume_change_24h': -4.1536, 'percent_change_1h': 0.78085847, 'percent_change_24h': -0.54129391, 'percent_change_7d': 8.49631767, 'percent_change_30d': 36.1264323, 'percent_change_60d': 67.40153147, 'percent_change_90d': 63.09563842, 'market_cap': 1379891288850.044, 'market_cap_dominance': 52.1914, 'fully_diluted_market_cap': 1473574713471.94, 'tvl': None, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
1027,Ethereum,ETH,ethereum,8652,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120074016.27550143,120074016.27550143,True,,2,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 3587.0939794389683, 'volume_24h': 19497033913.015038, 'volume_change_24h': 13.18, 'percent_change_1h': 0.83264964, 'percent_change_24h': -1.24603983, 'percent_change_7d': 8.28941052, 'percent_change_30d': 17.13571146, 'percent_change_60d': 58.08056929, 'percent_change_90d': 52.65267021, 'market_cap': 430716780868.9079, 'market_cap_dominance': 16.2953, 'fully_diluted_market_cap': 430716780868.91, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
825,Tether USDt,USDT,tether,80280,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,104233700559.26607,107792615137.11732,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 1.0000928324640974, 'volume_24h': 81514579015.60312, 'volume_change_24h': 5.0656, 'percent_change_1h': -0.00585944, 'percent_change_24h': -0.02239943, 'percent_change_7d': 0.0364833, 'percent_change_30d': 0.01651336, 'percent_change_60d': 0.03045439, 'percent_change_90d': -0.03612683, 'market_cap': 104243376830.53098, 'market_cap_dominance': 3.9438, 'fully_diluted_market_cap': 107802621791.19, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
1839,BNB,BNB,bnb,2124,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149536759.15318474,149536759.15318474,False,,4,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 578.7967377632613, 'volume_24h': 2134711005.8138545, 'volume_change_24h': -14.1481, 'percent_change_1h': 0.75799675, 'percent_change_24h': -2.42894016, 'percent_change_7d': 8.93572777, 'percent_change_30d': 50.01746552, 'percent_change_60d': 91.67005053, 'percent_change_90d': 87.04628368, 'market_cap': 86551388373.55383, 'market_cap_dominance': 3.2745, 'fully_diluted_market_cap': 86551388373.55, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
5426,Solana,SOL,solana,646,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444182193.1332053,572585187.3052429,True,,5,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 188.78048923009518, 'volume_24h': 3622186355.8204136, 'volume_change_24h': -15.6678, 'percent_change_1h': 0.67422016, 'percent_change_24h': -2.35380394, 'percent_change_7d': 2.97904281, 'percent_change_30d': 82.66800281, 'percent_change_60d': 102.91045571, 'percent_change_90d': 75.02280124, 'market_cap': 83852931726.98312, 'market_cap_dominance': 3.1717, 'fully_diluted_market_cap': 108092911785.39, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
52,XRP,XRP,xrp,1278,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54884241878.0,99987762348.0,False,,6,,,,2024-03-26T17:56:00.000Z,"{'USD': {'price': 0.6317839220318213, 'volume_24h': 2161210792.541111, 'volume_change_24h': 29.4142, 'percent_change_1h': 0.48710176, 'percent_change_24h': -2.58079944, 'percent_change_7d': 4.48956393, 'percent_change_30d': 16.07189916, 'percent_change_60d': 20.27851746, 'percent_change_90d': -0.5216987, 'market_cap': 34674981591.42597, 'market_cap_dominance': 1.312, 'fully_diluted_market_cap': 63178392203.18, 'tvl': None, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
3408,USDC,USDC,usd-coin,17661,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32163572552.35952,32163572552.35952,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",7,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 0.999885675625784, 'volume_24h': 8496645781.2792845, 'volume_change_24h': 8.3925, 'percent_change_1h': 0.00095879, 'percent_change_24h': -0.00709499, 'percent_change_7d': -0.01741659, 'percent_change_30d': -0.00804945, 'percent_change_60d': -0.03752465, 'percent_change_90d': -0.01494094, 'market_cap': 32159895472.05492, 'market_cap_dominance': 1.2167, 'fully_diluted_market_cap': 32159895472.05, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
74,Dogecoin,DOGE,dogecoin,938,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143627896383.70526,143627896383.70526,True,,8,,,,2024-03-26T17:56:00.000Z,"{'USD': {'price': 0.17833438466641852, 'volume_24h': 2911768571.655598, 'volume_change_24h': 8.1164, 'percent_change_1h': 1.25228178, 'percent_change_24h': -1.99837903, 'percent_change_7d': 33.10667782, 'percent_change_30d': 106.95358187, 'percent_change_60d': 123.16396259, 'percent_change_90d': 90.89500319, 'market_cap': 25613792522.520195, 'market_cap_dominance': 0.9688, 'fully_diluted_market_cap': 25613792522.52, 'tvl': None, 'last_updated': '2024-03-26T17:56:00.000Z'}}"
2010,Cardano,ADA,cardano,1119,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35578754682.002,36742818378.514,False,,9,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 0.6594128476389786, 'volume_24h': 634842337.8392625, 'volume_change_24h': 13.4346, 'percent_change_1h': 0.62240267, 'percent_change_24h': -0.66555178, 'percent_change_7d': 6.32106111, 'percent_change_30d': 12.54048404, 'percent_change_60d': 35.36205255, 'percent_change_90d': 4.52342175, 'market_cap': 23461087940.30758, 'market_cap_dominance': 0.8877, 'fully_diluted_market_cap': 29673578143.75, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
5805,Avalanche,AVAX,avalanche,694,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377416536.4228908,436106176.4228908,False,,10,,,,2024-03-26T17:55:00.000Z,"{'USD': {'price': 56.0739218791428, 'volume_24h': 887365124.8625519, 'volume_change_24h': -12.245, 'percent_change_1h': 0.66142485, 'percent_change_24h': -3.3516865, 'percent_change_7d': -6.98738968, 'percent_change_30d': 52.00819826, 'percent_change_60d': 71.33575026, 'percent_change_90d': 31.50293691, 'market_cap': 21163225379.27383, 'market_cap_dominance': 0.8007, 'fully_diluted_market_cap': 40134837754.3, 'tvl': None, 'last_updated': '2024-03-26T17:55:00.000Z'}}"
