Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$2.6895,$3.3576,$2.6759,$3.2567,"$707,914,291","$3,253,209,917"
"Mar 25, 2024",$2.8203,$2.9783,$2.6353,$2.6895,"$567,734,621","$2,686,629,857"
"Mar 24, 2024",$2.2814,$2.8482,$2.2239,$2.8203,"$372,499,983","$2,817,292,954"
"Mar 23, 2024",$2.2246,$2.4595,$2.1427,$2.2814,"$326,037,069","$2,278,960,832"
"Mar 22, 2024",$2.2883,$2.4872,$2.1224,$2.2246,"$362,405,963","$2,222,210,976"
"Mar 21, 2024",$2.6047,$2.6175,$2.2294,$2.2885,"$382,516,519","$2,285,825,344"
"Mar 20, 2024",$2.3220,$2.7401,$1.9582,$2.6046,"$787,308,276","$2,601,822,448"
"Mar 19, 2024",$2.5516,$2.7305,$2.1284,$2.3220,"$759,145,350","$2,319,526,218"
"Mar 18, 2024",$3.0509,$3.2809,$2.5106,$2.5519,"$956,277,408","$2,549,189,816"
"Mar 17, 2024",$2.2149,$3.1291,$2.1854,$2.9975,"$835,290,244","$2,994,277,761"
"Mar 16, 2024",$2.8037,$2.9314,$2.0639,$2.2149,"$798,071,111","$2,212,554,044"
"Mar 15, 2024",$3.1657,$3.5270,$2.7101,$2.8037,"$1,074,369,965","$2,800,663,835"
"Mar 14, 2024",$2.6393,$3.4327,$2.6391,$3.1657,"$1,204,486,224","$3,162,262,935"
"Mar 13, 2024",$2.1720,$2.7606,$2.1354,$2.6393,"$575,753,064","$2,636,494,904"
"Mar 12, 2024",$2.1054,$2.1741,$1.8042,$2.1723,"$336,085,230","$2,169,972,967"
"Mar 11, 2024",$2.1368,$2.2665,$2.0212,$2.1054,"$285,078,099","$2,103,162,644"
"Mar 10, 2024",$2.1833,$2.4755,$2.0361,$2.1368,"$356,574,838","$2,134,518,058"
"Mar 09, 2024",$2.1600,$2.2350,$2.0308,$2.1833,"$300,397,112","$2,180,907,476"
"Mar 08, 2024",$1.7146,$2.3682,$1.7047,$2.1600,"$689,726,029","$2,157,642,748"
"Mar 07, 2024",$1.8468,$1.8917,$1.6540,$1.7146,"$445,331,479","$1,712,703,923"
"Mar 06, 2024",$1.5345,$2.2253,$1.4434,$1.8468,"$996,839,320","$1,844,764,917"
"Mar 05, 2024",$1.4833,$1.9556,$1.0531,$1.5345,"$1,079,961,160","$1,532,829,188"
"Mar 04, 2024",$1.6108,$1.9171,$1.3373,$1.4865,"$489,524,074","$1,484,865,115"
"Mar 03, 2024",$1.3865,$1.7886,$1.3687,$1.6101,"$417,929,568","$1,608,377,499"
"Mar 02, 2024",$1.2408,$1.4010,$1.1393,$1.3879,"$271,464,657","$1,386,403,391"
"Mar 01, 2024",$0.8562,$1.3123,$0.8279,$1.2407,"$382,518,500","$1,239,317,998"
"Feb 29, 2024",$0.8719,$0.8879,$0.7129,$0.8684,"$187,809,850","$867,431,493"
"Feb 28, 2024",$0.6063,$0.8902,$0.5959,$0.8708,"$247,553,037","$869,900,385"
"Feb 27, 2024",$0.4666,$0.6724,$0.4666,$0.6057,"$153,913,247","$605,095,467"
"Feb 26, 2024",$0.3488,$0.4887,$0.3465,$0.4665,"$74,318,533","$465,988,702"
"Feb 25, 2024",$0.3411,$0.3615,$0.3135,$0.3491,"$32,406,542","$348,675,429"
"Feb 24, 2024",$0.2972,$0.3418,$0.287,$0.3411,"$37,850,664","$340,721,299"
"Feb 23, 2024",$0.3057,$0.3154,$0.2831,$0.2972,"$43,845,829","$296,865,863"
"Feb 22, 2024",$0.3517,$0.3517,$0.3021,$0.3052,"$42,754,891","$304,853,037"
"Feb 21, 2024",$0.3995,$0.3995,$0.3164,$0.3517,"$52,060,157","$351,286,251"
"Feb 20, 2024",$0.3792,$0.4029,$0.3279,$0.3995,"$52,628,883","$399,093,751"
"Feb 19, 2024",$0.4093,$0.4125,$0.3755,$0.3792,"$34,506,694","$378,746,643"
"Feb 18, 2024",$0.3852,$0.4444,$0.3695,$0.4094,"$45,955,156","$408,913,351"
"Feb 17, 2024",$0.3738,$0.3862,$0.3445,$0.3847,"$36,714,300","$384,324,450"
