Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$32.50,$33.20,$31.78,$32.14,"$285,312,552","$4,699,553,505"
"Mar 25, 2024",$31.57,$32.69,$31.03,$32.50,"$279,141,099","$4,751,489,501"
"Mar 24, 2024",$30.26,$31.69,$30.26,$31.57,"$259,658,661","$4,616,048,075"
"Mar 23, 2024",$29.27,$31.36,$29.12,$30.26,"$211,699,689","$4,424,267,803"
"Mar 22, 2024",$30.32,$30.71,$28.56,$29.27,"$240,278,534","$4,278,224,794"
"Mar 21, 2024",$30.62,$30.82,$29.46,$30.32,"$281,549,944","$4,431,350,330"
"Mar 20, 2024",$27.72,$30.70,$26.89,$30.62,"$423,204,229","$4,474,132,814"
"Mar 19, 2024",$31.39,$31.57,$27.23,$27.72,"$492,883,843","$4,050,025,358"
"Mar 18, 2024",$31.95,$32.05,$30.32,$31.39,"$291,098,796","$4,586,494,701"
"Mar 17, 2024",$30.68,$32.34,$29.59,$31.95,"$358,881,401","$4,666,891,934"
"Mar 16, 2024",$33.24,$33.59,$30.14,$30.68,"$376,535,590","$4,481,739,717"
"Mar 15, 2024",$35.10,$35.54,$31.19,$33.24,"$583,927,649","$4,854,857,470"
"Mar 14, 2024",$36.57,$36.72,$33.74,$35.10,"$465,605,554","$5,125,935,043"
"Mar 13, 2024",$36.87,$37.61,$35.94,$36.57,"$356,708,087","$5,339,271,155"
"Mar 12, 2024",$37.99,$38.17,$35.23,$36.87,"$418,477,352","$5,382,877,307"
"Mar 11, 2024",$36.16,$39.33,$34.57,$37.99,"$747,592,363","$5,546,080,411"
"Mar 10, 2024",$37.32,$37.73,$35.45,$36.16,"$421,535,580","$5,278,361,505"
"Mar 09, 2024",$38.13,$39.62,$37.11,$37.32,"$480,625,017","$5,447,026,237"
"Mar 08, 2024",$37.94,$39.46,$37.07,$38.13,"$652,439,233","$5,563,813,257"
"Mar 07, 2024",$37.22,$38.42,$36.10,$37.94,"$536,035,057","$5,536,734,573"
"Mar 06, 2024",$34.26,$38.41,$33.01,$37.22,"$934,977,808","$5,430,627,502"
"Mar 05, 2024",$36.00,$39.54,$30.11,$34.26,"$1,823,274,431","$4,998,097,261"
"Mar 04, 2024",$33.55,$36.62,$33.17,$36.00,"$790,707,342","$5,251,263,588"
"Mar 03, 2024",$34.21,$35.76,$32.39,$33.54,"$869,132,563","$4,891,142,891"
"Mar 02, 2024",$30.36,$34.63,$30.30,$34.20,"$1,027,526,616","$4,987,482,294"
"Mar 01, 2024",$28.87,$30.38,$28.83,$30.36,"$297,549,759","$4,427,008,113"
"Feb 29, 2024",$29.62,$31.41,$28.24,$28.88,"$766,746,880","$4,210,688,047"
"Feb 28, 2024",$28.11,$30.97,$27.76,$29.61,"$693,232,308","$4,317,402,580"
"Feb 27, 2024",$27.80,$28.64,$27.65,$28.11,"$379,330,662","$4,097,278,787"
"Feb 26, 2024",$27.19,$27.94,$26.58,$27.80,"$360,457,534","$4,051,547,108"
"Feb 25, 2024",$26.10,$27.30,$25.97,$27.19,"$229,533,619","$3,962,374,770"
"Feb 24, 2024",$25.42,$26.18,$25.13,$26.10,"$130,102,414","$3,803,497,476"
"Feb 23, 2024",$25.80,$25.91,$25.12,$25.42,"$160,582,671","$3,703,693,541"
"Feb 22, 2024",$26.08,$26.40,$25.52,$25.80,"$179,240,069","$3,758,038,460"
"Feb 21, 2024",$27.06,$27.28,$25.28,$26.08,"$259,661,532","$3,799,177,403"
"Feb 20, 2024",$27.39,$27.62,$26.02,$27.06,"$340,182,194","$3,940,801,905"
"Feb 19, 2024",$26.52,$27.80,$26.26,$27.39,"$277,390,208","$3,989,692,822"
"Feb 18, 2024",$26.06,$26.71,$25.76,$26.52,"$155,463,567","$3,861,492,479"
"Feb 17, 2024",$26.80,$26.80,$25.52,$26.06,"$182,496,646","$3,794,644,847"
"Feb 16, 2024",$26.79,$27.42,$26.30,$26.80,"$275,649,039","$3,902,423,977"
"Feb 15, 2024",$26.89,$27.45,$26.43,$26.79,"$358,346,903","$3,900,159,209"
"Feb 14, 2024",$26.22,$27.15,$25.75,$26.89,"$278,034,331","$3,913,436,922"
"Feb 13, 2024",$27.06,$27.23,$25.82,$26.22,"$277,678,164","$3,815,709,399"
"Feb 12, 2024",$25.89,$27.16,$25.48,$27.13,"$236,671,384","$3,947,850,506"
"Feb 11, 2024",$25.90,$26.33,$25.57,$25.89,"$179,034,879","$3,767,375,254"
"Feb 10, 2024",$26.17,$26.40,$25.44,$25.90,"$160,574,553","$3,767,982,605"
"Feb 09, 2024",$25.63,$26.66,$25.59,$26.17,"$288,685,224","$3,806,807,776"
"Feb 08, 2024",$25.16,$25.82,$25.05,$25.63,"$188,131,715","$3,727,386,978"
"Feb 07, 2024",$24.72,$25.34,$24.32,$25.16,"$177,552,454","$3,659,924,503"
"Feb 06, 2024",$24.29,$24.94,$24.17,$24.72,"$175,969,380","$3,595,353,834"
"Feb 05, 2024",$24.99,$25.14,$24.06,$24.29,"$225,349,338","$3,531,712,397"
"Feb 04, 2024",$24.83,$25.62,$24.70,$24.99,"$213,909,452","$3,633,689,306"
"Feb 03, 2024",$25.09,$25.66,$24.57,$24.83,"$203,438,564","$3,608,983,400"
"Feb 02, 2024",$24.41,$25.35,$24.36,$25.09,"$211,323,379","$3,646,634,614"
"Feb 01, 2024",$24.36,$24.90,$23.57,$24.41,"$262,317,913","$3,547,322,572"
"Jan 31, 2024",$25.34,$25.78,$24.24,$24.36,"$371,706,810","$3,540,346,408"
"Jan 30, 2024",$24.70,$26.21,$24.52,$25.34,"$410,938,069","$3,682,062,545"
"Jan 29, 2024",$23.49,$24.85,$23.08,$24.70,"$211,970,154","$3,588,238,952"
"Jan 28, 2024",$24.01,$24.40,$23.40,$23.50,"$191,727,243","$3,413,129,006"
"Jan 27, 2024",$23.90,$24.53,$23.83,$24.01,"$198,903,936","$3,487,583,847"
"Jan 26, 2024",$23.24,$24.07,$22.92,$23.91,"$254,117,420","$3,471,889,098"
"Jan 25, 2024",$22.98,$23.50,$22.25,$23.24,"$258,590,878","$3,374,998,157"
"Jan 24, 2024",$23.09,$23.40,$22.56,$22.98,"$229,798,413","$3,337,065,442"
"Jan 23, 2024",$22.88,$23.78,$21.82,$23.08,"$369,037,644","$3,351,625,590"
