Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$1.1283,$1.1550,$1.0583,$1.0655,"$410,313,336","$2,987,305,326"
"Mar 25, 2024",$1.0670,$1.2215,$1.0545,$1.1283,"$540,667,724","$3,163,345,677"
"Mar 24, 2024",$1.0385,$1.0903,$1.0322,$1.0670,"$268,653,943","$2,991,380,340"
"Mar 23, 2024",$1.1378,$1.1444,$1.0385,$1.0385,"$306,625,760","$2,911,535,500"
"Mar 22, 2024",$1.1111,$1.2206,$1.0615,$1.1378,"$782,249,461","$3,189,977,162"
"Mar 21, 2024",$1.1191,$1.1466,$1.0304,$1.1111,"$573,352,757","$3,115,047,508"
"Mar 20, 2024",$1.0282,$1.1445,$0.9004,$1.1191,"$885,411,506","$3,137,501,218"
"Mar 19, 2024",$0.9335,$1.0714,$0.7975,$1.0283,"$1,181,787,593","$2,882,581,084"
"Mar 18, 2024",$0.8541,$0.9499,$0.8139,$0.9335,"$547,844,365","$2,617,128,597"
"Mar 17, 2024",$0.7953,$0.9151,$0.76,$0.8541,"$388,861,988","$2,394,579,807"
"Mar 16, 2024",$0.8681,$0.9785,$0.7822,$0.7953,"$602,965,321","$2,229,714,251"
"Mar 15, 2024",$0.8279,$0.8706,$0.7297,$0.8681,"$383,983,812","$2,433,829,144"
"Mar 14, 2024",$0.8926,$0.901,$0.7868,$0.8279,"$327,583,153","$2,321,003,620"
"Mar 13, 2024",$0.8286,$0.9115,$0.8061,$0.8926,"$389,475,381","$2,502,614,747"
"Mar 12, 2024",$0.8215,$0.8287,$0.7642,$0.8286,"$252,343,613","$2,323,191,288"
"Mar 11, 2024",$0.7529,$0.858,$0.7321,$0.8215,"$298,709,629","$2,303,119,760"
"Mar 10, 2024",$0.7956,$0.8149,$0.7412,$0.7529,"$210,742,691","$2,110,833,410"
"Mar 09, 2024",$0.823,$0.8382,$0.7939,$0.7956,"$200,330,863","$2,230,673,494"
"Mar 08, 2024",$0.8445,$0.8552,$0.7728,$0.823,"$328,179,719","$2,307,454,192"
"Mar 07, 2024",$0.7043,$0.8527,$0.7042,$0.8445,"$578,377,863","$2,367,572,777"
"Mar 06, 2024",$0.6304,$0.7319,$0.6174,$0.7043,"$351,774,516","$1,974,484,681"
"Mar 05, 2024",$0.6443,$0.7266,$0.5587,$0.6303,"$577,452,607","$1,767,368,104"
"Mar 04, 2024",$0.6994,$0.7427,$0.6155,$0.6442,"$610,113,379","$1,806,174,044"
"Mar 03, 2024",$0.5407,$0.7016,$0.4981,$0.7,"$434,781,766","$1,962,559,120"
"Mar 02, 2024",$0.4896,$0.5408,$0.4895,$0.5406,"$165,878,783","$1,515,728,944"
"Mar 01, 2024",$0.4628,$0.5057,$0.4609,$0.4895,"$120,974,503","$1,372,401,778"
"Feb 29, 2024",$0.4761,$0.4914,$0.4515,$0.4635,"$143,671,753","$1,299,574,235"
"Feb 28, 2024",$0.4469,$0.4951,$0.4414,$0.4761,"$216,239,132","$1,334,875,498"
"Feb 27, 2024",$0.4343,$0.4552,$0.4318,$0.4468,"$119,857,241","$1,252,738,314"
"Feb 26, 2024",$0.4179,$0.4362,$0.4115,$0.4343,"$92,191,704","$1,217,485,370"
"Feb 25, 2024",$0.4206,$0.424,$0.4116,$0.4179,"$54,515,049","$1,171,687,261"
"Feb 24, 2024",$0.3967,$0.4225,$0.3878,$0.4206,"$62,622,497","$1,179,070,278"
"Feb 23, 2024",$0.4027,$0.4061,$0.3862,$0.3967,"$65,672,220","$1,112,110,302"
"Feb 22, 2024",$0.4053,$0.4204,$0.3934,$0.4028,"$62,065,056","$1,129,238,688"
"Feb 21, 2024",$0.425,$0.425,$0.3912,$0.4053,"$75,751,348","$1,136,176,863"
"Feb 20, 2024",$0.4318,$0.4392,$0.4047,$0.425,"$104,920,862","$1,191,463,573"
"Feb 19, 2024",$0.4219,$0.4396,$0.4219,$0.4318,"$95,187,718","$1,210,732,531"
"Feb 18, 2024",$0.4006,$0.4246,$0.3966,$0.422,"$57,536,106","$1,183,120,205"
"Feb 17, 2024",$0.4082,$0.4105,$0.3883,$0.4006,"$48,929,640","$1,123,266,626"
"Feb 16, 2024",$0.4161,$0.4252,$0.4012,$0.4082,"$67,131,634","$1,144,530,957"
"Feb 15, 2024",$0.4114,$0.4199,$0.4037,$0.4161,"$78,805,408","$1,166,530,931"
"Feb 14, 2024",$0.3947,$0.4176,$0.392,$0.4114,"$72,947,513","$1,153,462,465"
"Feb 13, 2024",$0.402,$0.4033,$0.3838,$0.3948,"$54,300,927","$1,106,793,872"
"Feb 12, 2024",$0.3865,$0.4055,$0.3748,$0.402,"$65,065,704","$1,127,149,573"
"Feb 11, 2024",$0.3979,$0.4006,$0.3847,$0.3865,"$38,325,010","$1,083,593,734"
"Feb 10, 2024",$0.3966,$0.4032,$0.3866,$0.3979,"$44,489,697","$1,115,675,532"
