Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$0.1171,$0.1302,$0.1169,$0.1203,"$163,477,891","$4,055,221,959"
"Mar 25, 2024",$0.1099,$0.1188,$0.1097,$0.1171,"$73,527,794","$3,947,970,522"
"Mar 24, 2024",$0.1066,$0.1104,$0.1057,$0.1099,"$42,264,551","$3,702,470,914"
"Mar 23, 2024",$0.1064,$0.1099,$0.1052,$0.1066,"$40,999,660","$3,593,198,228"
"Mar 22, 2024",$0.11,$0.1119,$0.1037,$0.1064,"$56,321,286","$3,585,940,745"
"Mar 21, 2024",$0.1114,$0.113,$0.1078,$0.11,"$75,783,018","$3,706,496,871"
"Mar 20, 2024",$0.1013,$0.1122,$0.09846,$0.1114,"$100,836,589","$3,753,489,660"
"Mar 19, 2024",$0.1119,$0.1132,$0.09899,$0.1013,"$138,933,767","$3,413,735,246"
"Mar 18, 2024",$0.1164,$0.1164,$0.1086,$0.1119,"$88,060,690","$3,770,064,288"
"Mar 17, 2024",$0.1108,$0.1197,$0.1072,$0.1164,"$82,035,481","$3,921,466,853"
"Mar 16, 2024",$0.1203,$0.1245,$0.1086,$0.1108,"$103,749,057","$3,734,312,164"
"Mar 15, 2024",$0.127,$0.1273,$0.1116,$0.1203,"$138,709,065","$4,051,444,818"
"Mar 14, 2024",$0.1326,$0.1326,$0.1205,$0.127,"$112,415,518","$4,277,157,005"
"Mar 13, 2024",$0.1332,$0.1385,$0.1292,$0.1326,"$183,055,451","$4,467,179,569"
"Mar 12, 2024",$0.1327,$0.1334,$0.1233,$0.1332,"$130,875,588","$4,486,133,856"
"Mar 11, 2024",$0.1259,$0.1328,$0.1215,$0.1327,"$127,219,480","$4,469,524,674"
"Mar 10, 2024",$0.1308,$0.133,$0.1233,$0.1259,"$87,908,222","$4,242,236,165"
"Mar 09, 2024",$0.1307,$0.1319,$0.1289,$0.1308,"$66,720,689","$4,404,788,299"
"Mar 08, 2024",$0.1339,$0.1349,$0.1248,$0.1307,"$150,547,825","$4,403,196,437"
"Mar 07, 2024",$0.1258,$0.1387,$0.125,$0.1339,"$215,454,678","$4,511,969,831"
"Mar 06, 2024",$0.1117,$0.1263,$0.1085,$0.1258,"$187,871,054","$4,238,215,333"
"Mar 05, 2024",$0.1173,$0.1275,$0.09709,$0.1117,"$396,026,382","$3,764,036,803"
"Mar 04, 2024",$0.113,$0.1196,$0.1117,$0.1174,"$169,643,952","$3,953,232,840"
"Mar 03, 2024",$0.1155,$0.1155,$0.1094,$0.113,"$99,536,149","$3,806,532,783"
"Mar 02, 2024",$0.1168,$0.1204,$0.1126,$0.1154,"$136,137,952","$3,888,842,315"
"Mar 01, 2024",$0.1144,$0.1177,$0.1135,$0.1168,"$96,742,447","$3,933,538,937"
"Feb 29, 2024",$0.1135,$0.1238,$0.1103,$0.1145,"$197,803,956","$3,856,602,559"
"Feb 28, 2024",$0.1082,$0.1183,$0.106,$0.1135,"$250,291,945","$3,823,322,358"
"Feb 27, 2024",$0.1116,$0.113,$0.1075,$0.1082,"$106,760,494","$3,645,448,849"
"Feb 26, 2024",$0.1092,$0.1136,$0.1035,$0.1116,"$121,769,992","$3,759,199,164"
"Feb 25, 2024",$0.1101,$0.1117,$0.1066,$0.1092,"$75,334,362","$3,678,854,987"
"Feb 24, 2024",$0.1094,$0.1112,$0.1064,$0.1101,"$94,164,241","$3,707,907,169"
"Feb 23, 2024",$0.1161,$0.1163,$0.1076,$0.1094,"$183,568,992","$3,684,845,115"
"Feb 22, 2024",$0.1046,$0.1195,$0.1004,$0.1161,"$285,300,995","$3,910,339,401"
"Feb 21, 2024",$0.1074,$0.1119,$0.1001,$0.1046,"$276,216,269","$3,521,391,687"
"Feb 20, 2024",$0.112,$0.1131,$0.1017,$0.1075,"$401,021,657","$3,619,082,623"
"Feb 19, 2024",$0.08975,$0.1173,$0.08971,$0.112,"$551,527,663","$3,771,820,288"
"Feb 18, 2024",$0.0835,$0.09179,$0.0835,$0.08975,"$108,918,970","$3,022,557,280"
"Feb 17, 2024",$0.08562,$0.08582,$0.08164,$0.0835,"$47,829,670","$2,812,076,761"
"Feb 16, 2024",$0.08287,$0.08585,$0.0825,$0.08565,"$69,334,178","$2,884,595,579"
"Feb 15, 2024",$0.08251,$0.08435,$0.08158,$0.08287,"$66,089,133","$2,789,906,044"
"Feb 14, 2024",$0.0815,$0.08431,$0.08043,$0.08251,"$63,987,011","$2,777,751,238"
"Feb 13, 2024",$0.07975,$0.08209,$0.07847,$0.08151,"$68,259,664","$2,744,362,717"
"Feb 12, 2024",$0.0783,$0.08028,$0.07637,$0.07975,"$40,956,664","$2,684,899,674"
"Feb 11, 2024",$0.07894,$0.07978,$0.07769,$0.07829,"$34,456,018","$2,635,885,218"
"Feb 10, 2024",$0.07946,$0.08022,$0.07747,$0.07894,"$37,388,533","$2,657,689,861"
"Feb 09, 2024",$0.07602,$0.07968,$0.07556,$0.07946,"$67,470,213","$2,675,079,147"
"Feb 08, 2024",$0.07589,$0.07834,$0.0756,$0.07601,"$71,983,362","$2,559,008,711"
"Feb 07, 2024",$0.07497,$0.0768,$0.07085,$0.07589,"$101,708,881","$2,554,718,844"
"Feb 06, 2024",$0.06943,$0.07682,$0.0691,$0.07493,"$175,360,630","$2,522,652,019"
"Feb 05, 2024",$0.06841,$0.0707,$0.06755,$0.06943,"$29,117,774","$2,337,334,234"
"Feb 04, 2024",$0.0693,$0.0696,$0.06819,$0.06841,"$23,223,312","$2,303,080,129"
"Feb 03, 2024",$0.0692,$0.07003,$0.06851,$0.06929,"$24,995,892","$2,332,729,916"
"Feb 02, 2024",$0.07023,$0.07092,$0.06828,$0.06919,"$47,522,187","$2,329,361,196"
"Feb 01, 2024",$0.06953,$0.07028,$0.0683,$0.07023,"$43,436,241","$2,364,269,333"
"Jan 31, 2024",$0.07291,$0.07302,$0.06893,$0.06954,"$56,542,228","$2,341,103,624"
"Jan 30, 2024",$0.07441,$0.07514,$0.07269,$0.07294,"$40,920,961","$2,455,245,805"
"Jan 29, 2024",$0.07336,$0.07457,$0.07141,$0.07441,"$34,057,044","$2,504,862,806"
"Jan 28, 2024",$0.07442,$0.076,$0.07275,$0.07336,"$31,198,354","$2,469,381,310"
"Jan 27, 2024",$0.0745,$0.07532,$0.07374,$0.07444,"$23,244,219","$2,505,784,752"
"Jan 26, 2024",$0.07131,$0.07474,$0.0705,$0.07454,"$33,431,485","$2,509,151,907"
"Jan 25, 2024",$0.07226,$0.07244,$0.06988,$0.07133,"$29,534,319","$2,401,335,843"
"Jan 24, 2024",$0.07063,$0.07259,$0.06994,$0.07224,"$38,498,405","$2,431,950,869"
"Jan 23, 2024",$0.07121,$0.07229,$0.06732,$0.07063,"$56,318,301","$2,377,475,870"
"Jan 22, 2024",$0.07544,$0.07589,$0.07084,$0.07121,"$52,328,004","$2,396,999,931"
"Jan 21, 2024",$0.07635,$0.07743,$0.07543,$0.07543,"$29,194,446","$2,539,020,613"
"Jan 20, 2024",$0.07555,$0.07681,$0.07468,$0.07635,"$29,236,267","$2,570,144,262"
"Jan 19, 2024",$0.07522,$0.07611,$0.07241,$0.07555,"$57,106,374","$2,543,189,631"
"Jan 18, 2024",$0.07894,$0.07949,$0.0742,$0.07522,"$47,132,848","$2,531,370,009"
"Jan 17, 2024",$0.08054,$0.08102,$0.07843,$0.079,"$46,878,233","$2,658,785,605"
"Jan 16, 2024",$0.07776,$0.08161,$0.07743,$0.08056,"$61,223,297","$2,711,125,498"
"Jan 15, 2024",$0.07705,$0.07959,$0.07703,$0.07779,"$58,506,641","$2,617,684,283"
"Jan 14, 2024",$0.08116,$0.08118,$0.07698,$0.07707,"$55,153,911","$2,593,173,370"
"Jan 13, 2024",$0.08004,$0.0816,$0.07793,$0.08116,"$70,064,740","$2,731,015,995"
