Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$3.0880,$3.1963,$2.9855,$3.0044,"$81,397,863","$4,275,268,808"
"Mar 25, 2024",$2.9691,$3.1417,$2.9250,$3.0880,"$74,501,952","$4,394,354,669"
"Mar 24, 2024",$2.9357,$2.9695,$2.8366,$2.9691,"$54,700,237","$4,225,093,429"
"Mar 23, 2024",$2.7324,$2.9625,$2.7288,$2.9357,"$72,474,594","$4,177,527,223"
"Mar 22, 2024",$2.8502,$2.8945,$2.6767,$2.7324,"$71,086,844","$3,818,552,637"
"Mar 21, 2024",$2.9051,$2.9910,$2.8218,$2.8502,"$87,005,838","$3,983,106,888"
"Mar 20, 2024",$2.5774,$2.9479,$2.4858,$2.9051,"$103,780,964","$4,059,845,257"
"Mar 19, 2024",$2.8364,$2.8630,$2.5240,$2.5774,"$128,417,093","$3,580,523,249"
"Mar 18, 2024",$2.9654,$2.9765,$2.7535,$2.8364,"$78,089,515","$3,940,421,415"
"Mar 17, 2024",$2.8547,$2.9946,$2.7280,$2.9810,"$87,418,903","$4,141,346,533"
"Mar 16, 2024",$3.0624,$3.1161,$2.7884,$2.8547,"$103,450,707","$3,965,821,663"
"Mar 15, 2024",$3.3217,$3.3218,$2.9055,$3.0624,"$142,187,642","$4,254,326,435"
"Mar 14, 2024",$3.4668,$3.4681,$3.1545,$3.3217,"$151,705,588","$4,614,595,490"
"Mar 13, 2024",$3.6053,$3.6268,$3.3756,$3.4668,"$120,149,449","$4,816,190,932"
"Mar 12, 2024",$3.6344,$3.7471,$3.3945,$3.6053,"$151,194,258","$5,008,589,522"
"Mar 11, 2024",$3.4148,$3.6463,$3.3024,$3.6344,"$145,536,628","$5,048,979,037"
"Mar 10, 2024",$3.5292,$3.6222,$3.2957,$3.4148,"$116,963,460","$4,743,895,341"
"Mar 09, 2024",$3.3858,$3.6222,$3.3292,$3.5292,"$155,496,134","$4,902,826,480"
"Mar 08, 2024",$3.3453,$3.4528,$3.2275,$3.3858,"$142,924,936","$4,703,584,601"
"Mar 07, 2024",$3.1437,$3.3607,$3.1437,$3.3453,"$151,311,168","$4,647,392,229"
"Mar 06, 2024",$2.9009,$3.1441,$2.8279,$3.1437,"$153,334,406","$4,367,302,192"
"Mar 05, 2024",$3.1389,$3.2063,$2.5667,$2.9009,"$221,418,008","$4,030,004,683"
"Mar 04, 2024",$3.3208,$3.3284,$3.0891,$3.1385,"$130,599,135","$4,360,021,781"
"Mar 03, 2024",$3.2317,$3.3829,$3.1482,$3.3209,"$159,115,190","$4,613,447,788"
"Mar 02, 2024",$3.2107,$3.2328,$3.1391,$3.2310,"$93,146,565","$4,488,520,885"
"Mar 01, 2024",$3.1957,$3.2373,$3.1384,$3.2107,"$91,429,091","$4,460,429,999"
"Feb 29, 2024",$3.3422,$3.4030,$3.1317,$3.1957,"$131,840,015","$4,439,534,528"
"Feb 28, 2024",$3.3453,$3.4518,$3.1357,$3.3428,"$140,508,308","$4,643,852,223"
"Feb 27, 2024",$3.3110,$3.4613,$3.2618,$3.3451,"$108,588,403","$4,647,055,417"
"Feb 26, 2024",$3.2004,$3.3782,$3.1346,$3.3109,"$116,924,280","$4,599,516,526"
"Feb 25, 2024",$3.0786,$3.2136,$3.0221,$3.2001,"$71,604,613","$4,445,600,642"
"Feb 24, 2024",$3.0426,$3.2295,$2.9689,$3.0787,"$87,164,550","$4,276,998,972"
"Feb 23, 2024",$3.2384,$3.2873,$3.0189,$3.0412,"$96,037,480","$4,224,947,378"
"Feb 22, 2024",$3.3533,$3.5492,$3.2388,$3.2388,"$110,985,135","$4,416,772,978"
"Feb 21, 2024",$3.5465,$3.5465,$3.1851,$3.3526,"$110,037,071","$4,571,889,905"
"Feb 20, 2024",$3.2758,$3.6170,$3.2090,$3.5469,"$194,094,469","$4,807,584,295"
"Feb 19, 2024",$3.3453,$3.3756,$3.2640,$3.2758,"$93,806,602","$4,440,161,759"
"Feb 18, 2024",$3.1644,$3.4901,$3.0634,$3.3454,"$128,048,682","$4,534,395,749"
"Feb 17, 2024",$3.1497,$3.1901,$2.9842,$3.1647,"$73,873,525","$4,289,567,878"
"Feb 16, 2024",$3.1894,$3.2568,$3.0776,$3.1499,"$111,188,265","$4,269,444,298"
"Feb 15, 2024",$3.2830,$3.3288,$3.1284,$3.1896,"$151,895,607","$4,323,223,105"
"Feb 14, 2024",$2.9600,$3.3664,$2.8935,$3.2817,"$187,362,628","$4,448,111,586"
"Feb 13, 2024",$2.9419,$3.0444,$2.8520,$2.9599,"$165,137,628","$4,011,939,001"
"Feb 12, 2024",$2.7490,$3.1395,$2.7466,$2.9391,"$337,066,210","$3,983,685,862"
"Feb 11, 2024",$2.7801,$2.8024,$2.6823,$2.7497,"$129,247,858","$3,727,027,585"
"Feb 10, 2024",$2.4645,$2.8311,$2.4645,$2.7807,"$276,769,977","$3,768,984,865"
"Feb 09, 2024",$2.2778,$2.4828,$2.2778,$2.4637,"$117,126,595","$3,339,306,120"
"Feb 08, 2024",$2.3255,$2.3701,$2.2472,$2.2774,"$76,241,276","$3,086,911,991"
"Feb 07, 2024",$2.2077,$2.3298,$2.1478,$2.3253,"$76,130,919","$3,151,782,229"
"Feb 06, 2024",$2.2975,$2.3183,$2.2008,$2.2074,"$93,192,733","$2,991,968,367"
"Feb 05, 2024",$2.1050,$2.2974,$2.1050,$2.2974,"$102,826,016","$3,113,897,554"
"Feb 04, 2024",$2.1228,$2.1864,$2.1049,$2.1050,"$58,104,027","$2,853,112,160"
"Feb 03, 2024",$2.1782,$2.2398,$2.1151,$2.1230,"$65,448,890","$2,877,561,544"
"Feb 02, 2024",$2.0413,$2.2844,$2.0413,$2.1784,"$144,906,190","$2,952,712,334"
"Feb 01, 2024",$1.9336,$2.0653,$1.8879,$2.0413,"$71,027,503","$2,767,546,359"
"Jan 31, 2024",$2.0065,$2.0417,$1.9156,$1.9336,"$61,587,368","$2,621,514,951"
"Jan 30, 2024",$2.0286,$2.0737,$1.9961,$2.0065,"$65,008,875","$2,720,321,477"
"Jan 29, 2024",$1.9055,$2.0332,$1.8978,$2.0286,"$62,302,657","$2,730,823,894"
"Jan 28, 2024",$1.9380,$1.9836,$1.8994,$1.9055,"$57,664,377","$2,565,068,969"
"Jan 27, 2024",$1.9026,$1.9505,$1.8957,$1.9380,"$48,211,081","$2,608,866,192"
"Jan 26, 2024",$1.8245,$1.9372,$1.7979,$1.9028,"$62,067,291","$2,561,510,463"
"Jan 25, 2024",$1.8576,$1.8940,$1.7817,$1.8246,"$50,669,043","$2,427,156,371"
"Jan 24, 2024",$1.8691,$1.8691,$1.8034,$1.8575,"$48,032,401","$2,471,012,338"
"Jan 23, 2024",$1.7770,$1.8721,$1.7052,$1.8693,"$62,988,715","$2,486,696,328"
"Jan 22, 2024",$1.9148,$1.9589,$1.7710,$1.7770,"$56,749,069","$2,349,212,947"
"Jan 21, 2024",$1.9146,$1.9707,$1.9019,$1.9145,"$36,716,154","$2,530,928,460"
"Jan 20, 2024",$1.9351,$1.9351,$1.8716,$1.9146,"$42,422,301","$2,531,021,920"
"Jan 19, 2024",$1.9331,$1.9420,$1.8040,$1.9351,"$56,830,434","$2,558,244,345"
"Jan 18, 2024",$2.0461,$2.0498,$1.9026,$1.9330,"$62,526,619","$2,555,456,901"
"Jan 17, 2024",$2.0846,$2.1263,$2.0208,$2.0462,"$57,968,904","$2,705,030,675"
"Jan 16, 2024",$2.0222,$2.1110,$2.0069,$2.0845,"$79,374,084","$2,755,656,067"
"Jan 15, 2024",$1.9856,$2.0509,$1.9848,$2.0237,"$58,636,450","$2,675,362,790"
"Jan 14, 2024",$2.1286,$2.1304,$1.9831,$1.9859,"$57,458,969","$2,625,321,689"
"Jan 13, 2024",$2.1716,$2.1854,$2.0864,$2.1286,"$66,334,460","$2,814,025,860"
"Jan 12, 2024",$2.1999,$2.3069,$2.0609,$2.1707,"$127,912,095","$2,869,698,138"
"Jan 11, 2024",$2.1332,$2.2696,$2.1010,$2.1996,"$123,836,318","$2,907,893,761"
"Jan 10, 2024",$1.9079,$2.1404,$1.8480,$2.1326,"$97,756,134","$2,819,310,273"
"Jan 09, 2024",$2.0115,$2.0392,$1.8247,$1.9076,"$71,200,358","$2,521,888,305"
"Jan 08, 2024",$1.9033,$2.0196,$1.7659,$2.0110,"$87,873,957","$2,658,529,625"
"Jan 07, 2024",$2.0031,$2.0206,$1.8891,$1.9033,"$60,107,618","$2,516,198,715"
"Jan 06, 2024",$2.0549,$2.0568,$1.8831,$2.0030,"$61,880,938","$2,647,902,808"
"Jan 05, 2024",$2.2079,$2.2175,$1.9895,$2.0549,"$84,033,826","$2,716,536,730"
"Jan 04, 2024",$2.0981,$2.2414,$2.0878,$2.2081,"$108,049,612","$2,919,113,779"
"Jan 03, 2024",$2.2876,$2.4013,$1.9298,$2.0976,"$161,358,321","$2,773,002,116"
"Jan 02, 2024",$2.2758,$2.4094,$2.2598,$2.2876,"$89,494,783","$3,024,185,034"
"Jan 01, 2024",$2.1365,$2.2789,$2.1291,$2.2755,"$75,618,586","$3,008,143,401"
"Dec 31, 2023",$2.2315,$2.2698,$2.1294,$2.1360,"$70,157,452","$2,823,743,190"
"Dec 30, 2023",$2.3048,$2.3747,$2.2131,$2.2316,"$63,528,331","$2,950,114,976"
"Dec 29, 2023",$2.3197,$2.3483,$2.2308,$2.3049,"$85,454,470","$3,047,052,878"
"Dec 28, 2023",$2.4973,$2.5193,$2.2700,$2.3196,"$109,110,756","$3,007,320,755"
"Dec 27, 2023",$2.3650,$2.5972,$2.3187,$2.4972,"$154,737,648","$3,237,526,587"
"Dec 26, 2023",$2.4068,$2.4502,$2.2062,$2.3647,"$113,875,431","$3,065,710,275"
