Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$0.1456,$0.1497,$0.1359,$0.1365,"$94,810,409","$3,157,771,225"
"Mar 25, 2024",$0.1481,$0.1522,$0.1451,$0.1456,"$73,040,283","$3,368,320,213"
"Mar 24, 2024",$0.1385,$0.1488,$0.1384,$0.1481,"$47,904,950","$3,424,083,960"
"Mar 23, 2024",$0.1462,$0.1465,$0.1384,$0.1385,"$57,823,710","$3,200,220,040"
"Mar 22, 2024",$0.1475,$0.1576,$0.1428,$0.1462,"$107,165,999","$3,376,228,303"
"Mar 21, 2024",$0.1336,$0.1533,$0.1327,$0.1475,"$125,052,014","$3,405,435,977"
"Mar 20, 2024",$0.1189,$0.1348,$0.1167,$0.1336,"$88,808,540","$3,082,878,055"
"Mar 19, 2024",$0.1319,$0.1333,$0.1161,$0.1189,"$106,488,290","$2,743,169,379"
"Mar 18, 2024",$0.1392,$0.1392,$0.1281,$0.1319,"$61,163,619","$3,040,891,994"
"Mar 17, 2024",$0.1293,$0.143,$0.1254,$0.1392,"$67,998,429","$3,207,151,605"
"Mar 16, 2024",$0.14,$0.1446,$0.1268,$0.1293,"$69,025,726","$2,977,277,842"
"Mar 15, 2024",$0.1464,$0.1473,$0.1257,$0.14,"$106,811,615","$3,222,083,885"
"Mar 14, 2024",$0.1479,$0.1495,$0.1396,$0.1464,"$93,249,033","$3,368,046,279"
"Mar 13, 2024",$0.1496,$0.1514,$0.1439,$0.1479,"$79,876,487","$3,401,540,238"
"Mar 12, 2024",$0.1547,$0.1591,$0.1433,$0.1496,"$93,323,751","$3,438,349,830"
"Mar 11, 2024",$0.148,$0.1589,$0.1441,$0.1547,"$98,612,404","$3,554,691,675"
"Mar 10, 2024",$0.1485,$0.1532,$0.1443,$0.148,"$75,240,739","$3,398,609,503"
"Mar 09, 2024",$0.1503,$0.1513,$0.1425,$0.1485,"$85,021,792","$3,409,638,545"
"Mar 08, 2024",$0.1605,$0.1631,$0.1479,$0.1503,"$94,840,626","$3,448,433,975"
"Mar 07, 2024",$0.1494,$0.1646,$0.147,$0.1605,"$104,280,333","$3,680,427,547"
