Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$3.3103,$3.3688,$3.1103,$3.1333,"$96,540,320","$2,793,952,816"
"Mar 25, 2024",$3.1373,$3.3983,$3.1019,$3.3103,"$152,640,295","$2,951,861,149"
"Mar 24, 2024",$2.9196,$3.1851,$2.8708,$3.1373,"$112,050,564","$2,797,539,490"
"Mar 23, 2024",$2.7456,$2.9981,$2.7246,$2.9196,"$105,049,556","$2,603,415,919"
"Mar 22, 2024",$2.8631,$2.9819,$2.6805,$2.7456,"$144,597,991","$2,448,304,435"
"Mar 21, 2024",$2.6042,$2.9425,$2.5727,$2.8631,"$141,043,159","$2,553,000,994"
"Mar 20, 2024",$2.3079,$2.6116,$2.2493,$2.6042,"$131,532,795","$2,322,185,856"
"Mar 19, 2024",$2.5041,$2.5452,$2.2382,$2.3079,"$134,496,987","$2,057,977,659"
"Mar 18, 2024",$2.7209,$2.7349,$2.4358,$2.5041,"$136,938,071","$2,232,901,577"
"Mar 17, 2024",$2.7235,$2.7627,$2.5744,$2.7352,"$94,553,630","$2,438,945,656"
"Mar 16, 2024",$2.9434,$2.9867,$2.6587,$2.7235,"$103,513,886","$2,428,535,394"
"Mar 15, 2024",$3.1870,$3.2114,$2.8352,$2.9434,"$127,793,456","$2,624,589,805"
"Mar 14, 2024",$3.4336,$3.4374,$3.0572,$3.1870,"$113,122,880","$2,841,874,206"
"Mar 13, 2024",$3.3079,$3.6396,$3.3079,$3.4336,"$144,060,803","$3,061,701,428"
"Mar 12, 2024",$3.3748,$3.3973,$3.1433,$3.3079,"$119,163,201","$2,949,637,365"
"Mar 11, 2024",$3.2841,$3.4238,$3.1816,$3.3748,"$125,801,413","$3,009,306,766"
"Mar 10, 2024",$3.3648,$3.4184,$3.1973,$3.2841,"$87,931,534","$2,928,355,928"
"Mar 09, 2024",$3.4198,$3.4545,$3.3535,$3.3648,"$87,150,487","$3,000,314,486"
"Mar 08, 2024",$3.4663,$3.5853,$3.3132,$3.4198,"$131,223,905","$3,049,412,400"
"Mar 07, 2024",$3.3945,$3.5250,$3.2882,$3.4664,"$129,930,871","$3,090,845,799"
"Mar 06, 2024",$3.1149,$3.4143,$3.0039,$3.3945,"$168,196,157","$3,026,845,665"
"Mar 05, 2024",$3.2850,$3.4886,$2.7514,$3.1149,"$252,002,038","$2,777,540,273"
"Mar 04, 2024",$3.3188,$3.4007,$3.1644,$3.2849,"$136,784,622","$2,929,109,159"
