Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$90.72,$96.85,$87.78,$95.86,"$964,048,565","$7,127,992,708"
"Mar 25, 2024",$89.69,$91.94,$88.72,$90.72,"$620,722,715","$6,745,411,923"
"Mar 24, 2024",$85.42,$90.42,$85.38,$89.69,"$614,433,135","$6,668,241,700"
"Mar 23, 2024",$83.31,$87.46,$83.15,$85.42,"$494,227,407","$6,350,653,734"
"Mar 22, 2024",$85.70,$86.08,$80.81,$83.31,"$473,810,620","$6,193,341,125"
"Mar 21, 2024",$84.79,$86.80,$83.86,$85.70,"$563,676,121","$6,370,907,250"
"Mar 20, 2024",$78.59,$85.25,$77.29,$84.79,"$727,339,448","$6,302,562,913"
"Mar 19, 2024",$87.11,$87.43,$77.30,$78.59,"$978,488,125","$5,841,221,901"
"Mar 18, 2024",$85.86,$87.87,$80.95,$87.11,"$563,769,105","$6,474,670,630"
"Mar 17, 2024",$84.14,$86.68,$81.12,$85.86,"$503,681,869","$6,381,020,328"
"Mar 16, 2024",$89.71,$90.63,$82.47,$84.14,"$622,982,146","$6,253,005,089"
"Mar 15, 2024",$94.12,$95.27,$84.35,$89.71,"$922,321,450","$6,666,892,214"
"Mar 14, 2024",$97.32,$98.02,$90.35,$94.12,"$835,527,149","$6,994,172,066"
"Mar 13, 2024",$97.54,$98.78,$94.63,$97.32,"$668,550,065","$7,231,821,815"
"Mar 12, 2024",$103.79,$104.09,$93.30,$97.54,"$1,160,292,398","$7,247,420,927"
"Mar 11, 2024",$87.51,$105.58,$84.83,$103.79,"$1,538,166,122","$7,711,851,498"
"Mar 10, 2024",$90.85,$90.91,$85.68,$87.51,"$482,197,828","$6,501,520,265"
"Mar 09, 2024",$88.63,$91.01,$87.22,$90.85,"$526,302,540","$6,749,310,827"
"Mar 08, 2024",$88.11,$89.31,$84.96,$88.63,"$704,449,860","$6,584,351,358"
"Mar 07, 2024",$85.83,$89.60,$83.59,$88.11,"$651,436,457","$6,545,111,046"
"Mar 06, 2024",$82.04,$87.26,$79.99,$85.83,"$742,784,629","$6,375,572,721"
"Mar 05, 2024",$88.95,$91.83,$74.43,$82.04,"$1,367,572,503","$6,093,662,616"
"Mar 04, 2024",$90.67,$92.42,$87.78,$88.94,"$830,931,633","$6,605,601,740"
"Mar 03, 2024",$94.43,$94.53,$87.50,$90.67,"$707,371,775","$6,734,012,596"
"Mar 02, 2024",$85.06,$94.47,$84.58,$94.42,"$1,040,122,066","$7,012,219,555"
"Mar 01, 2024",$79.92,$86.06,$79.92,$85.08,"$656,274,472","$6,318,658,058"
"Feb 29, 2024",$74.58,$84.81,$74.12,$79.94,"$1,042,945,490","$5,936,422,993"
"Feb 28, 2024",$74.03,$77.85,$71.76,$74.59,"$768,473,291","$5,538,994,641"
"Feb 27, 2024",$71.95,$76.29,$71.95,$74.03,"$641,863,534","$5,497,230,750"
"Feb 26, 2024",$70.09,$72.92,$69.23,$71.94,"$389,106,739","$5,341,361,250"
"Feb 25, 2024",$70.39,$70.55,$69.80,$70.08,"$225,632,198","$5,203,321,034"
"Feb 24, 2024",$68.83,$70.62,$68.72,$70.39,"$241,694,583","$5,225,709,028"
"Feb 23, 2024",$68.76,$69.06,$67.72,$68.83,"$256,867,051","$5,109,720,881"
"Feb 22, 2024",$68.94,$69.63,$67.98,$68.76,"$311,236,598","$5,104,738,419"
"Feb 21, 2024",$69.65,$69.66,$67.50,$68.94,"$295,704,432","$5,117,333,691"
"Feb 20, 2024",$71.31,$71.42,$68.31,$69.66,"$391,121,481","$5,170,340,445"
