Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$0.8589,$0.9357,$0.8545,$0.9341,"$254,132,940","$3,020,478,408"
"Mar 25, 2024",$0.8405,$0.8716,$0.8205,$0.8589,"$232,786,488","$2,775,531,340"
"Mar 24, 2024",$0.8059,$0.8449,$0.802,$0.8405,"$144,509,454","$2,716,157,412"
"Mar 23, 2024",$0.7877,$0.8343,$0.784,$0.8059,"$147,459,609","$2,604,294,095"
"Mar 22, 2024",$0.8318,$0.8473,$0.7771,$0.7877,"$244,144,959","$2,545,454,897"
"Mar 21, 2024",$0.8446,$0.865,$0.8172,$0.8318,"$334,280,905","$2,687,979,083"
"Mar 20, 2024",$0.7925,$0.8486,$0.7593,$0.8446,"$466,897,040","$2,729,570,500"
"Mar 19, 2024",$0.835,$0.8405,$0.7684,$0.7925,"$484,636,240","$2,561,160,059"
"Mar 18, 2024",$0.8704,$0.8755,$0.8148,$0.835,"$347,511,779","$2,698,547,255"
"Mar 17, 2024",$0.8298,$0.884,$0.8023,$0.8775,"$340,785,452","$2,835,626,082"
"Mar 16, 2024",$0.8862,$0.9752,$0.8103,$0.8298,"$253,743,683","$2,681,652,856"
"Mar 15, 2024",$0.9863,$0.9975,$0.867,$0.8862,"$471,340,727","$2,864,038,112"
"Mar 14, 2024",$1.0410,$1.0812,$0.9415,$0.9863,"$458,323,704","$3,187,288,596"
"Mar 13, 2024",$1.0399,$1.0832,$1.0281,$1.0410,"$432,961,484","$3,364,101,098"
"Mar 12, 2024",$1.0791,$1.0923,$1.0085,$1.0399,"$317,045,886","$3,360,611,819"
"Mar 11, 2024",$1.0406,$1.0977,$1.0122,$1.0791,"$362,262,629","$3,487,400,300"
"Mar 10, 2024",$1.0549,$1.0693,$1.0189,$1.0406,"$216,163,939","$3,363,028,054"
"Mar 09, 2024",$1.0548,$1.0736,$1.0260,$1.0549,"$213,901,952","$3,409,086,775"
"Mar 08, 2024",$0.9833,$1.0597,$0.9755,$1.0548,"$303,346,970","$3,408,868,165"
"Mar 07, 2024",$0.9748,$1.0035,$0.9575,$0.9833,"$102,709,329","$3,177,830,794"
"Mar 06, 2024",$0.9228,$1.0209,$0.9224,$0.9748,"$531,968,633","$3,150,284,347"
"Mar 05, 2024",$0.94,$0.9967,$0.8529,$0.9228,"$603,863,728","$2,982,320,541"
"Mar 04, 2024",$0.8852,$0.9416,$0.8688,$0.94,"$280,075,700","$3,037,879,566"
"Mar 03, 2024",$0.9029,$0.9069,$0.8774,$0.8852,"$226,290,226","$2,860,513,151"
"Mar 02, 2024",$0.9293,$0.9378,$0.8881,$0.9029,"$153,788,068","$2,917,710,816"
"Mar 01, 2024",$0.8986,$0.9447,$0.8954,$0.9293,"$185,562,972","$3,003,072,632"
"Feb 29, 2024",$0.9436,$1.0092,$0.8806,$0.8986,"$443,372,225","$2,902,827,852"
