Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$1.0000,$1.0005,$0.9998,$0.9999,"$414,309,880","$5,347,388,137"
"Mar 25, 2024",$1.0002,$1.0008,$0.9998,$1.0000,"$334,831,527","$5,347,932,263"
"Mar 24, 2024",$1.0002,$1.0009,$1.0001,$1.0002,"$445,014,185","$5,349,159,592"
"Mar 23, 2024",$1.0003,$1.0007,$1.0001,$1.0003,"$556,385,776","$5,349,209,133"
"Mar 22, 2024",$1.0002,$1.0006,$0.9997,$1.0003,"$743,177,552","$5,349,369,810"
"Mar 21, 2024",$1.0002,$1.0008,$0.9998,$1.0002,"$453,352,509","$5,348,772,649"
"Mar 20, 2024",$0.9999,$1.0005,$0.9996,$1.0002,"$569,170,278","$5,348,961,904"
"Mar 19, 2024",$1.0001,$1.0006,$0.9996,$0.9999,"$802,495,679","$5,347,288,995"
"Mar 18, 2024",$0.9997,$1.0005,$0.9995,$1.0001,"$376,763,988","$5,348,531,700"
"Mar 17, 2024",$1.0001,$1.0003,$0.9997,$0.9997,"$486,712,552","$5,346,201,433"
"Mar 16, 2024",$1.0001,$1.0006,$0.9997,$1.0001,"$822,318,041","$5,348,309,530"
"Mar 15, 2024",$0.9998,$1.0003,$0.9994,$1.0001,"$1,052,659,626","$5,348,466,523"
"Mar 14, 2024",$0.9999,$1.0003,$0.999,$0.9998,"$515,454,579","$5,346,937,810"
"Mar 13, 2024",$1.0000,$1.0006,$0.9998,$0.9999,"$468,851,335","$5,347,783,225"
"Mar 12, 2024",$0.9999,$1.0003,$0.9995,$1.0000,"$647,606,229","$5,348,014,175"
"Mar 11, 2024",$0.9998,$1.0002,$0.9995,$0.9999,"$668,813,995","$5,347,247,610"
"Mar 10, 2024",$1.0001,$1.0003,$0.9994,$0.9998,"$420,698,089","$5,346,684,167"
"Mar 09, 2024",$1.0001,$1.0008,$0.9999,$1.0001,"$327,655,680","$5,348,591,628"
"Mar 08, 2024",$1.0000,$1.0005,$0.9992,$1.0001,"$524,782,803","$5,348,394,498"
"Mar 07, 2024",$0.9997,$1.0007,$0.9994,$1.0000,"$764,137,178","$5,347,933,846"
"Mar 06, 2024",$0.9999,$1.0001,$0.9992,$0.9997,"$964,453,479","$5,346,121,765"
"Mar 05, 2024",$1.0003,$1.0003,$0.999,$0.9999,"$756,690,977","$5,347,662,490"
"Mar 04, 2024",$0.9999,$1.0003,$0.9993,$1.0002,"$304,107,415","$5,349,016,664"
"Mar 03, 2024",$0.9999,$1.0001,$0.9996,$0.9999,"$217,624,570","$5,347,217,441"
"Mar 02, 2024",$1.0000,$1.0005,$0.9997,$0.9999,"$345,646,943","$5,347,318,304"
"Mar 01, 2024",$0.9998,$1.0007,$0.9996,$0.9999,"$219,406,496","$5,347,812,145"
"Feb 29, 2024",$1.0000,$1.0003,$0.9994,$0.9998,"$297,734,434","$5,346,684,974"
"Feb 28, 2024",$0.9998,$1.0003,$0.9988,$1.0001,"$335,747,475","$5,348,219,561"
"Feb 27, 2024",$0.9999,$1.0001,$0.9994,$0.9998,"$417,487,474","$5,346,647,930"
"Feb 26, 2024",$1.0000,$1.0002,$0.9995,$0.9999,"$185,685,912","$5,347,290,152"
"Feb 25, 2024",$1.0001,$1.0004,$0.9998,$1.0000,"$112,152,584","$5,348,027,278"
"Feb 24, 2024",$0.9999,$1.0003,$0.9997,$1.0001,"$109,500,043","$5,348,631,350"
"Feb 23, 2024",$0.9997,$1.0002,$0.9997,$0.9999,"$126,247,759","$5,347,371,336"
"Feb 22, 2024",$1.0002,$1.0002,$0.9994,$0.9997,"$142,429,438","$5,346,370,531"
"Feb 21, 2024",$0.9999,$1.0004,$0.9997,$1.0002,"$186,133,672","$5,348,801,440"
"Feb 20, 2024",$0.9997,$1.0002,$0.9995,$0.9999,"$165,870,615","$5,347,291,370"
"Feb 19, 2024",$0.9999,$1.0000,$0.9994,$0.9997,"$132,422,244","$5,346,108,964"
"Feb 18, 2024",$0.9999,$1.0004,$0.9998,$0.9999,"$93,702,614","$5,347,317,471"
"Feb 17, 2024",$1.0001,$1.0001,$0.9996,$0.9999,"$99,367,283","$5,347,235,504"
"Feb 16, 2024",$1.0001,$1.0003,$0.9997,$1.0000,"$235,500,138","$5,348,109,463"
"Feb 15, 2024",$1.0001,$1.0003,$0.9996,$1.0001,"$117,227,184","$5,348,357,797"
"Feb 14, 2024",$1.0001,$1.0004,$0.9997,$1.0001,"$151,007,151","$5,348,323,094"
"Feb 13, 2024",$0.9999,$1.0004,$0.9996,$1.0001,"$152,306,883","$5,348,501,401"
"Feb 12, 2024",$1.0000,$1.0005,$0.9999,$0.9999,"$160,595,916","$5,347,309,788"
"Feb 11, 2024",$1.0002,$1.0004,$0.9999,$1.0000,"$255,124,317","$5,347,997,664"
"Feb 10, 2024",$1.0003,$1.0006,$1.0000,$1.0002,"$100,740,194","$5,348,919,439"
"Feb 09, 2024",$1.0000,$1.0004,$0.9998,$1.0003,"$135,793,157","$5,349,557,833"
"Feb 08, 2024",$1.0000,$1.0002,$0.9997,$1.0000,"$107,540,867","$5,348,110,436"
"Feb 07, 2024",$1.0002,$1.0004,$0.9998,$0.9999,"$162,340,434","$5,347,771,060"
"Feb 06, 2024",$0.9999,$1.0004,$0.9997,$1.0001,"$141,704,661","$5,348,580,439"
"Feb 05, 2024",$0.9999,$1.0002,$0.9996,$0.9999,"$122,117,339","$5,347,556,915"
"Feb 04, 2024",$1.0001,$1.0004,$0.9997,$0.9999,"$62,797,125","$5,347,759,104"
"Feb 03, 2024",$1.0000,$1.0002,$0.9998,$1.0000,"$161,118,274","$5,348,148,192"
"Feb 02, 2024",$1.0002,$1.0003,$0.9996,$1.0000,"$127,056,111","$5,347,957,876"
"Feb 01, 2024",$0.9998,$1.0002,$0.9994,$1.0002,"$125,488,515","$5,348,852,684"
"Jan 31, 2024",$1.0001,$1.0002,$0.9997,$0.9998,"$171,771,278","$5,347,018,304"
"Jan 30, 2024",$1.0001,$1.0003,$0.9998,$1.0001,"$168,965,408","$5,348,601,907"
"Jan 29, 2024",$1.0001,$1.0004,$0.9999,$1.0001,"$177,812,861","$5,348,580,196"
"Jan 28, 2024",$1.0001,$1.0003,$0.9999,$1.0001,"$149,972,883","$5,348,569,200"
"Jan 27, 2024",$1.0002,$1.0004,$1.0001,$1.0001,"$178,939,390","$5,348,605,469"
"Jan 26, 2024",$1.0004,$1.0007,$0.9999,$1.0002,"$250,731,979","$5,349,117,348"
"Jan 25, 2024",$1.0002,$1.0008,$0.9999,$1.0004,"$229,194,493","$5,350,046,459"
"Jan 24, 2024",$1.0001,$1.0004,$0.9998,$1.0002,"$170,022,504","$5,349,022,856"
"Jan 23, 2024",$0.9998,$1.0004,$0.9996,$1.0001,"$224,575,745","$5,348,292,732"
"Jan 22, 2024",$1.0001,$1.0002,$0.9996,$0.9998,"$275,986,578","$5,346,800,091"
"Jan 21, 2024",$1.0000,$1.0003,$0.9998,$1.0000,"$108,340,492","$5,348,073,953"
"Jan 20, 2024",$1.0001,$1.0013,$0.9999,$1.0000,"$205,045,933","$5,347,956,163"
"Jan 19, 2024",$0.9999,$1.0003,$0.9996,$1.0001,"$199,760,266","$5,348,509,638"
