Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$7.4584,$8.0776,$7.4302,$7.6559,"$782,065,542","$8,069,406,104"
"Mar 25, 2024",$6.9776,$7.7452,$6.9773,$7.4584,"$701,723,710","$7,861,249,265"
"Mar 24, 2024",$6.6231,$6.9957,$6.4339,$6.9776,"$317,407,480","$7,354,544,903"
"Mar 23, 2024",$6.4743,$6.7957,$6.3810,$6.6231,"$331,981,238","$6,980,884,344"
"Mar 22, 2024",$6.4422,$6.8124,$6.2192,$6.4743,"$552,225,420","$6,824,025,868"
"Mar 21, 2024",$6.9008,$6.9640,$6.4190,$6.4422,"$544,661,043","$6,790,185,286"
"Mar 20, 2024",$6.3578,$6.9998,$6.0342,$6.9008,"$897,906,825","$7,271,348,957"
"Mar 19, 2024",$7.0221,$7.0819,$6.2086,$6.3574,"$1,126,797,290","$6,695,509,241"
"Mar 18, 2024",$8.1976,$8.5517,$6.8639,$7.0221,"$1,374,900,328","$7,395,114,268"
"Mar 17, 2024",$6.7305,$8.4112,$6.6453,$8.2411,"$1,185,904,219","$8,674,205,995"
"Mar 16, 2024",$7.4774,$7.9534,$6.5355,$6.7305,"$1,005,853,621","$7,084,182,652"
"Mar 15, 2024",$8.8825,$8.9851,$7.1022,$7.4774,"$1,642,844,689","$7,868,551,421"
"Mar 14, 2024",$7.7552,$8.8914,$7.6367,$8.8825,"$1,128,794,752","$9,271,213,900"
"Mar 13, 2024",$8.0225,$8.4868,$7.6167,$7.7551,"$848,480,341","$8,094,634,434"
"Mar 12, 2024",$6.6839,$8.0225,$6.6506,$8.0225,"$1,217,593,889","$8,373,583,917"
"Mar 11, 2024",$5.9563,$7.2801,$5.7024,$6.6839,"$1,279,131,659","$6,976,399,635"
"Mar 10, 2024",$6.2108,$6.2374,$5.7708,$5.9562,"$455,345,177","$6,216,937,312"
"Mar 09, 2024",$5.7548,$6.4861,$5.6193,$6.2108,"$772,238,077","$6,482,621,160"
"Mar 08, 2024",$5.5393,$5.7609,$5.2425,$5.7548,"$715,749,008","$6,006,628,154"
"Mar 07, 2024",$5.8623,$6.0852,$5.4649,$5.5400,"$1,102,188,527","$5,781,759,924"
"Mar 06, 2024",$4.2494,$5.9013,$4.0067,$5.8623,"$1,265,639,128","$6,118,799,519"
"Mar 05, 2024",$4.3382,$4.4743,$3.5766,$4.2493,"$651,417,085","$4,435,333,388"
"Mar 04, 2024",$4.4400,$4.7438,$4.2331,$4.3385,"$529,710,864","$4,528,335,507"
"Mar 03, 2024",$4.4940,$4.5027,$4.0266,$4.4405,"$417,254,314","$4,634,865,070"
"Mar 02, 2024",$3.9629,$4.4951,$3.8982,$4.4917,"$399,930,446","$4,688,222,505"
"Mar 01, 2024",$3.8688,$4.1184,$3.8688,$3.9620,"$293,370,757","$4,135,372,448"
"Feb 29, 2024",$3.8876,$4.0843,$3.7337,$3.8704,"$380,381,495","$4,039,735,280"
"Feb 28, 2024",$3.9509,$4.0847,$3.6362,$3.8856,"$460,979,943","$4,054,780,438"
"Feb 27, 2024",$4.0981,$4.1355,$3.8691,$3.9530,"$337,520,692","$4,123,766,247"
"Feb 26, 2024",$3.7072,$4.1863,$3.6508,$4.0971,"$519,485,986","$4,272,727,181"
"Feb 25, 2024",$3.8618,$3.8693,$3.6605,$3.7082,"$250,020,467","$3,866,208,937"
"Feb 24, 2024",$3.3588,$3.9128,$3.3024,$3.8613,"$394,273,062","$4,024,560,292"
"Feb 23, 2024",$3.2456,$3.4262,$3.1612,$3.3578,"$223,115,450","$3,497,145,042"
"Feb 22, 2024",$3.2428,$3.3437,$3.1210,$3.2456,"$171,674,029","$3,379,195,379"
"Feb 21, 2024",$3.4019,$3.4019,$3.0984,$3.2432,"$189,657,579","$3,376,665,307"
"Feb 20, 2024",$3.5332,$3.5494,$3.2547,$3.4019,"$256,001,957","$3,541,111,088"
"Feb 19, 2024",$3.5166,$3.6115,$3.4718,$3.5332,"$245,241,101","$3,677,848,828"
"Feb 18, 2024",$3.3322,$3.5800,$3.2714,$3.5161,"$258,777,219","$3,658,829,240"
"Feb 17, 2024",$3.2810,$3.3458,$3.1478,$3.3318,"$131,785,969","$3,466,292,750"
"Feb 16, 2024",$3.4004,$3.4595,$3.1887,$3.2808,"$206,231,924","$3,412,170,818"
"Feb 15, 2024",$3.3355,$3.4087,$3.2797,$3.4004,"$219,634,490","$3,534,621,483"
"Feb 14, 2024",$3.2163,$3.4516,$3.1712,$3.3352,"$226,866,523","$3,466,928,646"
"Feb 13, 2024",$3.3874,$3.4348,$3.1815,$3.2164,"$207,158,941","$3,342,374,957"
"Feb 12, 2024",$3.1252,$3.3963,$3.0763,$3.3884,"$318,796,338","$3,505,710,484"
"Feb 11, 2024",$3.0453,$3.2124,$3.0410,$3.1251,"$208,587,249","$3,232,282,438"
"Feb 10, 2024",$2.9940,$3.1434,$2.9724,$3.0457,"$166,680,724","$3,149,229,403"
"Feb 09, 2024",$2.9256,$3.0490,$2.9225,$2.9935,"$195,826,340","$3,094,543,173"
"Feb 08, 2024",$2.8669,$2.9979,$2.8669,$2.9256,"$166,412,456","$3,023,488,218"
"Feb 07, 2024",$2.7340,$2.8895,$2.6857,$2.8668,"$120,313,828","$2,959,275,453"
"Feb 06, 2024",$2.7465,$2.7719,$2.6887,$2.7339,"$99,534,693","$2,822,129,303"
"Feb 05, 2024",$2.7532,$2.8093,$2.7030,$2.7463,"$93,479,341","$2,834,909,014"
"Feb 04, 2024",$2.8148,$2.8162,$2.7529,$2.7533,"$75,799,055","$2,842,169,845"
"Feb 03, 2024",$2.8988,$2.9411,$2.8052,$2.8147,"$77,825,938","$2,904,693,321"
"Feb 02, 2024",$2.8535,$2.9397,$2.8346,$2.8985,"$118,531,940","$2,990,255,968"
"Feb 01, 2024",$2.8221,$2.8727,$2.7308,$2.8534,"$130,084,803","$2,942,824,250"
"Jan 31, 2024",$3.0091,$3.0202,$2.7977,$2.8220,"$200,086,848","$2,835,212,470"
"Jan 30, 2024",$3.0072,$3.2148,$2.9615,$3.0091,"$246,789,846","$3,023,176,990"
"Jan 29, 2024",$2.8806,$3.0551,$2.8590,$3.0072,"$152,340,823","$3,021,190,695"
"Jan 28, 2024",$2.9097,$3.0647,$2.8643,$2.8809,"$213,816,566","$2,894,331,354"
"Jan 27, 2024",$2.9223,$2.9587,$2.8310,$2.9094,"$127,723,788","$2,922,928,327"
"Jan 26, 2024",$2.6973,$2.9977,$2.6502,$2.9223,"$266,071,582","$2,935,940,165"
"Jan 25, 2024",$2.6816,$2.7389,$2.6098,$2.6979,"$138,142,097","$2,710,440,489"
"Jan 24, 2024",$2.6502,$2.6882,$2.5487,$2.6819,"$192,442,652","$2,694,405,302"
"Jan 23, 2024",$2.6442,$2.7205,$2.4616,$2.6495,"$197,732,700","$2,661,850,914"
"Jan 22, 2024",$2.9205,$2.9411,$2.6019,$2.6442,"$198,669,931","$2,656,568,934"
"Jan 21, 2024",$2.9599,$3.0395,$2.9203,$2.9203,"$90,877,565","$2,933,899,132"
"Jan 20, 2024",$3.0024,$3.0052,$2.8746,$2.9594,"$94,917,840","$2,973,252,821"
"Jan 19, 2024",$3.0738,$3.0902,$2.7987,$3.0025,"$175,919,742","$3,016,499,149"
"Jan 18, 2024",$3.3003,$3.3672,$3.0035,$3.0738,"$183,822,309","$3,088,181,727"
"Jan 17, 2024",$3.2355,$3.3610,$3.1642,$3.2998,"$165,405,591","$3,315,168,712"
"Jan 16, 2024",$3.3031,$3.3410,$3.1886,$3.2356,"$148,988,827","$3,250,722,251"
"Jan 15, 2024",$3.3067,$3.4154,$3.2452,$3.3036,"$141,937,565","$3,318,971,429"
"Jan 14, 2024",$3.4016,$3.5140,$3.3024,$3.3071,"$150,193,317","$3,322,500,722"
"Jan 13, 2024",$3.4488,$3.5140,$3.3138,$3.4011,"$136,560,444","$3,416,939,282"
"Jan 12, 2024",$3.6179,$3.6717,$3.3407,$3.4491,"$278,496,862","$3,465,212,508"
"Jan 11, 2024",$3.5947,$3.8249,$3.5127,$3.6201,"$341,847,112","$3,636,986,016"
"Jan 10, 2024",$3.2250,$3.6747,$3.0999,$3.5916,"$273,467,269","$3,608,409,417"
"Jan 09, 2024",$3.4169,$3.5348,$3.0378,$3.2260,"$291,311,863","$3,241,074,905"
"Jan 08, 2024",$3.2085,$3.4776,$2.9449,$3.4158,"$298,370,661","$3,431,718,055"
"Jan 07, 2024",$3.4809,$3.5352,$3.1645,$3.2084,"$168,466,168","$3,223,410,137"
"Jan 06, 2024",$3.5469,$3.6822,$3.1839,$3.4808,"$285,572,464","$3,497,056,684"
"Jan 05, 2024",$3.9196,$3.9413,$3.4721,$3.5459,"$245,138,857","$3,562,448,491"
"Jan 04, 2024",$3.7762,$4.0395,$3.5937,$3.9197,"$331,500,902","$3,938,039,798"
"Jan 03, 2024",$3.9234,$4.0754,$3.2294,$3.7758,"$529,863,523","$3,793,468,528"
"Jan 02, 2024",$3.7994,$4.3064,$3.7585,$3.9230,"$597,629,199","$3,941,353,182"
