Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$3.8625,$4.0160,$3.7951,$3.9189,"$348,891,232","$3,942,952,772"
"Mar 25, 2024",$3.7070,$3.9176,$3.6981,$3.8625,"$368,007,878","$3,886,182,427"
"Mar 24, 2024",$3.4373,$3.7789,$3.3772,$3.7070,"$354,719,177","$3,729,741,253"
"Mar 23, 2024",$3.4140,$3.5346,$3.3202,$3.4373,"$248,161,931","$3,458,387,903"
"Mar 22, 2024",$3.4277,$3.5931,$3.3148,$3.4140,"$442,859,202","$3,434,941,887"
"Mar 21, 2024",$3.5458,$3.5964,$3.3389,$3.4277,"$358,115,884","$3,448,762,641"
"Mar 20, 2024",$3.4496,$3.5660,$3.1749,$3.5458,"$659,939,230","$3,567,575,326"
"Mar 19, 2024",$3.3042,$3.4921,$2.9818,$3.4500,"$571,521,101","$3,470,793,734"
"Mar 18, 2024",$3.5800,$3.5807,$3.2468,$3.3042,"$334,082,927","$3,324,456,419"
"Mar 17, 2024",$3.5451,$3.6335,$3.3771,$3.5935,"$331,029,298","$3,615,524,004"
"Mar 16, 2024",$3.8119,$3.8458,$3.4625,$3.5451,"$366,333,227","$3,566,876,868"
"Mar 15, 2024",$4.1995,$4.2294,$3.6338,$3.8119,"$509,049,118","$3,835,335,361"
"Mar 14, 2024",$4.4174,$4.4888,$4.0344,$4.1995,"$456,208,755","$4,225,337,170"
"Mar 13, 2024",$4.3607,$4.5763,$4.3338,$4.4174,"$370,923,596","$4,444,524,362"
"Mar 12, 2024",$4.5848,$4.6733,$4.1581,$4.3607,"$563,897,150","$4,387,467,294"
"Mar 11, 2024",$4.5428,$4.6474,$4.4143,$4.5848,"$549,719,621","$4,612,953,131"
"Mar 10, 2024",$4.7033,$4.7913,$4.4370,$4.5428,"$367,727,364","$4,570,684,647"
"Mar 09, 2024",$4.4890,$4.7033,$4.4823,$4.7033,"$307,655,960","$4,732,202,452"
"Mar 08, 2024",$4.6721,$4.7960,$4.3729,$4.4890,"$425,700,122","$4,516,540,141"
"Mar 07, 2024",$4.5492,$4.7719,$4.4473,$4.6722,"$485,257,601","$4,700,788,338"
"Mar 06, 2024",$4.5156,$4.8515,$4.3176,$4.5492,"$760,513,495","$4,577,185,446"
"Mar 05, 2024",$3.9128,$4.6120,$3.7594,$4.5151,"$1,263,459,014","$4,543,297,408"
"Mar 04, 2024",$3.9911,$4.0806,$3.7714,$3.9122,"$338,686,139","$3,936,271,870"
"Mar 03, 2024",$3.9894,$4.2954,$3.8235,$3.9917,"$525,375,015","$4,016,217,189"
"Mar 02, 2024",$3.7597,$3.9893,$3.7350,$3.9893,"$293,398,611","$4,013,848,107"
"Mar 01, 2024",$3.6984,$3.8098,$3.6984,$3.7593,"$207,729,571","$3,782,391,228"
"Feb 29, 2024",$3.7700,$4.0353,$3.6175,$3.6994,"$399,869,660","$3,722,116,947"
"Feb 28, 2024",$3.7064,$3.9180,$3.5810,$3.7701,"$379,243,310","$3,609,410,449"
"Feb 27, 2024",$3.8311,$3.9253,$3.6740,$3.7063,"$253,529,705","$3,548,347,890"
"Feb 26, 2024",$3.8753,$3.8770,$3.6401,$3.8317,"$231,255,012","$3,668,395,966"
"Feb 25, 2024",$3.6692,$3.8757,$3.6216,$3.8752,"$188,074,081","$3,709,998,087"
"Feb 24, 2024",$3.5116,$3.7108,$3.4331,$3.6692,"$165,518,720","$3,512,782,459"
"Feb 23, 2024",$3.6341,$3.6905,$3.4912,$3.5118,"$201,855,070","$3,362,157,515"
"Feb 22, 2024",$3.7649,$3.8389,$3.6186,$3.6341,"$268,762,054","$3,479,189,655"
"Feb 21, 2024",$4.0591,$4.0665,$3.5766,$3.7641,"$349,688,130","$3,603,689,132"
"Feb 20, 2024",$3.9580,$4.1806,$3.7271,$4.0589,"$561,501,877","$3,885,887,208"
"Feb 19, 2024",$3.7864,$4.0185,$3.7470,$3.9577,"$273,094,741","$3,788,999,535"
"Feb 18, 2024",$3.5794,$3.8178,$3.5586,$3.7860,"$148,668,910","$3,624,679,132"
"Feb 17, 2024",$3.6442,$3.6674,$3.4799,$3.5794,"$141,673,347","$3,426,877,424"
"Feb 16, 2024",$3.8626,$3.8938,$3.5913,$3.6444,"$198,645,970","$3,489,102,302"
"Feb 15, 2024",$3.8246,$3.9611,$3.8200,$3.8628,"$273,058,663","$3,698,132,841"
"Feb 14, 2024",$3.7318,$3.8652,$3.6824,$3.8253,"$210,997,452","$3,662,302,996"
"Feb 13, 2024",$3.8232,$3.8232,$3.6466,$3.7317,"$241,647,951","$3,572,671,345"
"Feb 12, 2024",$3.5313,$3.9054,$3.4685,$3.8243,"$283,507,661","$3,661,305,918"
"Feb 11, 2024",$3.3656,$3.6436,$3.3649,$3.5305,"$191,055,214","$3,380,005,816"
"Feb 10, 2024",$3.4638,$3.4994,$3.3483,$3.3653,"$126,087,752","$3,221,837,545"
"Feb 09, 2024",$3.3020,$3.5119,$3.3020,$3.4648,"$232,324,472","$3,317,123,817"
"Feb 08, 2024",$3.3606,$3.4411,$3.3021,$3.3021,"$208,856,062","$3,161,328,767"
"Feb 07, 2024",$3.3238,$3.4652,$3.2014,$3.3599,"$304,091,699","$3,216,655,712"
"Feb 06, 2024",$3.0920,$3.3629,$3.0808,$3.3237,"$386,355,121","$3,182,035,795"
"Feb 05, 2024",$2.9923,$3.1207,$2.9300,$3.0920,"$148,900,697","$2,960,252,162"
"Feb 04, 2024",$2.9574,$3.0595,$2.9235,$2.9921,"$103,435,276","$2,864,532,880"
"Feb 03, 2024",$3.0084,$3.0436,$2.9539,$2.9572,"$76,101,778","$2,831,200,012"
"Feb 02, 2024",$2.9750,$3.0344,$2.9392,$3.0080,"$112,880,351","$2,879,817,341"
"Feb 01, 2024",$2.9008,$3.0136,$2.8282,$2.9751,"$147,337,344","$2,848,322,205"
"Jan 31, 2024",$3.1566,$3.1600,$2.8804,$2.9014,"$225,519,312","$2,777,715,639"
"Jan 30, 2024",$3.1648,$3.2920,$3.0846,$3.1571,"$270,642,922","$3,022,503,605"
"Jan 29, 2024",$3.0262,$3.1824,$2.9931,$3.1649,"$178,968,670","$3,029,960,086"
"Jan 28, 2024",$3.0689,$3.1791,$3.0161,$3.0261,"$163,082,087","$2,897,135,918"
"Jan 27, 2024",$3.0699,$3.1150,$3.0277,$3.0690,"$117,176,900","$2,938,198,254"
"Jan 26, 2024",$2.9356,$3.1428,$2.9142,$3.0699,"$245,734,124","$2,939,027,747"
"Jan 25, 2024",$2.8562,$2.9744,$2.7496,$2.9357,"$209,202,559","$2,810,619,936"
"Jan 24, 2024",$2.8167,$2.8792,$2.7850,$2.8561,"$179,035,537","$2,734,394,978"
"Jan 23, 2024",$2.9742,$3.0055,$2.6238,$2.8170,"$365,313,099","$2,696,907,575"
"Jan 22, 2024",$3.1140,$3.1487,$2.9294,$2.9742,"$242,264,546","$2,847,445,711"
"Jan 21, 2024",$3.1871,$3.2543,$3.1117,$3.1117,"$119,168,999","$2,979,121,243"
"Jan 20, 2024",$3.1981,$3.2235,$3.1082,$3.1856,"$145,133,175","$3,049,853,285"
"Jan 19, 2024",$3.2106,$3.2714,$3.0174,$3.1979,"$274,721,098","$3,061,555,159"
"Jan 18, 2024",$3.4525,$3.4762,$3.1654,$3.2105,"$233,543,305","$3,073,647,844"
"Jan 17, 2024",$3.5985,$3.6173,$3.4112,$3.4526,"$215,028,067","$3,305,401,387"
"Jan 16, 2024",$3.4491,$3.6548,$3.4120,$3.5988,"$231,814,724","$3,445,375,169"
"Jan 15, 2024",$3.4778,$3.6143,$3.4279,$3.4490,"$272,783,331","$3,302,030,640"
"Jan 14, 2024",$3.8064,$3.8406,$3.4643,$3.4781,"$241,001,651","$3,329,899,973"
"Jan 13, 2024",$3.9225,$3.9252,$3.6930,$3.8074,"$288,331,854","$3,645,086,120"
"Jan 12, 2024",$3.9806,$4.2508,$3.7526,$3.9260,"$783,570,850","$3,758,649,216"
"Jan 11, 2024",$3.9333,$4.0810,$3.6616,$3.9861,"$597,911,174","$3,816,173,922"
"Jan 10, 2024",$3.6292,$4.0667,$3.5178,$3.9310,"$794,509,110","$3,763,473,352"
"Jan 09, 2024",$3.4177,$3.6834,$3.1062,$3.6271,"$445,327,088","$3,472,537,656"
"Jan 08, 2024",$3.1760,$3.4685,$2.9378,$3.4174,"$382,661,690","$3,271,742,076"
"Jan 07, 2024",$3.2294,$3.4466,$3.1723,$3.1760,"$261,136,888","$2,894,231,750"
"Jan 06, 2024",$3.4290,$3.4370,$3.1411,$3.2298,"$275,752,845","$2,943,264,419"
"Jan 05, 2024",$3.7241,$3.7518,$3.3147,$3.4268,"$392,432,997","$3,122,858,419"
"Jan 04, 2024",$3.4743,$3.8981,$3.3824,$3.7250,"$512,382,034","$3,394,535,033"
"Jan 03, 2024",$3.7083,$3.9790,$3.3331,$3.4746,"$789,377,889","$3,166,351,420"
"Jan 02, 2024",$3.9891,$4.0321,$3.6582,$3.7081,"$416,821,176","$3,379,152,868"
"Jan 01, 2024",$3.7099,$4.0931,$3.5694,$3.9887,"$445,958,535","$3,634,874,147"
"Dec 31, 2023",$3.6106,$3.8977,$3.6064,$3.7075,"$378,075,261","$3,378,620,959"
"Dec 30, 2023",$3.9080,$3.9085,$3.6138,$3.6147,"$348,743,046","$3,294,088,217"
"Dec 29, 2023",$3.5903,$3.9175,$3.4430,$3.9079,"$671,571,732","$3,561,223,621"
"Dec 28, 2023",$3.9511,$4.1213,$3.5898,$3.5898,"$645,534,071","$3,271,338,778"
"Dec 27, 2023",$3.4743,$4.1492,$3.2176,$3.9503,"$1,017,179,891","$3,599,922,246"
"Dec 26, 2023",$3.3855,$3.4880,$3.1064,$3.4769,"$514,462,044","$3,168,474,822"
"Dec 25, 2023",$3.5807,$3.7075,$3.3647,$3.3858,"$607,088,068","$3,085,468,051"
"Dec 24, 2023",$3.4362,$3.7977,$3.3310,$3.5830,"$756,999,434","$3,265,214,649"
