Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$9.7376,$10.05,$9.5397,$9.6906,"$360,756,482","$13,822,645,921"
"Mar 25, 2024",$9.3693,$9.8205,$9.2941,$9.7376,"$300,666,153","$13,886,062,801"
"Mar 24, 2024",$8.9822,$9.4295,$8.9743,$9.3693,"$193,041,938","$13,360,484,229"
"Mar 23, 2024",$8.9193,$9.2173,$8.8801,$8.9821,"$189,986,287","$12,804,985,421"
"Mar 22, 2024",$9.1728,$9.3535,$8.7249,$8.9193,"$296,569,819","$12,712,029,595"
"Mar 21, 2024",$9.4919,$9.5775,$9.0712,$9.1729,"$341,959,124","$13,069,912,339"
"Mar 20, 2024",$8.7644,$9.5580,$8.5108,$9.4919,"$530,907,741","$13,520,744,867"
"Mar 19, 2024",$9.9074,$9.9807,$8.6047,$8.7644,"$607,301,835","$12,481,685,578"
"Mar 18, 2024",$10.08,$10.44,$9.6146,$9.9074,"$461,962,142","$14,104,149,930"
"Mar 17, 2024",$9.6968,$10.24,$9.2411,$10.12,"$466,294,928","$13,059,167,147"
"Mar 16, 2024",$10.84,$10.89,$9.5212,$9.6968,"$587,580,190","$12,514,730,316"
"Mar 15, 2024",$11.54,$11.68,$10.08,$10.84,"$916,276,315","$13,983,882,789"
"Mar 14, 2024",$11.32,$11.88,$10.75,$11.54,"$954,859,836","$14,888,480,622"
"Mar 13, 2024",$10.73,$11.32,$10.66,$11.32,"$569,338,750","$14,599,512,467"
"Mar 12, 2024",$11.04,$11.14,$10.18,$10.73,"$566,762,255","$13,828,609,392"
"Mar 11, 2024",$10.28,$11.24,$9.9588,$11.04,"$733,295,312","$14,222,178,326"
"Mar 10, 2024",$10.52,$10.57,$9.9956,$10.28,"$388,874,905","$13,241,953,798"
"Mar 09, 2024",$10.67,$10.97,$10.45,$10.52,"$449,980,303","$13,606,224,653"
"Mar 08, 2024",$10.42,$10.71,$10.00,$10.67,"$609,067,054","$13,731,357,481"
"Mar 07, 2024",$10.51,$10.99,$10.27,$10.42,"$585,840,471","$13,414,166,478"
"Mar 06, 2024",$9.3304,$10.56,$8.9434,$10.51,"$783,733,356","$13,583,380,967"
"Mar 05, 2024",$9.8964,$10.75,$8.3669,$9.3304,"$1,345,409,497","$12,050,482,945"
"Mar 04, 2024",$9.7928,$10.27,$9.6448,$9.9112,"$857,188,708","$12,744,974,041"
"Mar 03, 2024",$9.4404,$9.8835,$8.7854,$9.7974,"$663,668,776","$12,890,702,392"
"Mar 02, 2024",$8.6742,$9.4592,$8.6153,$9.4361,"$553,392,267","$12,175,894,388"
"Mar 01, 2024",$8.2526,$8.6744,$8.2526,$8.6742,"$336,431,152","$11,188,700,135"
"Feb 29, 2024",$8.3438,$8.8812,$8.0480,$8.2550,"$508,493,882","$10,645,584,552"
"Feb 28, 2024",$8.3701,$8.6931,$7.8727,$8.3426,"$609,235,960","$10,716,382,727"
"Feb 27, 2024",$8.1051,$8.4416,$8.0425,$8.3715,"$405,624,500","$10,749,196,386"
"Feb 26, 2024",$7.9221,$8.1043,$7.5939,$8.1043,"$296,502,812","$10,404,026,861"
"Feb 25, 2024",$7.8097,$7.9335,$7.6855,$7.9231,"$183,729,022","$10,167,219,354"
"Feb 24, 2024",$7.5634,$7.8852,$7.4449,$7.8094,"$237,375,316","$10,018,258,575"
"Feb 23, 2024",$7.4825,$7.6361,$7.2794,$7.5634,"$249,643,272","$9,699,717,328"
"Feb 22, 2024",$7.4693,$7.6614,$7.2855,$7.4829,"$239,367,257","$9,593,636,584"
"Feb 21, 2024",$7.7330,$7.7330,$7.2505,$7.4683,"$276,903,184","$9,571,980,582"
"Feb 20, 2024",$8.0290,$8.1081,$7.4717,$7.7332,"$378,987,928","$9,908,563,961"
"Feb 19, 2024",$7.8506,$8.1384,$7.6730,$8.0292,"$331,476,480","$10,284,628,453"
"Feb 18, 2024",$7.7046,$7.9132,$7.6951,$7.8501,"$205,287,649","$10,052,150,398"
"Feb 17, 2024",$7.6572,$7.7044,$7.3597,$7.7044,"$189,701,668","$9,902,654,861"
"Feb 16, 2024",$7.7807,$7.8625,$7.5588,$7.6576,"$216,737,045","$9,799,764,313"
"Feb 15, 2024",$7.6580,$7.9417,$7.5574,$7.7781,"$336,231,658","$9,951,130,366"
"Feb 14, 2024",$7.3619,$7.7048,$7.2855,$7.6583,"$294,559,497","$9,794,806,773"
"Feb 13, 2024",$7.3447,$7.4439,$7.1529,$7.3629,"$241,793,764","$9,452,492,286"
"Feb 12, 2024",$7.0968,$7.3699,$6.9926,$7.3461,"$245,642,262","$9,389,605,229"
"Feb 11, 2024",$7.2082,$7.3310,$7.0874,$7.0960,"$169,782,015","$9,068,411,073"
"Feb 10, 2024",$7.1921,$7.2871,$7.0740,$7.2089,"$149,811,265","$9,208,764,854"
"Feb 09, 2024",$7.0150,$7.3132,$6.9650,$7.1915,"$258,789,600","$9,184,077,284"
"Feb 08, 2024",$6.9401,$7.1010,$6.8736,$7.0147,"$218,444,800","$8,955,514,004"
"Feb 07, 2024",$6.8058,$6.9558,$6.6724,$6.9399,"$164,416,661","$8,858,235,580"
"Feb 06, 2024",$6.7269,$6.8244,$6.6532,$6.8057,"$145,904,731","$8,683,377,174"
"Feb 05, 2024",$6.6666,$6.9614,$6.6029,$6.7269,"$164,799,424","$8,580,231,919"
"Feb 04, 2024",$6.8311,$6.8311,$6.6633,$6.6672,"$99,743,821","$8,504,413,612"
"Feb 03, 2024",$6.9365,$6.9991,$6.8247,$6.8315,"$108,609,624","$8,711,294,648"
"Feb 02, 2024",$6.7909,$7.0185,$6.7731,$6.9362,"$157,571,928","$8,842,113,389"
"Feb 01, 2024",$6.6557,$6.8101,$6.5575,$6.7911,"$157,887,536","$8,722,376,894"
"Jan 31, 2024",$6.8410,$6.8815,$6.6026,$6.6557,"$196,604,220","$8,479,634,596"
"Jan 30, 2024",$7.0309,$7.0749,$6.8324,$6.8420,"$219,740,479","$8,714,087,521"
"Jan 29, 2024",$6.8468,$7.2904,$6.7208,$7.0309,"$340,006,925","$8,990,689,820"
"Jan 28, 2024",$6.6701,$6.8391,$6.5792,$6.8391,"$181,489,925","$8,705,153,512"
"Jan 27, 2024",$6.6727,$6.7401,$6.5401,$6.6702,"$141,355,540","$8,487,629,525"
"Jan 26, 2024",$6.4340,$6.7232,$6.3654,$6.6725,"$186,488,222","$8,523,696,033"
"Jan 25, 2024",$6.4599,$6.5597,$6.3533,$6.4345,"$156,401,029","$8,182,734,468"
"Jan 24, 2024",$6.3544,$6.5321,$6.2645,$6.4598,"$182,514,259","$8,213,330,545"
"Jan 23, 2024",$6.3329,$6.4432,$6.0014,$6.3544,"$251,031,948","$8,241,442,217"
"Jan 22, 2024",$6.8084,$6.8354,$6.3206,$6.3329,"$269,918,505","$8,046,287,698"
"Jan 21, 2024",$6.9003,$6.9645,$6.8073,$6.8073,"$115,667,492","$8,646,413,149"
"Jan 20, 2024",$6.8750,$6.9430,$6.7836,$6.8989,"$140,211,032","$8,760,098,658"
"Jan 19, 2024",$7.0073,$7.0418,$6.5957,$6.8746,"$228,284,379","$8,726,610,814"
"Jan 18, 2024",$7.3351,$7.3772,$6.8632,$7.0076,"$242,668,717","$8,966,662,397"
"Jan 17, 2024",$7.4886,$7.5910,$7.2667,$7.3330,"$183,863,749","$9,477,256,795"
"Jan 16, 2024",$7.5154,$7.6626,$7.3551,$7.4901,"$196,373,828","$9,499,400,590"
"Jan 15, 2024",$7.3255,$7.6761,$7.3204,$7.5178,"$194,678,728","$9,887,367,168"
"Jan 14, 2024",$7.6131,$7.6884,$7.3271,$7.3271,"$170,845,572","$9,399,165,737"
"Jan 13, 2024",$7.5671,$7.7400,$7.4130,$7.6130,"$202,570,099","$10,072,904,242"
"Jan 12, 2024",$8.1662,$8.2063,$7.4193,$7.5693,"$350,427,695","$9,871,260,358"
"Jan 11, 2024",$7.9734,$8.5667,$7.8833,$8.1702,"$535,315,793","$10,349,653,530"
"Jan 10, 2024",$7.1185,$8.0740,$6.8481,$7.9711,"$416,263,452","$10,094,366,348"
"Jan 09, 2024",$7.4786,$7.5218,$6.9269,$7.1172,"$293,447,141","$9,011,279,091"
"Jan 08, 2024",$6.8964,$7.5010,$6.5646,$7.4779,"$344,729,757","$9,463,137,184"
"Jan 07, 2024",$7.1397,$7.3140,$6.8445,$6.8958,"$223,805,100","$8,723,984,273"
"Jan 06, 2024",$7.4456,$7.4486,$6.9873,$7.1388,"$241,045,789","$9,029,067,857"
"Jan 05, 2024",$7.8813,$7.9459,$7.2463,$7.4456,"$348,229,259","$9,414,691,956"
"Jan 04, 2024",$7.6415,$7.9874,$7.5378,$7.8815,"$333,627,890","$9,962,925,705"
"Jan 03, 2024",$8.4129,$8.5645,$6.9781,$7.6418,"$662,847,385","$9,695,374,190"
"Jan 02, 2024",$8.5992,$8.8012,$8.3543,$8.4127,"$340,575,264","$10,629,011,024"
"Jan 01, 2024",$8.2010,$8.6246,$8.0994,$8.5989,"$246,624,749","$11,144,036,783"
"Dec 31, 2023",$8.3690,$8.6276,$8.1282,$8.1940,"$304,720,310","$10,345,695,545"
"Dec 30, 2023",$8.2927,$8.4742,$8.1343,$8.3709,"$239,200,073","$10,565,590,742"
"Dec 29, 2023",$8.4503,$8.6776,$8.1358,$8.2926,"$474,260,327","$10,463,865,158"
"Dec 28, 2023",$8.7033,$8.8990,$8.3133,$8.4501,"$434,449,041","$10,659,100,319"
"Dec 27, 2023",$8.8191,$8.9975,$8.4424,$8.7031,"$474,271,917","$10,975,104,851"
"Dec 26, 2023",$9.2224,$9.5786,$8.5194,$8.8193,"$707,582,624","$11,118,276,734"
"Dec 25, 2023",$8.6475,$9.3788,$8.5384,$9.2287,"$883,892,634","$12,199,257,463"
"Dec 24, 2023",$8.3421,$9.1564,$8.3375,$8.6480,"$1,079,897,568","$10,895,489,897"
"Dec 23, 2023",$7.9689,$8.4383,$7.6213,$8.3421,"$460,523,777","$10,506,952,741"
"Dec 22, 2023",$8.3701,$8.5308,$7.8717,$7.9691,"$640,763,569","$10,035,159,258"
"Dec 21, 2023",$6.9430,$8.3630,$6.9277,$8.3615,"$964,588,443","$10,525,207,497"
"Dec 20, 2023",$6.7146,$7.1227,$6.6416,$6.9427,"$303,998,673","$8,736,334,468"
"Dec 19, 2023",$6.8762,$7.0250,$6.6335,$6.7152,"$228,867,147","$8,448,367,923"
"Dec 18, 2023",$6.7903,$6.8796,$6.4106,$6.8757,"$307,104,897","$9,039,364,048"
"Dec 17, 2023",$7.0857,$7.1527,$6.7719,$6.7922,"$259,799,176","$8,579,484,669"
"Dec 16, 2023",$6.9567,$7.3370,$6.9038,$7.0859,"$279,250,108","$9,312,136,381"
"Dec 15, 2023",$7.5198,$7.5545,$6.9567,$6.9567,"$388,837,339","$8,894,587,623"
"Dec 14, 2023",$7.6114,$7.7300,$7.1426,$7.5211,"$494,202,129","$9,450,219,757"
"Dec 13, 2023",$7.1238,$7.6259,$6.6656,$7.6102,"$463,975,500","$9,559,277,392"
"Dec 12, 2023",$6.7064,$7.3033,$6.7064,$7.1238,"$532,269,712","$8,945,594,471"
"Dec 11, 2023",$7.3423,$7.3451,$6.4185,$6.7067,"$538,631,045","$8,420,111,325"
"Dec 10, 2023",$7.1174,$7.3416,$6.9875,$7.3416,"$319,835,932","$9,212,095,747"
"Dec 09, 2023",$6.8399,$7.6706,$6.8399,$7.1176,"$712,895,503","$9,004,898,874"
"Dec 08, 2023",$6.2469,$6.9013,$6.1830,$6.8397,"$413,408,879","$8,577,617,085"
"Dec 07, 2023",$6.0444,$6.2858,$5.9316,$6.2467,"$302,450,588","$7,831,647,882"
"Dec 06, 2023",$5.9108,$6.1948,$5.8150,$6.0433,"$391,203,869","$7,692,286,344"
"Dec 05, 2023",$5.6270,$5.9328,$5.5210,$5.9116,"$349,322,266","$7,716,295,439"
"Dec 04, 2023",$5.5464,$5.7162,$5.4907,$5.6263,"$276,026,759","$7,047,765,713"
"Dec 03, 2023",$5.5734,$5.6086,$5.4436,$5.5466,"$152,613,977","$6,944,947,871"
"Dec 02, 2023",$5.4747,$5.5974,$5.4590,$5.5739,"$128,776,781","$6,977,312,783"
"Dec 01, 2023",$5.4661,$5.5163,$5.3799,$5.4750,"$153,997,357","$6,958,106,002"
"Nov 30, 2023",$5.1681,$5.5679,$5.1286,$5.4658,"$282,346,044","$7,078,158,652"
"Nov 29, 2023",$5.2707,$5.3701,$5.1601,$5.1681,"$184,196,011","$6,463,901,243"
"Nov 28, 2023",$5.1611,$5.3084,$5.1168,$5.2707,"$187,192,411","$6,590,475,491"
"Nov 27, 2023",$5.3242,$5.3669,$5.0493,$5.1615,"$203,213,671","$6,794,661,613"
"Nov 26, 2023",$5.3301,$5.4075,$5.2050,$5.3251,"$170,218,507","$6,653,970,139"
"Nov 25, 2023",$5.2429,$5.3815,$5.2305,$5.3301,"$124,787,041","$7,133,583,792"
"Nov 24, 2023",$5.1337,$5.2887,$5.1271,$5.2433,"$193,231,709","$6,692,257,873"
"Nov 23, 2023",$5.1726,$5.2167,$5.0969,$5.1336,"$122,906,505","$6,411,347,581"
"Nov 22, 2023",$4.8880,$5.2785,$4.8703,$5.1729,"$208,993,295","$6,498,631,680"
"Nov 21, 2023",$5.3048,$5.3269,$4.8559,$4.8894,"$285,788,399","$6,153,301,055"
"Nov 20, 2023",$5.4441,$5.5591,$5.2927,$5.3046,"$217,195,343","$6,857,992,715"
"Nov 19, 2023",$5.2914,$5.4800,$5.1934,$5.4442,"$187,907,209","$6,790,539,724"
"Nov 18, 2023",$5.2428,$5.2921,$5.0248,$5.2912,"$189,841,324","$6,597,930,677"
"Nov 17, 2023",$5.3580,$5.4791,$5.0874,$5.2422,"$255,997,486","$6,535,044,897"
"Nov 16, 2023",$5.5665,$5.7847,$5.3148,$5.3584,"$348,858,975","$6,866,504,178"
"Nov 15, 2023",$5.2025,$5.6315,$5.2008,$5.5661,"$273,974,492","$6,934,635,648"
"Nov 14, 2023",$5.3678,$5.5160,$5.0658,$5.2027,"$287,416,833","$6,480,499,239"
