Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$1.0454,$1.0768,$1.0274,$1.0459,"$411,442,489","$10,361,029,723"
"Mar 25, 2024",$1.0111,$1.0598,$1.0034,$1.0454,"$408,349,421","$10,356,563,146"
"Mar 24, 2024",$0.9806,$1.0143,$0.9771,$1.0111,"$295,313,322","$10,016,554,763"
"Mar 23, 2024",$0.9702,$1.0026,$0.9575,$0.9806,"$301,894,931","$9,713,998,137"
"Mar 22, 2024",$0.9948,$1.0183,$0.9541,$0.9702,"$391,815,039","$9,610,967,384"
"Mar 21, 2024",$1.0091,$1.0124,$0.9724,$0.9948,"$423,854,093","$9,855,172,223"
"Mar 20, 2024",$0.932,$1.0166,$0.9134,$1.0091,"$646,946,323","$9,996,865,218"
"Mar 19, 2024",$1.0304,$1.0357,$0.9116,$0.9321,"$773,940,034","$9,233,411,639"
"Mar 18, 2024",$1.0888,$1.0888,$1.0097,$1.0304,"$464,278,944","$10,208,285,708"
"Mar 17, 2024",$1.0434,$1.0987,$1.0103,$1.0888,"$558,016,826","$10,786,191,863"
"Mar 16, 2024",$1.1406,$1.1674,$1.0266,$1.0434,"$714,029,994","$10,336,628,052"
"Mar 15, 2024",$1.2219,$1.2290,$1.0773,$1.1407,"$976,771,347","$11,299,845,880"
"Mar 14, 2024",$1.2714,$1.2842,$1.1669,$1.2219,"$825,429,823","$12,104,954,621"
"Mar 13, 2024",$1.1817,$1.2872,$1.1771,$1.2714,"$957,406,863","$12,595,214,384"
"Mar 12, 2024",$1.2438,$1.2451,$1.1367,$1.1817,"$764,958,192","$11,697,707,843"
"Mar 11, 2024",$1.2308,$1.2492,$1.1772,$1.2438,"$848,063,405","$12,312,241,989"
"Mar 10, 2024",$1.1586,$1.2459,$1.1494,$1.2308,"$1,073,278,624","$12,183,569,141"
"Mar 09, 2024",$1.1279,$1.1586,$1.1223,$1.1586,"$457,445,910","$11,469,345,277"
"Mar 08, 2024",$1.1614,$1.1780,$1.1024,$1.1279,"$660,137,697","$11,165,037,214"
"Mar 07, 2024",$1.1172,$1.1753,$1.1021,$1.1614,"$796,535,808","$11,496,431,584"
"Mar 06, 2024",$1.0341,$1.1179,$0.9958,$1.1172,"$906,983,640","$11,058,908,013"
"Mar 05, 2024",$1.1472,$1.1472,$0.9503,$1.0341,"$1,493,876,586","$10,236,842,679"
"Mar 04, 2024",$1.0893,$1.1499,$1.0827,$1.1473,"$1,128,927,831","$11,356,951,684"
"Mar 03, 2024",$1.0945,$1.1171,$1.0469,$1.0892,"$756,889,931","$10,782,542,135"
"Mar 02, 2024",$1.0252,$1.1006,$1.0247,$1.0945,"$801,150,809","$10,834,335,058"
"Mar 01, 2024",$1.0009,$1.0284,$1.0009,$1.0251,"$483,269,403","$10,147,336,561"
"Feb 29, 2024",$1.0107,$1.0604,$0.983,$1.0012,"$818,500,152","$9,911,360,929"
"Feb 28, 2024",$1.0286,$1.0678,$0.9668,$1.0107,"$899,092,094","$9,729,060,440"
"Feb 27, 2024",$1.0593,$1.0761,$1.0210,$1.0286,"$643,333,432","$9,893,311,173"
"Feb 26, 2024",$0.9983,$1.0713,$0.9742,$1.0593,"$842,425,073","$10,188,754,884"
"Feb 25, 2024",$0.9949,$1.0031,$0.9658,$0.9983,"$391,918,401","$9,601,550,941"
"Feb 24, 2024",$0.9879,$1.0290,$0.9748,$0.9949,"$414,625,658","$9,569,643,945"
"Feb 23, 2024",$0.9913,$1.0055,$0.9464,$0.988,"$636,720,506","$9,502,540,644"
"Feb 22, 2024",$0.9509,$1.0447,$0.9229,$0.9914,"$856,144,265","$9,535,281,396"
"Feb 21, 2024",$1.0260,$1.0343,$0.9105,$0.9508,"$663,661,122","$9,145,324,871"
"Feb 20, 2024",$0.9964,$1.0325,$0.9467,$1.0261,"$723,109,903","$9,869,792,573"
"Feb 19, 2024",$0.9989,$1.0097,$0.9772,$0.9964,"$538,541,025","$9,584,028,144"
"Feb 18, 2024",$0.9287,$0.999,$0.9194,$0.999,"$446,422,115","$9,608,383,599"
"Feb 17, 2024",$0.9526,$0.9585,$0.9063,$0.9287,"$424,799,841","$8,932,638,999"
"Feb 16, 2024",$0.89,$0.9554,$0.8876,$0.9527,"$629,406,406","$9,163,765,859"
"Feb 15, 2024",$0.8909,$0.9092,$0.8741,$0.8899,"$414,566,018","$8,559,635,882"
"Feb 14, 2024",$0.8536,$0.8931,$0.8453,$0.8909,"$363,639,708","$8,568,746,102"
"Feb 13, 2024",$0.8809,$0.8846,$0.8454,$0.8537,"$339,407,397","$8,204,482,090"
"Feb 12, 2024",$0.8351,$0.8845,$0.8192,$0.881,"$367,786,970","$8,467,312,469"
"Feb 11, 2024",$0.8489,$0.8648,$0.8324,$0.835,"$237,749,039","$8,024,527,772"
"Feb 10, 2024",$0.8531,$0.8682,$0.8394,$0.8489,"$261,630,361","$8,158,802,232"
"Feb 09, 2024",$0.8344,$0.8585,$0.8322,$0.8531,"$326,260,757","$8,198,523,081"
"Feb 08, 2024",$0.8335,$0.8469,$0.8255,$0.8344,"$323,145,784","$8,019,126,621"
