Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$11.03,$11.73,$10.86,$11.11,"$292,274,984","$4,242,178,925"
"Mar 25, 2024",$10.91,$11.37,$10.80,$11.03,"$270,940,979","$4,211,272,635"
"Mar 24, 2024",$10.67,$11.08,$10.46,$10.91,"$160,707,830","$4,166,606,101"
"Mar 23, 2024",$10.66,$11.03,$10.47,$10.67,"$184,059,348","$4,074,834,204"
"Mar 22, 2024",$10.76,$11.35,$10.37,$10.66,"$341,449,206","$4,071,825,533"
"Mar 21, 2024",$11.70,$11.70,$10.67,$10.76,"$420,315,223","$4,108,644,767"
"Mar 20, 2024",$10.66,$12.26,$10.46,$11.70,"$685,510,777","$4,467,027,370"
"Mar 19, 2024",$11.75,$11.82,$10.36,$10.66,"$691,429,545","$4,058,958,527"
"Mar 18, 2024",$13.15,$13.47,$11.65,$11.75,"$766,112,102","$4,471,918,600"
"Mar 17, 2024",$10.30,$13.60,$10.21,$13.15,"$1,080,505,015","$5,005,397,057"
"Mar 16, 2024",$11.07,$11.87,$9.9560,$10.30,"$486,536,158","$3,921,008,939"
"Mar 15, 2024",$11.87,$11.95,$10.07,$11.07,"$553,318,361","$4,213,392,354"
"Mar 14, 2024",$11.36,$11.91,$10.73,$11.87,"$460,905,993","$4,519,335,816"
"Mar 13, 2024",$11.40,$11.75,$11.04,$11.36,"$329,951,082","$4,322,235,448"
"Mar 12, 2024",$11.48,$11.72,$10.82,$11.40,"$470,391,092","$4,339,193,306"
"Mar 11, 2024",$11.36,$12.67,$10.98,$11.48,"$608,135,802","$4,368,454,776"
"Mar 10, 2024",$12.34,$12.53,$11.19,$11.36,"$462,968,182","$4,324,729,246"
"Mar 09, 2024",$10.47,$12.73,$10.32,$12.34,"$808,965,371","$4,696,363,791"
"Mar 08, 2024",$10.02,$11.00,$9.5092,$10.47,"$611,413,951","$3,963,029,412"
"Mar 07, 2024",$9.3092,$10.77,$9.2572,$10.02,"$826,246,691","$3,791,603,397"
"Mar 06, 2024",$6.8989,$9.7550,$6.5952,$9.3102,"$871,568,692","$3,522,308,324"
"Mar 05, 2024",$7.3746,$7.4490,$5.9106,$6.8989,"$383,665,684","$2,610,334,094"
"Mar 04, 2024",$7.5604,$7.6663,$7.1779,$7.3754,"$248,600,328","$2,790,627,846"
"Mar 03, 2024",$7.6499,$8.0546,$7.4439,$7.5609,"$251,874,778","$2,859,984,752"
"Mar 02, 2024",$7.8751,$7.9672,$7.5276,$7.6507,"$202,862,153","$2,893,922,323"
"Mar 01, 2024",$7.5072,$8.2184,$7.4269,$7.8763,"$353,171,041","$2,979,251,847"
"Feb 29, 2024",$8.0112,$8.2562,$7.2752,$7.5083,"$316,474,029","$2,840,076,008"
"Feb 28, 2024",$7.1964,$8.0679,$7.0104,$8.0042,"$454,906,013","$3,027,645,747"
"Feb 27, 2024",$7.5962,$7.6370,$7.1097,$7.1973,"$204,158,404","$2,722,439,949"
"Feb 26, 2024",$7.2070,$7.6687,$7.0657,$7.5958,"$242,215,929","$2,873,173,306"
"Feb 25, 2024",$7.2196,$7.7269,$7.1378,$7.2088,"$230,342,743","$2,726,785,965"
"Feb 24, 2024",$7.3556,$7.5656,$6.8902,$7.2193,"$265,490,470","$2,730,744,957"
"Feb 23, 2024",$7.3818,$8.0691,$7.1473,$7.3541,"$432,734,837","$2,781,739,642"
"Feb 22, 2024",$6.9163,$7.8188,$6.7581,$7.3837,"$484,197,929","$2,792,108,732"
"Feb 21, 2024",$6.4845,$6.9883,$5.9255,$6.9157,"$335,190,827","$2,615,148,283"
"Feb 20, 2024",$6.3461,$6.4986,$5.8097,$6.4864,"$244,079,652","$2,452,826,216"
"Feb 19, 2024",$5.8480,$6.4042,$5.8480,$6.3457,"$278,673,116","$2,399,607,285"
"Feb 18, 2024",$5.6763,$5.8861,$5.5081,$5.8436,"$188,726,751","$2,209,726,180"
"Feb 17, 2024",$5.2930,$5.7357,$5.0723,$5.6780,"$189,147,506","$2,147,126,289"
"Feb 16, 2024",$5.3063,$5.6777,$5.2044,$5.2932,"$272,152,948","$2,001,590,296"
"Feb 15, 2024",$5.0070,$5.3467,$4.8119,$5.3091,"$202,837,922","$2,007,612,095"
"Feb 14, 2024",$4.8982,$5.1001,$4.8566,$5.0066,"$132,031,854","$1,893,217,614"
"Feb 13, 2024",$4.8024,$5.1311,$4.7400,$4.8981,"$191,548,631","$1,842,397,135"
"Feb 12, 2024",$4.6244,$4.8024,$4.4506,$4.8024,"$78,237,662","$1,806,414,977"
"Feb 11, 2024",$4.6585,$4.7899,$4.5885,$4.6266,"$56,617,991","$1,740,276,768"
"Feb 10, 2024",$4.7056,$4.8055,$4.5965,$4.6586,"$76,918,219","$1,752,313,068"
"Feb 09, 2024",$4.4335,$4.7348,$4.4335,$4.7054,"$92,222,835","$1,769,906,502"
"Feb 08, 2024",$4.4650,$4.5703,$4.4001,$4.4331,"$63,733,920","$1,667,479,162"
"Feb 07, 2024",$4.2677,$4.5857,$4.2616,$4.4647,"$69,299,059","$1,679,386,636"
"Feb 06, 2024",$4.3965,$4.4885,$4.2681,$4.2681,"$73,888,682","$1,605,420,053"
"Feb 05, 2024",$4.6454,$4.6565,$4.3113,$4.3956,"$136,712,656","$1,653,388,173"
"Feb 04, 2024",$4.7184,$4.9918,$4.6409,$4.6488,"$127,664,201","$1,748,642,213"
"Feb 03, 2024",$4.5863,$5.0129,$4.5838,$4.7175,"$132,562,565","$1,774,484,974"
"Feb 02, 2024",$4.6021,$4.7671,$4.5344,$4.5867,"$102,725,985","$1,725,262,352"
"Feb 01, 2024",$4.3270,$4.8211,$4.2695,$4.6022,"$163,382,392","$1,731,098,878"
"Jan 31, 2024",$4.6063,$4.7169,$4.2925,$4.3271,"$158,204,541","$1,627,621,795"
"Jan 30, 2024",$4.2853,$4.8251,$4.2539,$4.6049,"$209,460,572","$1,732,114,802"
"Jan 29, 2024",$3.9741,$4.3577,$3.9452,$4.2853,"$96,666,565","$1,611,884,371"
"Jan 28, 2024",$4.0804,$4.2607,$3.9444,$3.9742,"$88,297,676","$1,494,866,712"
"Jan 27, 2024",$3.9203,$4.0959,$3.8865,$4.0800,"$50,488,285","$1,534,674,079"
"Jan 26, 2024",$3.7129,$4.0280,$3.6621,$3.9197,"$69,640,408","$1,474,367,987"
"Jan 25, 2024",$3.8525,$3.9041,$3.6681,$3.7132,"$55,014,913","$1,396,718,972"
"Jan 24, 2024",$3.7401,$3.8887,$3.6499,$3.8525,"$64,703,236","$1,449,111,553"
"Jan 23, 2024",$3.7422,$3.8958,$3.5223,$3.7390,"$97,163,045","$1,406,417,231"
"Jan 22, 2024",$3.9802,$3.9940,$3.7330,$3.7422,"$68,886,493","$1,407,627,377"
"Jan 21, 2024",$4.0005,$4.0602,$3.9348,$3.9801,"$44,711,668","$1,497,104,835"
"Jan 20, 2024",$4.1218,$4.1485,$3.9191,$4.0003,"$58,854,043","$1,504,709,675"
"Jan 19, 2024",$4.3041,$4.3258,$3.8245,$4.1225,"$167,487,939","$1,550,645,286"
"Jan 18, 2024",$4.1895,$4.3589,$3.9515,$4.3035,"$147,070,657","$1,618,726,986"
"Jan 17, 2024",$3.9677,$4.3543,$3.9677,$4.1899,"$164,488,323","$1,558,260,426"
"Jan 16, 2024",$3.7645,$4.0768,$3.7231,$3.9679,"$84,277,732","$1,475,685,182"
"Jan 15, 2024",$3.7679,$3.8936,$3.7276,$3.7659,"$49,722,245","$1,400,564,437"
"Jan 14, 2024",$3.8880,$3.9336,$3.7682,$3.7682,"$53,831,939","$1,401,425,792"
"Jan 13, 2024",$3.8241,$3.9247,$3.7105,$3.8880,"$48,781,108","$1,445,973,872"
"Jan 12, 2024",$4.0752,$4.0808,$3.7162,$3.8241,"$115,215,951","$1,422,220,694"
"Jan 11, 2024",$4.2269,$4.3951,$4.0349,$4.0772,"$131,051,061","$1,516,336,582"
"Jan 10, 2024",$3.8689,$4.3505,$3.6694,$4.2253,"$142,764,337","$1,571,432,226"
"Jan 09, 2024",$4.0565,$4.1754,$3.7488,$3.8694,"$134,948,534","$1,439,056,700"
"Jan 08, 2024",$3.6262,$4.1246,$3.4027,$4.0552,"$178,933,923","$1,508,153,721"
"Jan 07, 2024",$3.8066,$3.8759,$3.5908,$3.6237,"$68,729,823","$1,347,683,561"
"Jan 06, 2024",$3.9958,$4.0075,$3.7092,$3.8063,"$82,471,075","$1,415,608,881"
"Jan 05, 2024",$4.3997,$4.4142,$3.9003,$3.9934,"$140,514,793","$1,485,182,343"
"Jan 04, 2024",$4.4188,$4.6385,$4.3436,$4.4015,"$99,348,548","$1,636,968,520"
"Jan 03, 2024",$4.6597,$4.7756,$4.0088,$4.4186,"$163,657,735","$1,643,300,763"
"Jan 02, 2024",$4.7463,$5.0694,$4.6510,$4.6598,"$114,712,789","$1,733,023,651"
"Jan 01, 2024",$4.4681,$4.8162,$4.4352,$4.7460,"$83,983,399","$1,765,068,686"
"Dec 31, 2023",$4.5556,$4.6599,$4.4410,$4.4639,"$70,664,121","$1,660,162,725"
"Dec 30, 2023",$4.6064,$4.7481,$4.4895,$4.5582,"$69,930,231","$1,695,243,331"
"Dec 29, 2023",$4.5665,$4.7866,$4.4606,$4.6061,"$124,545,264","$1,713,033,470"
"Dec 28, 2023",$4.9902,$5.0099,$4.5254,$4.5676,"$141,649,006","$1,698,716,350"
"Dec 27, 2023",$5.1901,$5.2579,$4.8761,$4.9898,"$176,252,485","$1,855,733,215"
"Dec 26, 2023",$4.6296,$5.2628,$4.5876,$5.1910,"$289,229,351","$1,930,563,195"
"Dec 25, 2023",$4.6125,$4.7607,$4.5493,$4.6298,"$87,792,419","$1,721,868,655"
"Dec 24, 2023",$4.7892,$4.8457,$4.5453,$4.6122,"$127,085,382","$1,715,298,236"
"Dec 23, 2023",$4.4770,$4.9707,$4.3000,$4.7886,"$178,905,266","$1,780,921,923"
"Dec 22, 2023",$4.3020,$4.5356,$4.2836,$4.4770,"$122,659,705","$1,665,040,870"
"Dec 21, 2023",$4.4746,$4.5478,$4.2344,$4.3013,"$117,152,806","$1,599,686,869"
"Dec 20, 2023",$4.1975,$4.5981,$4.1473,$4.4709,"$125,487,499","$1,662,763,192"
"Dec 19, 2023",$4.4155,$4.5270,$4.1755,$4.1980,"$114,414,565","$1,561,257,922"
"Dec 18, 2023",$4.2076,$4.4438,$3.9459,$4.4147,"$135,429,809","$1,641,874,486"
"Dec 17, 2023",$4.4120,$4.4253,$4.1803,$4.2083,"$93,238,572","$1,565,114,803"
"Dec 16, 2023",$4.3579,$4.8329,$4.3579,$4.4086,"$127,685,301","$1,639,598,512"
"Dec 15, 2023",$4.5972,$4.7230,$4.3524,$4.3579,"$150,602,482","$1,620,731,742"
"Dec 14, 2023",$4.1413,$4.8769,$4.1394,$4.5974,"$264,604,591","$1,709,800,849"
"Dec 13, 2023",$4.1722,$4.3249,$3.8880,$4.1412,"$197,913,785","$1,540,130,775"
"Dec 12, 2023",$3.9219,$4.2243,$3.9172,$4.1741,"$239,028,257","$1,552,399,160"
"Dec 11, 2023",$3.7919,$3.9377,$3.4674,$3.9222,"$193,611,841","$1,458,684,448"
"Dec 10, 2023",$3.7196,$3.8471,$3.7007,$3.7914,"$80,247,174","$1,410,050,376"
"Dec 09, 2023",$3.8672,$3.9299,$3.6791,$3.7161,"$107,858,496","$1,382,057,601"
"Dec 08, 2023",$3.6432,$4.0664,$3.6043,$3.8682,"$137,967,679","$1,438,626,634"
"Dec 07, 2023",$3.6396,$3.7526,$3.5560,$3.6429,"$98,486,319","$1,354,843,484"
"Dec 06, 2023",$3.6787,$3.8998,$3.6267,$3.6376,"$150,215,608","$1,352,837,811"
"Dec 05, 2023",$3.7332,$3.7454,$3.5050,$3.6777,"$111,237,163","$1,367,751,916"
"Dec 04, 2023",$3.8690,$4.0028,$3.6474,$3.7330,"$202,970,160","$1,388,331,090"
"Dec 03, 2023",$3.6383,$3.9289,$3.5570,$3.8679,"$117,079,955","$1,438,502,732"
"Dec 02, 2023",$3.5513,$3.6401,$3.4851,$3.6381,"$71,548,594","$1,353,038,124"
"Dec 01, 2023",$3.4316,$3.6186,$3.4200,$3.5511,"$79,895,611","$1,320,685,796"
"Nov 30, 2023",$3.2393,$3.4916,$3.2189,$3.4315,"$104,916,914","$1,276,189,628"
"Nov 29, 2023",$3.3073,$3.3783,$3.1915,$3.2394,"$73,990,405","$1,204,761,214"
"Nov 28, 2023",$3.1684,$3.3514,$3.0807,$3.3067,"$93,738,532","$1,229,806,866"
"Nov 27, 2023",$3.3149,$3.3358,$3.1029,$3.1689,"$75,562,068","$1,178,522,384"
"Nov 26, 2023",$3.4631,$3.4701,$3.2449,$3.3161,"$67,324,676","$1,233,283,561"
"Nov 25, 2023",$3.3868,$3.5493,$3.3671,$3.4629,"$69,538,250","$1,287,898,149"
"Nov 24, 2023",$3.2171,$3.5546,$3.2171,$3.3866,"$113,950,376","$1,259,512,247"
"Nov 23, 2023",$3.3511,$3.4474,$3.2047,$3.2161,"$75,601,555","$1,196,097,512"
"Nov 22, 2023",$3.0879,$3.4529,$3.0501,$3.3513,"$140,459,803","$1,246,391,502"
"Nov 21, 2023",$3.4078,$3.5353,$3.0798,$3.0891,"$194,324,683","$1,148,851,194"
"Nov 20, 2023",$3.3705,$3.7058,$3.2543,$3.4075,"$183,973,424","$1,267,267,345"
"Nov 19, 2023",$3.3875,$3.6245,$3.3006,$3.3705,"$168,425,323","$1,253,530,599"
"Nov 18, 2023",$3.0441,$3.4862,$2.8807,$3.3872,"$275,328,418","$1,259,735,832"
"Nov 17, 2023",$3.0145,$3.1495,$2.7791,$3.0432,"$186,024,779","$1,131,775,938"
"Nov 16, 2023",$2.8355,$3.3259,$2.8149,$3.0148,"$411,205,835","$1,121,225,493"
"Nov 15, 2023",$2.2516,$2.8552,$2.2209,$2.8337,"$256,908,151","$1,053,874,499"
"Nov 14, 2023",$2.3101,$2.3101,$2.1419,$2.2513,"$80,082,267","$837,277,256"
"Nov 13, 2023",$2.4102,$2.5216,$2.3059,$2.3111,"$93,131,900","$859,503,990"
"Nov 12, 2023",$2.4989,$2.5399,$2.3697,$2.4100,"$75,831,317","$896,287,320"
"Nov 11, 2023",$2.4261,$2.5961,$2.3092,$2.4977,"$114,767,930","$928,918,807"
"Nov 10, 2023",$2.2839,$2.4243,$2.2101,$2.4243,"$70,624,875","$901,633,613"
