Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$0.1367,$0.1399,$0.1357,$0.1382,"$121,040,181","$3,971,501,837"
"Mar 25, 2024",$0.135,$0.1392,$0.1342,$0.1367,"$116,681,609","$3,927,203,675"
"Mar 24, 2024",$0.1328,$0.1354,$0.1319,$0.135,"$81,373,818","$3,879,008,091"
"Mar 23, 2024",$0.1281,$0.1363,$0.1278,$0.1328,"$88,250,146","$3,816,941,968"
"Mar 22, 2024",$0.1332,$0.134,$0.1258,$0.1281,"$123,072,897","$3,679,789,037"
"Mar 21, 2024",$0.1309,$0.1352,$0.1283,$0.1332,"$146,681,501","$3,823,467,280"
"Mar 20, 2024",$0.1208,$0.1312,$0.1175,$0.1309,"$178,905,718","$3,756,898,511"
"Mar 19, 2024",$0.1353,$0.1353,$0.1188,$0.1208,"$274,266,807","$3,465,582,035"
"Mar 18, 2024",$0.1322,$0.1371,$0.125,$0.1353,"$187,395,712","$3,880,067,717"
"Mar 17, 2024",$0.1293,$0.1331,$0.1247,$0.1322,"$131,504,690","$3,789,417,478"
"Mar 16, 2024",$0.1368,$0.1429,$0.127,$0.1293,"$193,693,394","$3,706,742,207"
"Mar 15, 2024",$0.1445,$0.1454,$0.129,$0.1368,"$269,079,451","$3,923,119,671"
"Mar 14, 2024",$0.1509,$0.152,$0.1387,$0.1445,"$266,590,270","$4,142,831,486"
"Mar 13, 2024",$0.1494,$0.1535,$0.1467,$0.1509,"$171,661,665","$4,323,520,497"
"Mar 12, 2024",$0.157,$0.1593,$0.1438,$0.1494,"$259,162,027","$4,280,519,327"
"Mar 11, 2024",$0.1398,$0.1621,$0.1358,$0.157,"$535,232,758","$4,495,326,547"
"Mar 10, 2024",$0.1425,$0.145,$0.1372,$0.1398,"$151,697,354","$4,003,758,146"
"Mar 09, 2024",$0.142,$0.1439,$0.1405,$0.1425,"$139,036,384","$4,080,555,552"
"Mar 08, 2024",$0.1422,$0.1456,$0.1372,$0.142,"$248,822,462","$4,064,558,384"
"Mar 07, 2024",$0.1382,$0.1432,$0.1379,$0.1422,"$229,646,366","$4,067,912,007"
"Mar 06, 2024",$0.1324,$0.1385,$0.1282,$0.1382,"$324,526,992","$3,951,941,937"
"Mar 05, 2024",$0.1459,$0.1529,$0.1204,$0.1324,"$617,142,413","$3,785,306,279"
"Mar 04, 2024",$0.1356,$0.1577,$0.1344,$0.1459,"$440,411,880","$4,169,543,160"
"Mar 03, 2024",$0.1383,$0.1399,$0.131,$0.1356,"$188,228,753","$3,870,667,725"
"Mar 02, 2024",$0.1271,$0.1384,$0.127,$0.1383,"$264,655,700","$3,948,211,778"
"Mar 01, 2024",$0.1219,$0.1273,$0.1219,$0.1271,"$129,425,515","$3,628,571,321"
"Feb 29, 2024",$0.1211,$0.128,$0.1195,$0.1219,"$221,870,195","$3,474,714,426"
"Feb 28, 2024",$0.123,$0.125,$0.1164,$0.1211,"$202,345,039","$3,450,202,092"
"Feb 27, 2024",$0.118,$0.1234,$0.1172,$0.123,"$146,219,812","$3,502,734,435"
"Feb 26, 2024",$0.1164,$0.1181,$0.1142,$0.118,"$86,168,634","$3,358,896,455"
"Feb 25, 2024",$0.1165,$0.1169,$0.1155,$0.1164,"$63,244,380","$3,315,475,537"
"Feb 24, 2024",$0.1149,$0.1173,$0.1138,$0.1164,"$62,766,877","$3,313,762,764"
"Feb 23, 2024",$0.1153,$0.1163,$0.1133,$0.1149,"$82,800,114","$3,268,627,237"
"Feb 22, 2024",$0.1143,$0.1174,$0.1134,$0.1153,"$81,531,313","$3,279,932,437"
"Feb 21, 2024",$0.1177,$0.1179,$0.1111,$0.1143,"$94,857,878","$3,253,922,167"
"Feb 20, 2024",$0.1185,$0.121,$0.1146,$0.1177,"$139,532,672","$3,349,147,033"
"Feb 19, 2024",$0.1159,$0.1189,$0.1159,$0.1185,"$78,810,665","$3,370,808,178"
"Feb 18, 2024",$0.1142,$0.1166,$0.1136,$0.1159,"$61,786,919","$3,296,339,146"
"Feb 17, 2024",$0.1155,$0.1159,$0.1119,$0.1142,"$61,441,536","$3,248,761,548"
"Feb 16, 2024",$0.1167,$0.1181,$0.1142,$0.1155,"$83,446,160","$3,285,173,485"
"Feb 15, 2024",$0.1144,$0.1174,$0.1142,$0.1167,"$114,694,337","$3,317,994,309"
"Feb 14, 2024",$0.111,$0.1146,$0.1104,$0.1144,"$80,938,474","$3,251,734,149"
"Feb 13, 2024",$0.1132,$0.1143,$0.1098,$0.1111,"$85,317,790","$3,153,754,494"
"Feb 12, 2024",$0.1112,$0.1132,$0.1098,$0.1132,"$74,982,567","$3,215,212,279"
"Feb 11, 2024",$0.1116,$0.113,$0.1108,$0.1112,"$58,720,085","$3,156,313,240"
"Feb 10, 2024",$0.112,$0.1129,$0.1107,$0.1116,"$52,655,700","$3,170,058,028"
