Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$1.0002,$1.0008,$0.999,$1.0000,"$77,399,464,621","$104,229,649,716"
"Mar 25, 2024",$1.0000,$1.0013,$0.999,$1.0002,"$81,204,666,738","$104,031,149,577"
"Mar 24, 2024",$1.0003,$1.0009,$0.9996,$0.9999,"$53,627,981,617","$104,012,399,837"
"Mar 23, 2024",$1.0002,$1.0008,$0.9997,$1.0003,"$53,727,479,558","$104,055,790,060"
"Mar 22, 2024",$0.9998,$1.0012,$0.9991,$1.0003,"$81,269,693,027","$104,075,363,235"
"Mar 21, 2024",$1.0002,$1.0015,$0.9993,$0.9998,"$87,543,595,572","$103,883,274,609"
"Mar 20, 2024",$0.9997,$1.0013,$0.999,$1.0003,"$122,985,298,758","$103,800,169,439"
"Mar 19, 2024",$0.9999,$1.0012,$0.9985,$0.9995,"$137,581,151,030","$103,583,677,222"
"Mar 18, 2024",$0.9995,$1.0007,$0.9989,$0.9999,"$98,373,958,984","$103,395,155,608"
"Mar 17, 2024",$0.9993,$1.0004,$0.9983,$0.9994,"$90,407,787,768","$103,359,725,665"
"Mar 16, 2024",$1.0002,$1.0010,$0.9987,$0.9992,"$101,796,439,885","$103,241,576,628"
"Mar 15, 2024",$0.9996,$1.0025,$0.9985,$1.0001,"$145,040,404,215","$103,279,566,894"
"Mar 14, 2024",$1.0005,$1.0009,$0.9983,$0.9997,"$116,520,409,213","$103,088,609,479"
"Mar 13, 2024",$1.0002,$1.0016,$0.999,$1.0005,"$95,338,044,782","$102,713,107,725"
"Mar 12, 2024",$1.0003,$1.0011,$0.9986,$1.0001,"$115,805,937,864","$102,450,058,565"
"Mar 11, 2024",$1.0010,$1.0017,$0.9991,$1.0003,"$118,434,243,798","$102,045,515,915"
"Mar 10, 2024",$1.0022,$1.0027,$1.0004,$1.0010,"$77,540,921,867","$101,919,864,540"
"Mar 09, 2024",$1.0022,$1.0029,$1.0013,$1.0022,"$63,272,520,530","$101,813,227,168"
