Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$0.4027,$0.4169,$0.3918,$0.3985,"$180,334,912","$3,768,535,389"
"Mar 25, 2024",$0.388,$0.4172,$0.3817,$0.4027,"$184,502,742","$3,808,125,855"
"Mar 24, 2024",$0.3653,$0.3922,$0.3632,$0.388,"$148,187,389","$3,668,859,580"
"Mar 23, 2024",$0.3653,$0.3789,$0.3597,$0.3653,"$125,366,807","$3,454,421,162"
"Mar 22, 2024",$0.3801,$0.3876,$0.3575,$0.3653,"$147,831,372","$3,454,048,250"
"Mar 21, 2024",$0.4047,$0.4047,$0.3732,$0.3801,"$176,776,970","$3,594,338,326"
"Mar 20, 2024",$0.3724,$0.4071,$0.3556,$0.4047,"$252,847,901","$3,827,130,525"
"Mar 19, 2024",$0.3905,$0.4047,$0.3579,$0.3724,"$369,763,574","$3,521,400,382"
"Mar 18, 2024",$0.4236,$0.4382,$0.3896,$0.3905,"$328,942,432","$3,692,849,850"
"Mar 17, 2024",$0.3678,$0.4336,$0.3601,$0.4318,"$395,799,029","$4,066,655,712"
"Mar 16, 2024",$0.4109,$0.4215,$0.3607,$0.3678,"$245,071,210","$3,464,018,108"
"Mar 15, 2024",$0.4377,$0.438,$0.3754,$0.4109,"$316,281,451","$3,869,576,011"
"Mar 14, 2024",$0.4411,$0.4465,$0.4088,$0.4377,"$268,210,040","$4,121,935,878"
"Mar 13, 2024",$0.4465,$0.4683,$0.4328,$0.4411,"$279,152,140","$4,154,501,179"
"Mar 12, 2024",$0.4343,$0.4524,$0.4165,$0.4465,"$334,875,957","$4,205,097,664"
"Mar 11, 2024",$0.4382,$0.4557,$0.4167,$0.4343,"$402,532,844","$4,090,007,520"
"Mar 10, 2024",$0.4482,$0.4924,$0.4275,$0.4382,"$845,384,677","$4,126,703,210"
"Mar 09, 2024",$0.3405,$0.4512,$0.3384,$0.4482,"$711,997,621","$4,220,810,718"
"Mar 08, 2024",$0.3461,$0.3512,$0.3265,$0.3405,"$267,734,357","$3,206,777,292"
"Mar 07, 2024",$0.3241,$0.3599,$0.3151,$0.3461,"$411,962,323","$3,259,146,183"
"Mar 06, 2024",$0.2784,$0.3291,$0.2685,$0.3241,"$390,042,363","$3,052,748,436"
"Mar 05, 2024",$0.3079,$0.3112,$0.2481,$0.2784,"$315,378,543","$2,621,733,949"
"Mar 04, 2024",$0.3201,$0.3225,$0.3012,$0.3079,"$223,476,222","$2,900,157,493"
"Mar 03, 2024",$0.3184,$0.3324,$0.307,$0.3201,"$287,487,083","$3,014,750,784"
"Mar 02, 2024",$0.3222,$0.3248,$0.3079,$0.3184,"$208,763,271","$2,998,959,306"
"Mar 01, 2024",$0.2808,$0.3308,$0.2808,$0.3222,"$467,975,718","$3,034,085,279"
"Feb 29, 2024",$0.288,$0.2915,$0.2714,$0.2808,"$209,124,868","$2,644,585,879"
"Feb 28, 2024",$0.2796,$0.3061,$0.2673,$0.2881,"$342,130,034","$2,712,790,643"
"Feb 27, 2024",$0.294,$0.2942,$0.2778,$0.2795,"$198,589,280","$2,632,568,022"
"Feb 26, 2024",$0.289,$0.3091,$0.2855,$0.294,"$301,259,027","$2,768,642,000"
"Feb 25, 2024",$0.2707,$0.3019,$0.2694,$0.289,"$357,109,160","$2,721,719,006"
"Feb 24, 2024",$0.2651,$0.2783,$0.2538,$0.2707,"$215,278,554","$2,549,413,506"
"Feb 23, 2024",$0.2699,$0.2947,$0.2645,$0.2651,"$352,273,126","$2,496,315,419"
