Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$3.0841,$3.2152,$3.0558,$3.0676,"$91,126,720","$3,067,566,994"
"Mar 25, 2024",$2.9178,$3.1350,$2.8620,$3.0841,"$92,096,611","$3,084,072,889"
"Mar 24, 2024",$2.7847,$2.9554,$2.7079,$2.9178,"$49,107,312","$2,917,830,853"
"Mar 23, 2024",$2.8018,$2.8959,$2.7631,$2.7847,"$65,468,886","$2,784,651,948"
"Mar 22, 2024",$2.8505,$3.0226,$2.6935,$2.8018,"$83,610,749","$2,801,803,676"
"Mar 21, 2024",$3.0398,$3.0607,$2.7620,$2.8505,"$95,745,830","$2,850,501,461"
"Mar 20, 2024",$2.5652,$3.0410,$2.4119,$3.0398,"$140,224,673","$3,039,774,031"
"Mar 19, 2024",$2.9956,$3.0251,$2.5172,$2.5652,"$155,100,396","$2,565,171,398"
"Mar 18, 2024",$3.1371,$3.3475,$2.9399,$2.9956,"$162,718,647","$2,995,627,040"
"Mar 17, 2024",$2.7491,$3.1844,$2.6519,$3.1372,"$141,494,695","$3,137,145,893"
"Mar 16, 2024",$3.1032,$3.1258,$2.6984,$2.7491,"$94,151,997","$2,749,095,608"
"Mar 15, 2024",$3.3534,$3.3571,$2.8654,$3.1032,"$148,479,110","$3,103,231,498"
"Mar 14, 2024",$3.3723,$3.5566,$3.1126,$3.3535,"$145,153,375","$3,353,382,279"
"Mar 13, 2024",$3.4178,$3.4433,$3.2737,$3.3723,"$92,334,093","$3,372,283,513"
"Mar 12, 2024",$3.4742,$3.5144,$3.3260,$3.4178,"$151,388,151","$3,417,826,240"
"Mar 11, 2024",$3.2253,$3.7846,$3.1452,$3.4742,"$382,726,171","$3,474,177,379"
"Mar 10, 2024",$3.1785,$3.3505,$2.9113,$3.2253,"$172,781,195","$3,225,316,127"
"Mar 09, 2024",$3.0588,$3.3244,$2.9870,$3.1785,"$145,865,635","$3,178,513,604"
"Mar 08, 2024",$2.9501,$3.2901,$2.9498,$3.0588,"$235,735,738","$3,058,812,841"
"Mar 07, 2024",$2.8973,$3.0429,$2.8284,$2.9502,"$156,904,088","$2,950,115,382"
"Mar 06, 2024",$2.7868,$3.2039,$2.6230,$2.8973,"$245,558,556","$2,897,270,715"
"Mar 05, 2024",$2.3517,$3.3172,$2.3308,$2.7866,"$722,360,197","$2,786,800,105"
"Mar 04, 2024",$2.3830,$2.4611,$2.2233,$2.3520,"$127,597,828","$2,352,000,151"
