Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$9.0559,$9.8283,$9.0298,$9.5184,"$784,938,429","$3,197,252,987"
"Mar 25, 2024",$8.7436,$9.3011,$8.5551,$9.0559,"$545,826,360","$3,042,727,137"
"Mar 24, 2024",$8.0750,$8.7840,$8.0543,$8.7436,"$303,027,327","$2,938,317,723"
"Mar 23, 2024",$8.0712,$8.5430,$8.0182,$8.0750,"$403,906,971","$2,713,854,367"
"Mar 22, 2024",$8.4096,$8.7945,$7.8680,$8.0704,"$539,938,204","$2,713,410,028"
"Mar 21, 2024",$9.3959,$9.4742,$8.2909,$8.4095,"$542,108,227","$2,827,587,547"
"Mar 20, 2024",$7.3986,$9.4543,$7.1791,$9.3959,"$757,369,165","$3,160,285,411"
"Mar 19, 2024",$8.2376,$8.3115,$7.2576,$7.3986,"$786,847,359","$2,489,578,332"
"Mar 18, 2024",$8.9629,$8.9863,$8.0833,$8.2376,"$540,928,442","$2,773,976,887"
"Mar 17, 2024",$8.1734,$9.0464,$7.9358,$8.9633,"$581,074,515","$3,020,391,103"
"Mar 16, 2024",$9.3046,$9.5142,$8.0057,$8.1734,"$636,266,523","$2,756,070,794"
"Mar 15, 2024",$10.30,$10.38,$8.7291,$9.3046,"$831,459,155","$3,140,148,833"
"Mar 14, 2024",$10.62,$11.16,$9.5051,$10.30,"$860,025,920","$3,479,326,673"
"Mar 13, 2024",$10.45,$11.45,$10.39,$10.62,"$821,645,625","$3,594,423,879"
"Mar 12, 2024",$9.9543,$10.46,$9.2857,$10.45,"$1,116,513,895","$3,539,160,935"
"Mar 11, 2024",$8.5605,$10.00,$8.2417,$9.9556,"$935,503,003","$3,375,285,614"
"Mar 10, 2024",$8.2504,$8.9037,$8.0880,$8.5605,"$745,255,860","$2,906,973,519"
"Mar 09, 2024",$7.2796,$8.3126,$7.2337,$8.2504,"$671,109,240","$2,805,216,713"
"Mar 08, 2024",$6.9754,$7.9792,$6.8438,$7.2796,"$1,042,445,094","$2,476,935,924"
"Mar 07, 2024",$5.2819,$6.9837,$5.2779,$6.9755,"$827,289,089","$2,379,281,384"
"Mar 06, 2024",$5.1109,$5.4055,$4.9310,$5.2819,"$365,923,571","$1,803,500,894"
"Mar 05, 2024",$5.5802,$5.9182,$4.3464,$5.1109,"$635,304,528","$1,744,653,313"
"Mar 04, 2024",$5.6435,$5.8069,$5.3836,$5.5793,"$391,267,361","$1,904,056,928"
"Mar 03, 2024",$5.7601,$5.8367,$5.4459,$5.6431,"$260,255,243","$1,925,233,837"
"Mar 02, 2024",$5.7931,$5.8380,$5.6481,$5.7603,"$255,620,551","$1,963,931,561"
"Mar 01, 2024",$5.7466,$5.8602,$5.6448,$5.7934,"$277,844,547","$1,974,146,170"
"Feb 29, 2024",$6.1198,$6.1990,$5.6391,$5.7495,"$445,772,254","$1,958,988,520"
"Feb 28, 2024",$5.9806,$6.4455,$5.7722,$6.1187,"$528,812,472","$2,084,637,422"
"Feb 27, 2024",$5.7872,$6.0597,$5.7650,$5.9804,"$315,608,700","$2,038,175,706"
"Feb 26, 2024",$5.3886,$5.8125,$5.3540,$5.7874,"$224,309,896","$1,972,606,929"
"Feb 25, 2024",$5.4064,$5.4460,$5.3616,$5.3885,"$104,384,628","$1,837,023,143"
"Feb 24, 2024",$5.1791,$5.4677,$5.1717,$5.4064,"$158,244,705","$1,843,429,274"
"Feb 23, 2024",$5.0773,$5.2248,$4.9616,$5.1801,"$184,583,784","$1,766,857,959"
"Feb 22, 2024",$5.1646,$5.2659,$5.0322,$5.0770,"$168,631,074","$1,732,112,452"
"Feb 21, 2024",$5.2355,$5.2438,$4.9394,$5.1646,"$226,182,481","$1,762,048,555"
"Feb 20, 2024",$5.4616,$5.4871,$4.9644,$5.2355,"$297,872,264","$1,786,553,980"
"Feb 19, 2024",$5.5188,$5.6049,$5.3883,$5.4616,"$197,090,358","$1,864,519,522"
"Feb 18, 2024",$5.4215,$5.5518,$5.3341,$5.5190,"$204,193,580","$1,884,256,766"
"Feb 17, 2024",$5.7334,$5.8429,$5.3816,$5.4231,"$213,491,179","$1,847,204,296"
"Feb 16, 2024",$5.7186,$6.0723,$5.6532,$5.7336,"$300,059,796","$1,949,380,824"
"Feb 15, 2024",$5.5260,$5.7679,$5.4857,$5.7233,"$307,196,068","$1,945,740,715"
"Feb 14, 2024",$5.2237,$5.6799,$5.1698,$5.5271,"$219,386,205","$1,878,861,275"
"Feb 13, 2024",$5.4270,$5.4747,$5.1108,$5.2243,"$201,138,799","$1,775,801,388"
"Feb 12, 2024",$5.1704,$5.4418,$5.0441,$5.4288,"$254,922,790","$1,845,227,347"
"Feb 11, 2024",$5.1136,$5.2943,$5.0995,$5.1688,"$140,169,895","$1,756,803,771"
"Feb 10, 2024",$5.2509,$5.3718,$5.0669,$5.1144,"$206,444,682","$1,738,142,396"
"Feb 09, 2024",$4.7920,$5.4821,$4.7862,$5.2502,"$406,502,440","$1,784,140,502"
"Feb 08, 2024",$4.5746,$4.8553,$4.5746,$4.7922,"$184,505,501","$1,628,322,594"
"Feb 07, 2024",$4.4480,$4.5751,$4.3367,$4.5751,"$146,440,683","$1,554,434,068"
"Feb 06, 2024",$4.4178,$4.5170,$4.3663,$4.4484,"$116,964,863","$1,511,259,788"
"Feb 05, 2024",$4.2970,$4.5320,$4.2400,$4.4180,"$137,251,480","$1,500,810,605"
"Feb 04, 2024",$4.3468,$4.4161,$4.2785,$4.2967,"$97,610,458","$1,459,515,272"
"Feb 03, 2024",$4.4051,$4.4243,$4.3190,$4.3467,"$85,499,091","$1,476,365,320"
"Feb 02, 2024",$4.5798,$4.6483,$4.3737,$4.4052,"$127,994,170","$1,496,105,900"
"Feb 01, 2024",$4.6518,$4.6584,$4.4355,$4.5800,"$171,292,315","$1,555,328,899"
"Jan 31, 2024",$4.7300,$4.9360,$4.6215,$4.6520,"$257,266,912","$1,579,595,919"
"Jan 30, 2024",$4.4659,$4.8352,$4.4431,$4.7294,"$256,229,183","$1,605,761,511"
"Jan 29, 2024",$4.2614,$4.4801,$4.1844,$4.4659,"$157,033,274","$1,516,343,074"
"Jan 28, 2024",$4.3078,$4.4266,$4.2201,$4.2619,"$120,224,533","$1,446,904,523"
"Jan 27, 2024",$4.3369,$4.3815,$4.2635,$4.3078,"$99,103,667","$1,462,434,208"
"Jan 26, 2024",$4.0328,$4.3941,$4.0059,$4.3375,"$140,353,617","$1,472,397,839"
"Jan 25, 2024",$4.0791,$4.1042,$3.9648,$4.0329,"$120,820,440","$1,369,117,829"
"Jan 24, 2024",$3.9768,$4.1180,$3.9239,$4.0791,"$144,603,913","$1,384,708,029"
"Jan 23, 2024",$3.9269,$4.0763,$3.7603,$3.9764,"$325,406,338","$1,349,717,569"
"Jan 22, 2024",$4.2035,$4.2183,$3.9085,$3.9269,"$182,807,531","$1,332,787,006"
"Jan 21, 2024",$4.1153,$4.3326,$4.0987,$4.2028,"$165,792,913","$1,426,319,475"
"Jan 20, 2024",$4.1945,$4.2010,$4.0548,$4.1142,"$151,550,474","$1,396,137,651"
"Jan 19, 2024",$4.0543,$4.2282,$3.9491,$4.1945,"$333,042,226","$1,423,461,203"
"Jan 18, 2024",$4.2884,$4.2884,$3.9212,$4.0543,"$267,241,276","$1,375,788,588"
"Jan 17, 2024",$4.7590,$4.8293,$4.2870,$4.2892,"$179,571,714","$1,454,575,471"
"Jan 16, 2024",$4.5653,$4.7843,$4.5365,$4.7590,"$148,496,292","$1,613,687,070"
