Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$5.3658,$5.4151,$5.0022,$5.0384,"$270,981,772","$17,484,408,642"
"Mar 25, 2024",$4.9673,$5.6735,$4.9474,$5.3658,"$413,749,679","$18,620,601,512"
"Mar 24, 2024",$4.8199,$5.1336,$4.8095,$4.9673,"$276,734,344","$17,237,192,077"
"Mar 23, 2024",$4.4412,$5.2870,$4.4005,$4.8199,"$423,112,005","$16,725,159,469"
"Mar 22, 2024",$4.0654,$4.4816,$4.0425,$4.4412,"$190,927,156","$15,411,145,875"
"Mar 21, 2024",$4.2311,$4.3337,$4.0474,$4.0654,"$104,768,323","$14,103,627,763"
"Mar 20, 2024",$3.7960,$4.3344,$3.7132,$4.2311,"$239,366,080","$14,678,295,872"
"Mar 19, 2024",$3.8290,$4.0084,$3.5663,$3.7960,"$191,262,979","$13,168,854,453"
"Mar 18, 2024",$3.8606,$4.0350,$3.6405,$3.8290,"$154,401,043","$13,283,179,543"
"Mar 17, 2024",$3.5251,$4.0558,$3.3354,$3.8678,"$127,002,162","$13,417,602,868"
"Mar 16, 2024",$3.8796,$3.9119,$3.4809,$3.5251,"$99,364,509","$12,228,352,805"
"Mar 15, 2024",$4.0292,$4.1401,$3.5498,$3.8796,"$169,945,208","$13,458,255,436"
"Mar 14, 2024",$4.3205,$4.3573,$3.8010,$4.0292,"$247,882,847","$13,977,060,802"
"Mar 13, 2024",$4.0824,$4.5802,$4.0446,$4.3205,"$491,530,188","$14,987,301,112"
"Mar 12, 2024",$3.2876,$4.1929,$3.2677,$4.0824,"$338,852,122","$14,160,335,633"
"Mar 11, 2024",$2.8212,$3.3423,$2.7304,$3.2876,"$214,123,485","$11,403,399,389"
"Mar 10, 2024",$2.8775,$2.8819,$2.7761,$2.8211,"$68,747,625","$9,785,226,853"
"Mar 09, 2024",$2.8406,$2.9175,$2.7836,$2.8775,"$80,921,520","$9,980,629,143"
"Mar 08, 2024",$2.7552,$2.8442,$2.6942,$2.8406,"$116,437,279","$9,852,205,056"
"Mar 07, 2024",$2.6827,$2.7649,$2.6746,$2.7553,"$73,459,754","$9,555,959,568"
"Mar 06, 2024",$2.5919,$2.7551,$2.5606,$2.6827,"$150,164,384","$9,304,358,952"
"Mar 05, 2024",$2.7379,$2.7542,$2.4186,$2.5918,"$141,944,255","$8,989,446,079"
"Mar 04, 2024",$2.6763,$2.7749,$2.6531,$2.7384,"$101,356,209","$9,497,421,566"
"Mar 03, 2024",$2.7206,$2.7332,$2.5640,$2.6763,"$66,164,720","$9,281,884,383"
"Mar 02, 2024",$2.7100,$2.7547,$2.6603,$2.7213,"$86,850,173","$9,437,586,202"
"Mar 01, 2024",$2.4806,$2.8881,$2.4490,$2.7088,"$162,897,531","$9,394,292,533"
"Feb 29, 2024",$2.5121,$2.7377,$2.4449,$2.4817,"$132,974,405","$8,606,479,094"
"Feb 28, 2024",$2.1582,$2.9279,$2.1457,$2.5121,"$295,883,055","$8,711,743,366"
"Feb 27, 2024",$2.1428,$2.1974,$2.1334,$2.1582,"$45,853,809","$7,484,477,836"
"Feb 26, 2024",$2.1213,$2.1464,$2.0989,$2.1428,"$44,278,174","$7,430,224,299"
"Feb 25, 2024",$2.1109,$2.1410,$2.0911,$2.1211,"$31,058,690","$7,354,857,599"
"Feb 24, 2024",$2.0777,$2.1504,$2.0675,$2.1109,"$31,654,546","$7,319,215,905"
"Feb 23, 2024",$2.0861,$2.1229,$2.0649,$2.0778,"$37,832,647","$7,204,262,565"
"Feb 22, 2024",$2.1265,$2.1518,$2.0855,$2.0859,"$40,474,293","$7,232,492,880"
"Feb 21, 2024",$2.2121,$2.2131,$2.1039,$2.1264,"$44,188,457","$7,372,564,172"
"Feb 20, 2024",$2.2709,$2.2976,$2.1943,$2.2121,"$42,163,356","$7,669,731,573"
"Feb 19, 2024",$2.2711,$2.2940,$2.2321,$2.2709,"$23,745,637","$7,873,427,065"
"Feb 18, 2024",$2.2318,$2.2917,$2.2204,$2.2711,"$21,362,414","$7,874,082,419"
"Feb 17, 2024",$2.1522,$2.2394,$2.1270,$2.2312,"$33,660,078","$7,735,615,555"
"Feb 16, 2024",$2.2071,$2.2359,$2.1479,$2.1522,"$37,007,680","$7,461,526,156"
"Feb 15, 2024",$2.2031,$2.2611,$2.1765,$2.2073,"$43,656,100","$7,652,066,415"
"Feb 14, 2024",$2.1646,$2.2155,$2.1480,$2.2029,"$32,745,954","$7,637,039,896"
"Feb 13, 2024",$2.2100,$2.2507,$2.1635,$2.1635,"$41,305,145","$7,500,143,549"
"Feb 12, 2024",$2.0837,$2.2246,$2.0752,$2.2100,"$54,465,219","$7,643,045,475"
"Feb 11, 2024",$2.0781,$2.1298,$2.0779,$2.0836,"$29,098,310","$7,205,779,059"
"Feb 10, 2024",$2.0848,$2.0903,$2.0532,$2.0780,"$24,162,806","$7,186,366,258"
"Feb 09, 2024",$2.0675,$2.0898,$2.0644,$2.0848,"$33,822,273","$7,209,533,874"
"Feb 08, 2024",$2.0465,$2.0875,$2.0439,$2.0677,"$28,333,547","$7,150,269,270"
"Feb 07, 2024",$2.0485,$2.0551,$2.0322,$2.0469,"$27,069,902","$7,078,507,531"
"Feb 06, 2024",$2.0501,$2.0608,$2.0466,$2.0483,"$22,238,915","$7,083,189,602"
"Feb 05, 2024",$2.0489,$2.0692,$2.0378,$2.0501,"$22,010,051","$7,089,487,308"
"Feb 04, 2024",$2.0412,$2.0720,$2.0162,$2.0486,"$23,686,829","$7,084,246,115"
"Feb 03, 2024",$2.0460,$2.0565,$2.0322,$2.0411,"$17,847,446","$7,058,010,048"
"Feb 02, 2024",$2.0777,$2.1074,$2.0456,$2.0457,"$24,498,998","$7,073,833,167"
"Feb 01, 2024",$2.0665,$2.0870,$2.0323,$2.0777,"$27,162,533","$7,184,386,353"
"Jan 31, 2024",$2.0825,$2.0986,$2.0565,$2.0665,"$27,904,822","$7,145,805,781"
"Jan 30, 2024",$2.1139,$2.1320,$2.0821,$2.0826,"$26,131,517","$7,201,283,183"
"Jan 29, 2024",$2.1157,$2.1335,$2.1076,$2.1137,"$18,493,882","$7,308,792,024"
