Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$12.43,$12.88,$12.39,$12.71,"$165,348,172","$7,609,200,623"
"Mar 25, 2024",$12.03,$12.73,$11.94,$12.43,"$164,717,617","$7,444,420,413"
"Mar 24, 2024",$11.63,$12.08,$11.60,$12.03,"$107,709,306","$7,203,184,800"
"Mar 23, 2024",$11.72,$12.00,$11.61,$11.63,"$127,921,152","$6,965,385,330"
"Mar 22, 2024",$12.19,$12.24,$11.36,$11.72,"$186,539,042","$7,018,806,590"
"Mar 21, 2024",$11.92,$12.21,$11.58,$12.19,"$199,352,102","$7,297,575,697"
"Mar 20, 2024",$10.63,$11.94,$10.33,$11.92,"$249,459,685","$7,138,840,822"
"Mar 19, 2024",$11.87,$12.02,$10.42,$10.63,"$304,042,152","$6,364,955,526"
"Mar 18, 2024",$12.43,$12.59,$11.58,$11.87,"$188,181,881","$7,107,307,924"
"Mar 17, 2024",$12.03,$12.65,$11.43,$12.53,"$217,779,827","$7,505,145,847"
"Mar 16, 2024",$13.05,$13.15,$11.79,$12.03,"$229,486,749","$7,204,131,624"
"Mar 15, 2024",$13.95,$14.11,$12.32,$13.05,"$366,575,721","$7,815,657,108"
"Mar 14, 2024",$14.22,$14.46,$13.28,$13.95,"$293,211,424","$8,355,287,357"
"Mar 13, 2024",$14.06,$14.73,$13.83,$14.22,"$244,411,996","$8,512,145,603"
"Mar 12, 2024",$14.43,$14.53,$13.37,$14.06,"$299,054,961","$8,418,451,254"
"Mar 11, 2024",$14.20,$14.62,$13.74,$14.43,"$300,486,305","$8,641,414,575"
"Mar 10, 2024",$14.22,$14.39,$13.64,$14.20,"$296,425,728","$8,502,095,299"
"Mar 09, 2024",$14.64,$15.03,$13.99,$14.22,"$343,802,887","$8,514,144,026"
"Mar 08, 2024",$14.91,$15.38,$14.26,$14.64,"$359,847,069","$8,767,638,137"
"Mar 07, 2024",$15.39,$15.55,$14.66,$14.91,"$387,629,077","$8,926,503,665"
"Mar 06, 2024",$13.13,$16.95,$12.58,$15.39,"$1,008,804,589","$9,212,501,944"
"Mar 05, 2024",$12.38,$13.96,$11.52,$13.12,"$741,554,203","$7,859,787,969"
"Mar 04, 2024",$12.62,$13.00,$12.11,$12.38,"$361,411,675","$7,411,242,685"
"Mar 03, 2024",$12.64,$13.10,$11.99,$12.62,"$433,230,564","$7,558,777,738"
"Mar 02, 2024",$11.61,$13.40,$11.35,$12.64,"$631,397,569","$7,567,937,308"
"Mar 01, 2024",$11.13,$11.95,$10.84,$11.61,"$402,145,156","$6,950,271,931"
"Feb 29, 2024",$10.94,$11.88,$10.75,$11.13,"$584,048,670","$6,666,127,482"
"Feb 28, 2024",$10.86,$11.19,$10.05,$10.93,"$478,409,828","$6,546,685,097"
"Feb 27, 2024",$10.59,$11.18,$10.47,$10.86,"$387,155,952","$6,500,145,100"
"Feb 26, 2024",$11.09,$11.48,$10.42,$10.59,"$473,186,867","$6,342,280,361"
"Feb 25, 2024",$11.25,$11.53,$10.19,$11.09,"$594,956,391","$6,636,418,030"
"Feb 24, 2024",$11.36,$12.79,$11.00,$11.25,"$1,381,155,400","$6,731,331,101"
"Feb 23, 2024",$7.3473,$12.33,$7.0563,$11.34,"$1,840,398,285","$6,781,635,566"
"Feb 22, 2024",$7.3934,$7.5069,$7.2928,$7.3469,"$97,813,099","$4,394,845,368"
"Feb 21, 2024",$7.5548,$7.5569,$7.0912,$7.3935,"$114,632,523","$4,422,719,335"
"Feb 20, 2024",$7.6984,$7.7122,$7.2771,$7.5552,"$139,865,399","$4,519,397,885"
"Feb 19, 2024",$7.6461,$7.7703,$7.5377,$7.6984,"$112,224,994","$4,605,089,640"
"Feb 18, 2024",$7.7650,$7.9616,$7.5610,$7.6457,"$115,529,489","$4,573,575,075"
"Feb 17, 2024",$7.4494,$7.7941,$7.3917,$7.7645,"$142,350,295","$4,644,624,534"
"Feb 16, 2024",$7.4991,$7.6682,$7.3431,$7.4494,"$144,760,925","$4,456,119,137"
"Feb 15, 2024",$6.8850,$7.5122,$6.8850,$7.4987,"$167,787,725","$4,485,619,564"
"Feb 14, 2024",$6.6868,$6.8994,$6.6445,$6.8851,"$85,998,137","$4,118,578,505"
"Feb 13, 2024",$6.8374,$6.8646,$6.5994,$6.6872,"$91,521,456","$4,000,170,961"
"Feb 12, 2024",$6.6793,$6.8560,$6.4857,$6.8363,"$88,275,380","$4,089,379,414"
"Feb 11, 2024",$6.6290,$6.8080,$6.5760,$6.6785,"$82,867,747","$3,994,964,564"
"Feb 10, 2024",$6.6503,$6.7449,$6.5469,$6.6290,"$63,337,830","$3,965,373,790"
"Feb 09, 2024",$6.3175,$6.6948,$6.3130,$6.6499,"$101,709,333","$3,977,872,553"
"Feb 08, 2024",$6.3913,$6.4275,$6.3171,$6.3175,"$66,282,304","$3,779,052,229"
"Feb 07, 2024",$6.2759,$6.4624,$6.2271,$6.3911,"$69,823,828","$3,823,043,869"
"Feb 06, 2024",$5.9971,$6.4277,$5.9965,$6.2759,"$79,947,087","$3,754,155,841"
"Feb 05, 2024",$5.9805,$6.0886,$5.9279,$5.9970,"$53,330,830","$3,587,354,788"
"Feb 04, 2024",$6.1065,$6.1240,$5.9686,$5.9809,"$46,905,073","$3,577,679,091"
"Feb 03, 2024",$6.1320,$6.2773,$6.0710,$6.1063,"$55,539,377","$3,652,733,497"
"Feb 02, 2024",$6.0443,$6.2513,$6.0398,$6.1317,"$68,366,959","$3,667,925,725"
"Feb 01, 2024",$5.9974,$6.0826,$5.8919,$6.0443,"$79,074,712","$3,615,639,817"
"Jan 31, 2024",$6.2567,$6.3147,$5.9470,$5.9977,"$97,870,551","$3,587,763,475"
"Jan 30, 2024",$6.1406,$6.3265,$6.1242,$6.2566,"$85,664,836","$3,742,625,056"
"Jan 29, 2024",$5.9409,$6.1428,$5.8867,$6.1404,"$74,910,335","$3,673,104,489"
"Jan 28, 2024",$5.9851,$6.0663,$5.8942,$5.9406,"$62,642,705","$3,553,602,010"
"Jan 27, 2024",$5.9513,$5.9982,$5.8574,$5.9853,"$52,033,910","$3,580,346,953"
"Jan 26, 2024",$5.7479,$5.9564,$5.7086,$5.9510,"$76,929,689","$3,559,836,711"
"Jan 25, 2024",$5.8644,$5.8644,$5.6425,$5.7480,"$65,936,793","$3,438,386,409"
"Jan 24, 2024",$5.8367,$5.8970,$5.7279,$5.8643,"$80,235,081","$3,507,922,407"
"Jan 23, 2024",$6.0344,$6.1210,$5.5559,$5.8361,"$106,947,160","$3,491,094,110"
"Jan 22, 2024",$6.3675,$6.3906,$5.9948,$6.0344,"$87,420,391","$3,609,712,634"
"Jan 21, 2024",$6.4813,$6.5134,$6.3657,$6.3657,"$53,667,409","$3,807,891,296"
"Jan 20, 2024",$6.3452,$6.6015,$6.3010,$6.4797,"$88,959,760","$3,876,074,071"
"Jan 19, 2024",$6.3085,$6.3649,$6.0568,$6.3453,"$96,468,093","$3,795,698,899"
"Jan 18, 2024",$6.7641,$6.8278,$6.2664,$6.3085,"$100,796,832","$3,773,677,952"
"Jan 17, 2024",$6.8247,$6.8828,$6.6789,$6.7643,"$98,913,762","$4,046,332,549"
"Jan 16, 2024",$6.6700,$6.9174,$6.6590,$6.8250,"$117,660,455","$4,082,601,263"
"Jan 15, 2024",$6.3197,$6.7100,$6.3195,$6.6715,"$133,332,585","$3,990,800,936"
"Jan 14, 2024",$6.6366,$6.6581,$6.3195,$6.3208,"$93,849,070","$3,781,049,436"
"Jan 13, 2024",$6.5933,$6.6893,$6.4288,$6.6371,"$105,057,399","$3,970,241,000"
"Jan 12, 2024",$6.8223,$6.9530,$6.3782,$6.5991,"$180,034,919","$3,947,513,988"
"Jan 11, 2024",$6.5581,$6.9583,$6.5255,$6.8219,"$192,935,049","$4,080,792,539"
"Jan 10, 2024",$6.0143,$6.7292,$5.9802,$6.5569,"$164,536,278","$3,922,254,650"
"Jan 09, 2024",$6.2298,$6.2669,$5.7200,$6.0154,"$131,576,995","$3,598,354,171"
"Jan 08, 2024",$6.0033,$6.2289,$5.7168,$6.2277,"$125,793,198","$3,725,322,963"
"Jan 07, 2024",$6.3103,$6.4365,$5.9712,$6.0030,"$84,146,908","$3,590,941,207"
"Jan 06, 2024",$6.4258,$6.4301,$6.0578,$6.3100,"$115,396,358","$3,774,539,621"
"Jan 05, 2024",$6.5366,$6.6074,$6.2320,$6.4250,"$152,293,850","$3,843,355,919"
"Jan 04, 2024",$6.4310,$6.7029,$6.4177,$6.5368,"$133,825,164","$3,910,243,365"
"Jan 03, 2024",$7.1785,$7.3612,$6.3147,$6.4311,"$256,162,162","$3,846,986,826"
"Jan 02, 2024",$7.6027,$7.7023,$7.1671,$7.1783,"$134,245,636","$4,293,956,578"
"Jan 01, 2024",$7.2302,$7.6367,$7.1735,$7.6022,"$91,692,016","$4,547,540,978"
"Dec 31, 2023",$7.3813,$7.6775,$7.2273,$7.2292,"$111,652,945","$4,324,395,754"
"Dec 30, 2023",$7.5702,$7.7937,$7.3494,$7.3824,"$130,267,441","$4,416,055,946"
"Dec 29, 2023",$7.8393,$7.8665,$7.4082,$7.5707,"$247,191,249","$4,528,676,114"
"Dec 28, 2023",$7.2485,$8.2175,$7.2485,$7.8399,"$417,574,413","$4,689,721,773"
"Dec 27, 2023",$7.3611,$7.4162,$7.0227,$7.2481,"$204,050,235","$4,335,711,958"
"Dec 26, 2023",$6.9683,$7.7630,$6.6768,$7.3615,"$357,471,269","$4,403,577,039"
"Dec 25, 2023",$6.8604,$7.1252,$6.6900,$6.9683,"$179,579,568","$4,168,331,374"
"Dec 24, 2023",$6.3482,$7.1497,$6.3325,$6.8636,"$310,753,833","$4,105,692,578"
"Dec 23, 2023",$6.4136,$6.4214,$6.1318,$6.3482,"$170,267,228","$3,797,392,116"
"Dec 22, 2023",$6.1765,$6.4749,$6.1489,$6.4138,"$160,240,460","$3,836,673,999"
"Dec 21, 2023",$5.9211,$6.1882,$5.8771,$6.1765,"$116,576,698","$3,694,726,165"
"Dec 20, 2023",$5.8344,$6.0976,$5.8084,$5.9201,"$91,435,238","$3,541,341,836"
"Dec 19, 2023",$5.9367,$6.0272,$5.7744,$5.8347,"$88,771,720","$3,490,240,380"
"Dec 18, 2023",$6.0697,$6.0997,$5.6457,$5.9364,"$150,073,232","$3,551,048,141"
"Dec 17, 2023",$6.1536,$6.2596,$6.0648,$6.0707,"$103,996,077","$3,631,418,859"
"Dec 16, 2023",$6.0335,$6.2320,$5.9646,$6.1535,"$82,841,104","$3,680,949,605"
"Dec 15, 2023",$6.3573,$6.3603,$6.0104,$6.0321,"$102,369,377","$3,608,307,957"
"Dec 14, 2023",$6.2930,$6.4637,$6.2088,$6.3579,"$121,111,106","$3,739,609,609"
"Dec 13, 2023",$6.2310,$6.3237,$5.9930,$6.2930,"$124,443,699","$3,701,453,176"
"Dec 12, 2023",$6.1018,$6.3140,$6.0951,$6.2311,"$116,872,149","$3,665,051,015"
"Dec 11, 2023",$6.5977,$6.6049,$5.9382,$6.1019,"$204,396,796","$3,589,045,198"
"Dec 10, 2023",$6.8316,$6.8652,$6.4719,$6.5972,"$154,751,132","$3,880,405,429"
"Dec 09, 2023",$6.5274,$7.0412,$6.5204,$6.8311,"$268,493,352","$4,017,980,362"
"Dec 08, 2023",$6.2886,$6.5366,$6.2787,$6.5286,"$153,629,229","$3,840,041,182"
"Dec 07, 2023",$5.9971,$6.3310,$5.9971,$6.2872,"$134,735,957","$3,698,027,732"
"Dec 06, 2023",$6.2598,$6.2803,$5.9924,$5.9960,"$175,147,350","$3,526,773,179"
"Dec 05, 2023",$6.0963,$6.3295,$5.9938,$6.2599,"$169,738,591","$3,681,977,665"
"Dec 04, 2023",$6.0636,$6.2669,$5.9386,$6.0961,"$357,496,739","$3,585,631,133"
"Dec 03, 2023",$6.1715,$6.2397,$5.9732,$6.0636,"$176,352,492","$3,566,504,763"
"Dec 02, 2023",$6.0188,$6.1803,$6.0143,$6.1715,"$136,826,270","$3,629,989,371"
"Dec 01, 2023",$5.9520,$6.0942,$5.9157,$6.0189,"$183,416,861","$3,540,242,831"
"Nov 30, 2023",$6.0213,$6.0239,$5.8632,$5.9518,"$214,326,384","$3,500,743,304"
"Nov 29, 2023",$6.1564,$6.3710,$6.0047,$6.0212,"$135,161,355","$3,541,576,571"
"Nov 28, 2023",$6.2918,$6.5406,$6.0994,$6.1563,"$219,504,698","$3,621,055,568"
"Nov 27, 2023",$6.1722,$6.3426,$5.9533,$6.2918,"$221,023,154","$3,700,750,455"
"Nov 26, 2023",$6.1762,$6.1909,$5.8736,$6.1722,"$130,796,735","$3,630,432,215"
"Nov 25, 2023",$6.1696,$6.3035,$6.0945,$6.1760,"$117,175,262","$3,632,626,914"
"Nov 24, 2023",$6.3522,$6.5696,$6.1138,$6.1697,"$280,635,773","$3,628,931,674"
