Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024",$6.0795,$6.0952,$6.0440,$6.0610,"$1,310,840","$5,617,554,460"
"Mar 25, 2024",$6.0695,$6.1023,$6.0206,$6.0795,"$1,155,577","$5,634,782,512"
"Mar 24, 2024",$6.0309,$6.0804,$5.9908,$6.0695,"$4,319,443","$5,625,567,007"
"Mar 23, 2024",$6.0349,$6.0538,$6.0237,$6.0309,"$1,501,799","$5,589,836,871"
"Mar 22, 2024",$6.0783,$6.1046,$5.8555,$6.0349,"$2,928,502","$5,593,579,293"
"Mar 21, 2024",$6.1685,$6.1908,$6.0198,$6.0782,"$1,508,689","$5,633,877,162"
"Mar 20, 2024",$6.1502,$6.1808,$5.8165,$6.1685,"$2,054,810","$5,717,549,501"
"Mar 19, 2024",$6.1642,$6.1835,$5.8021,$6.1502,"$1,392,315","$5,700,754,275"
"Mar 18, 2024",$6.1310,$6.1930,$6.1064,$6.1642,"$1,540,163","$5,713,857,127"
"Mar 17, 2024",$6.0731,$6.1384,$6.0036,$6.1310,"$1,066,767","$5,683,122,342"
"Mar 16, 2024",$6.0589,$6.0732,$6.0188,$6.0731,"$1,180,294","$5,629,559,498"
"Mar 15, 2024",$5.9992,$6.0762,$5.9710,$6.0589,"$1,172,448","$5,616,497,880"
"Mar 14, 2024",$5.9413,$6.0026,$5.8492,$5.9992,"$1,186,157","$5,561,231,618"
"Mar 13, 2024",$5.8998,$5.9675,$5.8911,$5.9413,"$1,916,478","$5,507,660,306"
"Mar 12, 2024",$5.8445,$5.9001,$5.7781,$5.8998,"$1,915,681","$5,469,306,942"
"Mar 11, 2024",$5.6739,$5.8501,$5.6647,$5.8445,"$1,175,631","$5,418,171,891"
"Mar 10, 2024",$5.6270,$5.7001,$5.6252,$5.6739,"$1,495,264","$5,260,162,067"
"Mar 09, 2024",$5.8035,$5.9206,$5.5430,$5.6270,"$1,445,051","$5,216,771,651"
"Mar 08, 2024",$5.4771,$5.9011,$5.4652,$5.8035,"$1,528,872","$5,380,392,118"
"Mar 07, 2024",$5.4823,$5.7134,$5.3604,$5.4771,"$2,613,286","$5,077,927,924"
